          word      pv  ratio             period   sim
0          辜鸿铭  302648    759  20200719|20210214  1377
1   觉醒年代免费观看全集   35282    550  20200719|20210214  1086
2           张桐   21860     77  20200719|20210214   915
3          蔡元培  226182    163  20200719|20210214   897
4           胡适  309980    339  20200719|20210214   793
5          王鹏凯    3084     89  20200719|20210214   732
6          易白沙   41696    129  20200719|20210214   623
7          马少骅   11702    101  20200719|20210214   544
8          于和伟  243904     95  20200719|20210214   526
9          邓中夏   36758    973  20200719|20210214   468
10          曹磊    6098     87  20200719|20210214   465
11         侯京健    6286     80  20200719|20210214   440
12        朱刚日尧    5100    126  20200719|20210214   396
