          word      pv  ratio             period   sim
0      觉醒年代演员表   52124     98  20200719|20210221  4730
1   觉醒年代免费观看全集   74574    211  20200719|20210221  2607
2           张桐   20666     95  20200719|20210221  1488
3          陈独秀  449000     77  20200719|20210221  1238
4          王鹏凯    4716    153  20200719|20210221  1200
5         朱刚日尧    8146    160  20200719|20210221  1189
6           曹磊    9504    156  20200719|20210221  1133
7          周显欣    7724    113  20200719|20210221  1124
8           觉醒   26840    129  20200719|20210221  1084
9          马少骅   13548    116  20200719|20210221   900
10         辜鸿铭  169516     56  20200719|20210221   895
11         侯京健    6750    107  20200719|20210221   754
12         张思乐   15710     90  20200719|20210221   752
13         张永新    2590    109  20200719|20210221   733
14          胡适  322440    104  20200719|20210221   727
15         陈延年  143190    112  20200719|20210221   672
16         张丰载   32880    192  20200719|20210221   666
17    我们的法兰西岁月    3946    133  20200719|20210221   578
18         蔡元培  151198     67  20200719|20210221   553
19         毕彦君    9198    125  20200719|20210221   535
20         武笑羽    7772    129  20200719|20210221   525
21    CCTV1节目表  137786    117  20200719|20210221   513
22         钱玄同   73414    183  20200719|20210221   479
23        狂人日记   84180    495  20200719|20210221   467
