          date    data
0   2021-02-01     864
1   2021-02-02    2914
2   2021-02-03    1340
3   2021-02-04     908
4   2021-02-05     344
5   2021-02-06     144
6   2021-02-07      18
7   2021-02-08       8
8   2021-02-09     650
9   2021-02-10    1324
10  2021-02-11    2268
11  2021-02-12    1118
12  2021-02-13     498
13  2021-02-14     154
14  2021-02-15     140
15  2021-02-16       0
16  2021-02-17     280
17  2021-02-18    1144
18  2021-02-19    1554
19  2021-02-20    2100
20  2021-02-21    2594
21  2021-02-22    1600
22  2021-02-23     944
23  2021-02-24     350
24  2021-02-25     214
25  2021-02-26     294
26  2021-02-27     710
27  2021-02-28     344
28  2021-03-01     794
29  2021-03-02     808
30  2021-03-03     564
31  2021-03-04     570
32  2021-03-05     604
33  2021-03-06     518
34  2021-03-07     984
35  2021-03-08     700
36  2021-03-09    1164
37  2021-03-10    3608
38  2021-03-11    2184
39  2021-03-12    1358
40  2021-03-13    1044
41  2021-03-14    2494
42  2021-03-15    1364
43  2021-03-16    1374
44  2021-03-17    2874
45  2021-03-18    4160
46  2021-03-19    3044
47  2021-03-20    2524
48  2021-03-21    2624
49  2021-03-22    2310
50  2021-03-23    2774
51  2021-03-24    1450
52  2021-03-25    3796
53  2021-03-26    2464
54  2021-03-27    2434
55  2021-03-28    1464
56  2021-03-29    1524
57  2021-03-30    1064
58  2021-03-31    1884
59  2021-04-01    1800
60  2021-04-02    1114
61  2021-04-03    1254
62  2021-04-04     954
63  2021-04-05    1778
64  2021-04-06    1608
65  2021-04-07     734
66  2021-04-08     654
67  2021-04-09    2614
68  2021-04-10    1374
69  2021-04-11    2414
70  2021-04-12    2110
71  2021-04-13    1814
72  2021-04-14     794
73  2021-04-15     550
74  2021-04-16     754
75  2021-04-17    1104
76  2021-04-18     700
77  2021-04-19    1494
78  2021-04-20    1168
79  2021-04-21     738
80  2021-04-22     498
81  2021-04-23     174
82  2021-04-24      40
83  2021-04-25      44
84  2021-04-26     430
85  2021-04-27    2498
86  2021-04-28    3074
87  2021-04-29    2180
88  2021-04-30    4944
89  2021-05-01    1844
90  2021-05-02    1444
91  2021-05-03    2254
92  2021-05-04    5984
93  2021-05-05     130
94  2021-05-06     110
95  2021-05-07     144
96  2021-05-08     228
97  2021-05-09     378
98  2021-05-10     214
99  2021-05-11     194
100 2021-05-12      74
101 2021-05-13     304
102 2021-05-14    1984
103 2021-05-15   39648
104 2021-05-16     334
105 2021-05-17     224
106 2021-05-18     304
107 2021-05-19     490
108 2021-05-20   24048
109 2021-05-21    4430
110 2021-05-22    3940
111 2021-05-23    9248
112 2021-05-24    7758
113 2021-05-25    3434
114 2021-05-26    2384
115 2021-05-27    3194
116 2021-05-28    2690
117 2021-05-29    2564
118 2021-05-30    1574
119 2021-05-31    1328
120 2021-06-01     744
121 2021-06-02     754
122 2021-06-03     790
123 2021-06-04    1048
124 2021-06-05    2334
125 2021-06-06    1884
126 2021-06-07    7780
127 2021-06-08   26328
128 2021-06-09   11458
129 2021-06-10   13248
130 2021-06-11  120608
131 2021-06-12    9798
132 2021-06-13    5434
133 2021-06-14    5004
134 2021-06-15    4870
135 2021-06-16    6988
136 2021-06-17    3614
137 2021-06-18    5030
138 2021-06-19    8064
139 2021-06-20    8158
140 2021-06-21    5360
141 2021-06-22    3454
142 2021-06-23    4414
143 2021-06-24   10308
144 2021-06-25    4584
145 2021-06-26    2568
146 2021-06-27    1168
147 2021-06-28    1154
148 2021-06-29    1074
149 2021-06-30    2358
150 2021-07-01    3264
151 2021-07-02   13894
152 2021-07-03   17524
153 2021-07-04   14848
154 2021-07-05   10724
155 2021-07-06    8104
156 2021-07-07    4080
157 2021-07-08    3364
158 2021-07-09    4478
159 2021-07-10    3120
160 2021-07-11    4314
161 2021-07-12    3934
162 2021-07-13    2294
163 2021-07-14    1574
164 2021-07-15    1554
