          date  data
0   2021-02-01    32
1   2021-02-02    25
2   2021-02-03    44
3   2021-02-04    40
4   2021-02-05     0
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     2
8   2021-02-09    15
9   2021-02-10    37
10  2021-02-11    52
11  2021-02-12    42
12  2021-02-13    15
13  2021-02-14     4
14  2021-02-15    17
15  2021-02-16     0
16  2021-02-17     2
17  2021-02-18    22
18  2021-02-19    15
19  2021-02-20    30
20  2021-02-21    35
21  2021-02-22    55
22  2021-02-23    17
23  2021-02-24    12
24  2021-02-25     2
25  2021-02-26     2
26  2021-02-27     2
27  2021-02-28    12
28  2021-03-01    12
29  2021-03-02    12
30  2021-03-03    15
31  2021-03-04    15
32  2021-03-05     4
33  2021-03-06     0
34  2021-03-07    15
35  2021-03-08    27
36  2021-03-09    25
37  2021-03-10    72
38  2021-03-11    37
39  2021-03-12    22
40  2021-03-13    17
41  2021-03-14    12
42  2021-03-15    22
43  2021-03-16    27
44  2021-03-17    37
45  2021-03-18    55
46  2021-03-19    37
47  2021-03-20    42
48  2021-03-21    37
49  2021-03-22    22
50  2021-03-23    42
51  2021-03-24    30
52  2021-03-25    50
53  2021-03-26    25
54  2021-03-27    35
55  2021-03-28    32
56  2021-03-29   135
57  2021-03-30    55
58  2021-03-31    67
59  2021-04-01    32
60  2021-04-02    17
61  2021-04-03    12
62  2021-04-04    15
63  2021-04-05    17
64  2021-04-06    32
65  2021-04-07     7
66  2021-04-08     9
67  2021-04-09    57
68  2021-04-10    22
69  2021-04-11    47
70  2021-04-12    65
71  2021-04-13    15
72  2021-04-14    17
73  2021-04-15     9
74  2021-04-16    30
75  2021-04-17    15
76  2021-04-18    12
77  2021-04-19    22
78  2021-04-20    32
79  2021-04-21     2
80  2021-04-22     7
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    12
85  2021-04-27    20
86  2021-04-28    52
87  2021-04-29    77
88  2021-04-30    57
89  2021-05-01    44
90  2021-05-02    35
91  2021-05-03    55
92  2021-05-04    77
93  2021-05-05     2
94  2021-05-06     4
95  2021-05-07     4
96  2021-05-08    12
97  2021-05-09     9
98  2021-05-10     4
99  2021-05-11     0
100 2021-05-12     2
101 2021-05-13     4
102 2021-05-14     9
103 2021-05-15   682
104 2021-05-16     7
105 2021-05-17     0
106 2021-05-18    15
107 2021-05-19    15
108 2021-05-20   135
109 2021-05-21    70
110 2021-05-22    74
111 2021-05-23   159
112 2021-05-24   170
113 2021-05-25   135
114 2021-05-26    55
115 2021-05-27    82
116 2021-05-28    44
117 2021-05-29    60
118 2021-05-30    20
119 2021-05-31     9
120 2021-06-01     7
121 2021-06-02    12
122 2021-06-03    12
123 2021-06-04    17
124 2021-06-05    52
125 2021-06-06    49
126 2021-06-07   267
127 2021-06-08   875
128 2021-06-09   424
129 2021-06-10   170
130 2021-06-11  1740
131 2021-06-12   292
132 2021-06-13   149
133 2021-06-14   162
134 2021-06-15   122
135 2021-06-16   202
136 2021-06-17    85
137 2021-06-18    97
138 2021-06-19   117
139 2021-06-20   149
140 2021-06-21    89
141 2021-06-22    70
142 2021-06-23    67
143 2021-06-24   194
144 2021-06-25    87
145 2021-06-26    20
146 2021-06-27    15
147 2021-06-28    39
148 2021-06-29    35
149 2021-06-30    49
150 2021-07-01   149
151 2021-07-02   212
152 2021-07-03   232
153 2021-07-04   204
154 2021-07-05   157
155 2021-07-06   175
156 2021-07-07    67
157 2021-07-08    65
158 2021-07-09    57
159 2021-07-10    55
160 2021-07-11    49
161 2021-07-12    39
162 2021-07-13    62
163 2021-07-14    20
164 2021-07-15    44
