          date data
0   2021-02-01    7
1   2021-02-02    7
2   2021-02-03    0
3   2021-02-04    4
4   2021-02-05    7
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    2
8   2021-02-09    2
9   2021-02-10    0
10  2021-02-11    9
11  2021-02-12    4
12  2021-02-13    4
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    0
17  2021-02-18    2
18  2021-02-19    0
19  2021-02-20    0
20  2021-02-21    7
21  2021-02-22    4
22  2021-02-23    9
23  2021-02-24    0
24  2021-02-25    2
25  2021-02-26    0
26  2021-02-27    7
27  2021-02-28    2
28  2021-03-01    4
29  2021-03-02    2
30  2021-03-03    4
31  2021-03-04    2
32  2021-03-05    9
33  2021-03-06    0
34  2021-03-07    2
35  2021-03-08    2
36  2021-03-09   12
37  2021-03-10   15
38  2021-03-11    9
39  2021-03-12   17
40  2021-03-13    2
41  2021-03-14    9
42  2021-03-15    7
43  2021-03-16    2
44  2021-03-17   12
45  2021-03-18    2
46  2021-03-19    2
47  2021-03-20    9
48  2021-03-21   12
49  2021-03-22    4
50  2021-03-23   15
51  2021-03-24    4
52  2021-03-25   24
53  2021-03-26    7
54  2021-03-27    4
55  2021-03-28   17
56  2021-03-29   22
57  2021-03-30   12
58  2021-03-31    7
59  2021-04-01    0
60  2021-04-02   12
61  2021-04-03    2
62  2021-04-04    0
63  2021-04-05    4
64  2021-04-06    9
65  2021-04-07    4
66  2021-04-08    7
67  2021-04-09    4
68  2021-04-10    7
69  2021-04-11    4
70  2021-04-12    7
71  2021-04-13    9
72  2021-04-14    0
73  2021-04-15    0
74  2021-04-16    2
75  2021-04-17    0
76  2021-04-18    2
77  2021-04-19    7
78  2021-04-20    2
79  2021-04-21    2
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    0
85  2021-04-27    7
86  2021-04-28   17
87  2021-04-29    7
88  2021-04-30    9
89  2021-05-01    2
90  2021-05-02    4
91  2021-05-03    2
92  2021-05-04    9
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    4
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    7
103 2021-05-15  122
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    2
107 2021-05-19    2
108 2021-05-20   12
109 2021-05-21    4
110 2021-05-22    0
111 2021-05-23   20
112 2021-05-24   37
113 2021-05-25   12
114 2021-05-26   15
115 2021-05-27   12
116 2021-05-28    2
117 2021-05-29   15
118 2021-05-30    2
119 2021-05-31    2
120 2021-06-01    4
121 2021-06-02    0
122 2021-06-03    2
123 2021-06-04    0
124 2021-06-05    7
125 2021-06-06    4
126 2021-06-07   47
127 2021-06-08  114
128 2021-06-09   70
129 2021-06-10   25
130 2021-06-11  184
131 2021-06-12   37
132 2021-06-13   25
133 2021-06-14   30
134 2021-06-15   25
135 2021-06-16   35
136 2021-06-17    7
137 2021-06-18   15
138 2021-06-19   39
139 2021-06-20   15
140 2021-06-21   22
141 2021-06-22   17
142 2021-06-23    7
143 2021-06-24   20
144 2021-06-25   22
145 2021-06-26    4
146 2021-06-27    0
147 2021-06-28    0
148 2021-06-29    2
149 2021-06-30    2
150 2021-07-01   15
151 2021-07-02   35
152 2021-07-03   49
153 2021-07-04   60
154 2021-07-05   25
155 2021-07-06   39
156 2021-07-07   15
157 2021-07-08   20
158 2021-07-09   12
159 2021-07-10    2
160 2021-07-11   12
161 2021-07-12    7
162 2021-07-13    9
163 2021-07-14    2
164 2021-07-15    0
