          date data
0   2021-02-01    2
1   2021-02-02    2
2   2021-02-03    2
3   2021-02-04    8
4   2021-02-05    0
5   2021-02-06    2
6   2021-02-07    2
7   2021-02-08    0
8   2021-02-09    7
9   2021-02-10    9
10  2021-02-11   12
11  2021-02-12    7
12  2021-02-13    9
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18    7
18  2021-02-19    0
19  2021-02-20    0
20  2021-02-21    9
21  2021-02-22    9
22  2021-02-23    0
23  2021-02-24    0
24  2021-02-25    2
25  2021-02-26    4
26  2021-02-27    0
27  2021-02-28    4
28  2021-03-01    0
29  2021-03-02    2
30  2021-03-03    4
31  2021-03-04    2
32  2021-03-05    2
33  2021-03-06    0
34  2021-03-07    2
35  2021-03-08    2
36  2021-03-09    4
37  2021-03-10   25
38  2021-03-11    2
39  2021-03-12    4
40  2021-03-13    0
41  2021-03-14    2
42  2021-03-15   20
43  2021-03-16    0
44  2021-03-17    7
45  2021-03-18    9
46  2021-03-19    7
47  2021-03-20    4
48  2021-03-21    9
49  2021-03-22    7
50  2021-03-23   22
51  2021-03-24    7
52  2021-03-25    8
53  2021-03-26    4
54  2021-03-27    7
55  2021-03-28    2
56  2021-03-29   37
57  2021-03-30    4
58  2021-03-31   15
59  2021-04-01    2
60  2021-04-02    7
61  2021-04-03    0
62  2021-04-04    0
63  2021-04-05    7
64  2021-04-06    4
65  2021-04-07    0
66  2021-04-08    0
67  2021-04-09    4
68  2021-04-10    7
69  2021-04-11    7
70  2021-04-12    9
71  2021-04-13    4
72  2021-04-14    2
73  2021-04-15    2
74  2021-04-16    2
75  2021-04-17    0
76  2021-04-18    2
77  2021-04-19    0
78  2021-04-20    2
79  2021-04-21    2
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    0
85  2021-04-27    7
86  2021-04-28    4
87  2021-04-29    9
88  2021-04-30    0
89  2021-05-01    7
90  2021-05-02    7
91  2021-05-03    9
92  2021-05-04    7
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    0
103 2021-05-15  119
104 2021-05-16    2
105 2021-05-17    0
106 2021-05-18    2
107 2021-05-19    2
108 2021-05-20   15
109 2021-05-21    0
110 2021-05-22    2
111 2021-05-23   32
112 2021-05-24   12
113 2021-05-25   12
114 2021-05-26    9
115 2021-05-27    9
116 2021-05-28    4
117 2021-05-29    2
118 2021-05-30    7
119 2021-05-31    2
120 2021-06-01    2
121 2021-06-02    2
122 2021-06-03    0
123 2021-06-04    0
124 2021-06-05    2
125 2021-06-06    0
126 2021-06-07   30
127 2021-06-08   95
128 2021-06-09   62
129 2021-06-10   20
130 2021-06-11  210
131 2021-06-12   37
132 2021-06-13   25
133 2021-06-14   15
134 2021-06-15   15
135 2021-06-16   30
136 2021-06-17    9
137 2021-06-18   17
138 2021-06-19   20
139 2021-06-20   15
140 2021-06-21   15
141 2021-06-22    7
142 2021-06-23    9
143 2021-06-24   47
144 2021-06-25    2
145 2021-06-26    2
146 2021-06-27    0
147 2021-06-28    0
148 2021-06-29   12
149 2021-06-30    2
150 2021-07-01   12
151 2021-07-02   32
152 2021-07-03   35
153 2021-07-04   27
154 2021-07-05   27
155 2021-07-06   37
156 2021-07-07   15
157 2021-07-08    2
158 2021-07-09    9
159 2021-07-10   15
160 2021-07-11    2
161 2021-07-12    2
162 2021-07-13    2
163 2021-07-14    0
164 2021-07-15    0
