          date     data
0   2021-02-01    11322
1   2021-02-02    31562
2   2021-02-03    19664
3   2021-02-04    10978
4   2021-02-05     4357
5   2021-02-06     1445
6   2021-02-07      377
7   2021-02-08      652
8   2021-02-09     6579
9   2021-02-10    18549
10  2021-02-11    26919
11  2021-02-12    15389
12  2021-02-13     5912
13  2021-02-14     2410
14  2021-02-15     1825
15  2021-02-16      892
16  2021-02-17     4815
17  2021-02-18    13189
18  2021-02-19    15054
19  2021-02-20    19982
20  2021-02-21    22969
21  2021-02-22    18737
22  2021-02-23    10862
23  2021-02-24     4782
24  2021-02-25     2800
25  2021-02-26     3197
26  2021-02-27     6972
27  2021-02-28     3747
28  2021-03-01     7722
29  2021-03-02     8409
30  2021-03-03     6404
31  2021-03-04     6952
32  2021-03-05     6409
33  2021-03-06     5362
34  2021-03-07    10492
35  2021-03-08     7537
36  2021-03-09    16632
37  2021-03-10    37394
38  2021-03-11    23639
39  2021-03-12    17232
40  2021-03-13    13197
41  2021-03-14    24479
42  2021-03-15    14124
43  2021-03-16    12884
44  2021-03-17    27164
45  2021-03-18    41799
46  2021-03-19    30779
47  2021-03-20    32037
48  2021-03-21    31142
49  2021-03-22    22479
50  2021-03-23    27234
51  2021-03-24    14552
52  2021-03-25    35844
53  2021-03-26    23782
54  2021-03-27    23212
55  2021-03-28    17942
56  2021-03-29    46059
57  2021-03-30    26277
58  2021-03-31    30267
59  2021-04-01    20334
60  2021-04-02    14832
61  2021-04-03    12999
62  2021-04-04    10999
63  2021-04-05    18489
64  2021-04-06    16437
65  2021-04-07     7780
66  2021-04-08     7524
67  2021-04-09    28114
68  2021-04-10    18522
69  2021-04-11    24284
70  2021-04-12    22147
71  2021-04-13    16399
72  2021-04-14     8737
73  2021-04-15     6527
74  2021-04-16     8302
75  2021-04-17    11834
76  2021-04-18    10819
77  2021-04-19    15827
78  2021-04-20    12892
79  2021-04-21     6629
80  2021-04-22     5024
81  2021-04-23     1862
82  2021-04-24      449
83  2021-04-25      435
84  2021-04-26     8494
85  2021-04-27    30719
86  2021-04-28    38472
87  2021-04-29    31942
88  2021-04-30    56802
89  2021-05-01    27274
90  2021-05-02    21132
91  2021-05-03    29762
92  2021-05-04    65734
93  2021-05-05     1949
94  2021-05-06     1334
95  2021-05-07     1372
96  2021-05-08     3142
97  2021-05-09     4885
98  2021-05-10     2400
99  2021-05-11     1525
100 2021-05-12      905
101 2021-05-13     2365
102 2021-05-14    16679
103 2021-05-15   419527
104 2021-05-16     2987
105 2021-05-17     2912
106 2021-05-18     4182
107 2021-05-19     5327
108 2021-05-20   147864
109 2021-05-21    36127
110 2021-05-22    42837
111 2021-05-23    87792
112 2021-05-24    87334
113 2021-05-25    43772
114 2021-05-26    28492
115 2021-05-27    36854
116 2021-05-28    35082
117 2021-05-29    39039
118 2021-05-30    22019
119 2021-05-31    16059
120 2021-06-01     8007
121 2021-06-02    10039
122 2021-06-03     9817
123 2021-06-04    11959
124 2021-06-05    31327
125 2021-06-06    25129
126 2021-06-07   158454
127 2021-06-08   542759
128 2021-06-09   231482
129 2021-06-10   102459
130 2021-06-11  1095944
131 2021-06-12   143104
132 2021-06-13    85169
133 2021-06-14    77754
134 2021-06-15    64389
135 2021-06-16    86812
136 2021-06-17    48647
137 2021-06-18    64689
138 2021-06-19    90147
139 2021-06-20    90764
140 2021-06-21    65502
141 2021-06-22    45767
142 2021-06-23    51819
143 2021-06-24   118957
144 2021-06-25    44692
145 2021-06-26    31129
146 2021-06-27    13907
147 2021-06-28    12257
148 2021-06-29    10987
149 2021-06-30    27147
150 2021-07-01    54812
151 2021-07-02   152037
152 2021-07-03   185779
153 2021-07-04   178687
154 2021-07-05   115357
155 2021-07-06    83494
156 2021-07-07    45259
157 2021-07-08    39177
158 2021-07-09    52579
159 2021-07-10    38087
160 2021-07-11    39094
161 2021-07-12    39949
162 2021-07-13    27379
163 2021-07-14    18809
164 2021-07-15    21117
