          date data
0   2021-02-01    4
1   2021-02-02   17
2   2021-02-03    9
3   2021-02-04    0
4   2021-02-05    4
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    7
9   2021-02-10   32
10  2021-02-11   20
11  2021-02-12    4
12  2021-02-13    4
13  2021-02-14    2
14  2021-02-15    9
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18   12
18  2021-02-19    4
19  2021-02-20    2
20  2021-02-21   15
21  2021-02-22   22
22  2021-02-23    2
23  2021-02-24    0
24  2021-02-25    7
25  2021-02-26    2
26  2021-02-27    4
27  2021-02-28    2
28  2021-03-01    7
29  2021-03-02    4
30  2021-03-03    7
31  2021-03-04    4
32  2021-03-05    4
33  2021-03-06    4
34  2021-03-07   15
35  2021-03-08    4
36  2021-03-09   25
37  2021-03-10   25
38  2021-03-11   17
39  2021-03-12    9
40  2021-03-13   17
41  2021-03-14   30
42  2021-03-15    9
43  2021-03-16   12
44  2021-03-17   32
45  2021-03-18   22
46  2021-03-19   39
47  2021-03-20   42
48  2021-03-21   30
49  2021-03-22    7
50  2021-03-23    9
51  2021-03-24    4
52  2021-03-25   34
53  2021-03-26   20
54  2021-03-27    7
55  2021-03-28   15
56  2021-03-29   55
57  2021-03-30   25
58  2021-03-31   25
59  2021-04-01    9
60  2021-04-02   17
61  2021-04-03    7
62  2021-04-04   12
63  2021-04-05    9
64  2021-04-06    2
65  2021-04-07    9
66  2021-04-08   12
67  2021-04-09   25
68  2021-04-10   20
69  2021-04-11   27
70  2021-04-12   15
71  2021-04-13    7
72  2021-04-14    4
73  2021-04-15   12
74  2021-04-16    4
75  2021-04-17   15
76  2021-04-18    2
77  2021-04-19   35
78  2021-04-20   12
79  2021-04-21    4
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    9
85  2021-04-27   30
86  2021-04-28   25
87  2021-04-29   20
88  2021-04-30   72
89  2021-05-01   35
90  2021-05-02   20
91  2021-05-03   12
92  2021-05-04   32
93  2021-05-05    4
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    2
99  2021-05-11    2
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14   17
103 2021-05-15  180
104 2021-05-16    2
105 2021-05-17   15
106 2021-05-18   49
107 2021-05-19    4
108 2021-05-20   85
109 2021-05-21   37
110 2021-05-22   57
111 2021-05-23   74
112 2021-05-24   37
113 2021-05-25   22
114 2021-05-26   17
115 2021-05-27   30
116 2021-05-28   27
117 2021-05-29   37
118 2021-05-30   20
119 2021-05-31    7
120 2021-06-01    2
121 2021-06-02    7
122 2021-06-03   49
123 2021-06-04    4
124 2021-06-05   30
125 2021-06-06   37
126 2021-06-07  135
127 2021-06-08  345
128 2021-06-09  147
129 2021-06-10   60
130 2021-06-11  572
131 2021-06-12  109
132 2021-06-13   60
133 2021-06-14   62
134 2021-06-15   49
135 2021-06-16   77
136 2021-06-17   27
137 2021-06-18   57
138 2021-06-19   35
139 2021-06-20   57
140 2021-06-21   37
141 2021-06-22   39
142 2021-06-23   32
143 2021-06-24   62
144 2021-06-25   17
145 2021-06-26    7
146 2021-06-27    4
147 2021-06-28    2
148 2021-06-29    4
149 2021-06-30    9
150 2021-07-01   55
151 2021-07-02   67
152 2021-07-03  127
153 2021-07-04  100
154 2021-07-05   65
155 2021-07-06   30
156 2021-07-07   27
157 2021-07-08   15
158 2021-07-09   27
159 2021-07-10   20
160 2021-07-11   30
161 2021-07-12   27
162 2021-07-13    4
163 2021-07-14    7
164 2021-07-15   17
