          date  data
0   2021-02-01    37
1   2021-02-02    32
2   2021-02-03    25
3   2021-02-04    24
4   2021-02-05     2
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     4
8   2021-02-09    12
9   2021-02-10    22
10  2021-02-11    52
11  2021-02-12    17
12  2021-02-13    12
13  2021-02-14     7
14  2021-02-15     2
15  2021-02-16     2
16  2021-02-17     9
17  2021-02-18    12
18  2021-02-19    22
19  2021-02-20    25
20  2021-02-21    47
21  2021-02-22    27
22  2021-02-23    12
23  2021-02-24     2
24  2021-02-25     0
25  2021-02-26     0
26  2021-02-27     9
27  2021-02-28     0
28  2021-03-01    12
29  2021-03-02     4
30  2021-03-03     4
31  2021-03-04     2
32  2021-03-05    15
33  2021-03-06     9
34  2021-03-07    22
35  2021-03-08     9
36  2021-03-09    39
37  2021-03-10    62
38  2021-03-11    55
39  2021-03-12    37
40  2021-03-13    35
41  2021-03-14    60
42  2021-03-15    22
43  2021-03-16    15
44  2021-03-17    57
45  2021-03-18    60
46  2021-03-19    37
47  2021-03-20    62
48  2021-03-21    35
49  2021-03-22    39
50  2021-03-23    25
51  2021-03-24    47
52  2021-03-25    24
53  2021-03-26    27
54  2021-03-27    60
55  2021-03-28    35
56  2021-03-29   135
57  2021-03-30    77
58  2021-03-31    65
59  2021-04-01    27
60  2021-04-02    20
61  2021-04-03     9
62  2021-04-04     4
63  2021-04-05    52
64  2021-04-06     9
65  2021-04-07     7
66  2021-04-08     7
67  2021-04-09    42
68  2021-04-10    12
69  2021-04-11    35
70  2021-04-12    27
71  2021-04-13    22
72  2021-04-14     4
73  2021-04-15     0
74  2021-04-16     9
75  2021-04-17    15
76  2021-04-18    20
77  2021-04-19    12
78  2021-04-20    20
79  2021-04-21     2
80  2021-04-22     0
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    15
85  2021-04-27    74
86  2021-04-28    49
87  2021-04-29    52
88  2021-04-30    92
89  2021-05-01    30
90  2021-05-02    42
91  2021-05-03    44
92  2021-05-04   132
93  2021-05-05     0
94  2021-05-06    15
95  2021-05-07     2
96  2021-05-08     0
97  2021-05-09     9
98  2021-05-10     0
99  2021-05-11     9
100 2021-05-12     0
101 2021-05-13     4
102 2021-05-14    22
103 2021-05-15   589
104 2021-05-16     7
105 2021-05-17     4
106 2021-05-18     7
107 2021-05-19     4
108 2021-05-20   219
109 2021-05-21    55
110 2021-05-22    89
111 2021-05-23   100
112 2021-05-24   127
113 2021-05-25    67
114 2021-05-26    49
115 2021-05-27    55
116 2021-05-28    55
117 2021-05-29    44
118 2021-05-30    30
119 2021-05-31    17
120 2021-06-01    15
121 2021-06-02    17
122 2021-06-03     4
123 2021-06-04    20
124 2021-06-05    44
125 2021-06-06    47
126 2021-06-07   329
127 2021-06-08  1112
128 2021-06-09   325
129 2021-06-10   192
130 2021-06-11  1305
131 2021-06-12   217
132 2021-06-13   142
133 2021-06-14   124
134 2021-06-15    92
135 2021-06-16   132
136 2021-06-17    97
137 2021-06-18    72
138 2021-06-19   119
139 2021-06-20   127
140 2021-06-21    97
141 2021-06-22    52
142 2021-06-23    87
143 2021-06-24   182
144 2021-06-25    30
145 2021-06-26    30
146 2021-06-27    17
147 2021-06-28    12
148 2021-06-29     4
149 2021-06-30    17
150 2021-07-01    85
151 2021-07-02   215
152 2021-07-03   292
153 2021-07-04   222
154 2021-07-05   124
155 2021-07-06    95
156 2021-07-07    70
157 2021-07-08    55
158 2021-07-09    77
159 2021-07-10    57
160 2021-07-11    27
161 2021-07-12    44
162 2021-07-13    49
163 2021-07-14    30
164 2021-07-15    35
