          date  data
0   2021-02-01    60
1   2021-02-02    67
2   2021-02-03    30
3   2021-02-04    18
4   2021-02-05    12
5   2021-02-06     7
6   2021-02-07     4
7   2021-02-08     0
8   2021-02-09    15
9   2021-02-10    52
10  2021-02-11    85
11  2021-02-12    67
12  2021-02-13     9
13  2021-02-14    15
14  2021-02-15     2
15  2021-02-16     0
16  2021-02-17    20
17  2021-02-18    42
18  2021-02-19    79
19  2021-02-20    92
20  2021-02-21    74
21  2021-02-22    32
22  2021-02-23    17
23  2021-02-24     2
24  2021-02-25     2
25  2021-02-26     4
26  2021-02-27    20
27  2021-02-28     4
28  2021-03-01    17
29  2021-03-02    20
30  2021-03-03     7
31  2021-03-04    17
32  2021-03-05     9
33  2021-03-06    25
34  2021-03-07    27
35  2021-03-08    25
36  2021-03-09    65
37  2021-03-10   112
38  2021-03-11    60
39  2021-03-12    37
40  2021-03-13    44
41  2021-03-14    74
42  2021-03-15    15
43  2021-03-16    42
44  2021-03-17    57
45  2021-03-18    79
46  2021-03-19    52
47  2021-03-20    77
48  2021-03-21    82
49  2021-03-22    77
50  2021-03-23    65
51  2021-03-24    20
52  2021-03-25    88
53  2021-03-26    44
54  2021-03-27    37
55  2021-03-28    44
56  2021-03-29   199
57  2021-03-30   130
58  2021-03-31   102
59  2021-04-01    52
60  2021-04-02    20
61  2021-04-03    27
62  2021-04-04    30
63  2021-04-05    25
64  2021-04-06    32
65  2021-04-07    12
66  2021-04-08    22
67  2021-04-09    52
68  2021-04-10    44
69  2021-04-11    65
70  2021-04-12    44
71  2021-04-13    32
72  2021-04-14    27
73  2021-04-15    17
74  2021-04-16    15
75  2021-04-17    39
76  2021-04-18    37
77  2021-04-19    27
78  2021-04-20    15
79  2021-04-21    12
80  2021-04-22    15
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    20
85  2021-04-27   102
86  2021-04-28   112
87  2021-04-29   100
88  2021-04-30   107
89  2021-05-01    85
90  2021-05-02   105
91  2021-05-03    97
92  2021-05-04   165
93  2021-05-05     4
94  2021-05-06     4
95  2021-05-07     0
96  2021-05-08     2
97  2021-05-09    12
98  2021-05-10     4
99  2021-05-11     0
100 2021-05-12     0
101 2021-05-13     4
102 2021-05-14    37
103 2021-05-15   884
104 2021-05-16    15
105 2021-05-17     4
106 2021-05-18     2
107 2021-05-19    17
108 2021-05-20   347
109 2021-05-21    92
110 2021-05-22   100
111 2021-05-23   132
112 2021-05-24   187
113 2021-05-25    87
114 2021-05-26    47
115 2021-05-27    82
116 2021-05-28    97
117 2021-05-29   114
118 2021-05-30    79
119 2021-05-31    42
120 2021-06-01    15
121 2021-06-02     7
122 2021-06-03    25
123 2021-06-04    42
124 2021-06-05    72
125 2021-06-06    77
126 2021-06-07   452
127 2021-06-08  1530
128 2021-06-09   730
129 2021-06-10   275
130 2021-06-11  2077
131 2021-06-12   357
132 2021-06-13   275
133 2021-06-14   170
134 2021-06-15   142
135 2021-06-16   242
136 2021-06-17   142
137 2021-06-18   140
138 2021-06-19   159
139 2021-06-20   147
140 2021-06-21   137
141 2021-06-22   100
142 2021-06-23    92
143 2021-06-24   219
144 2021-06-25    97
145 2021-06-26    67
146 2021-06-27    52
147 2021-06-28    17
148 2021-06-29    22
149 2021-06-30    47
150 2021-07-01   137
151 2021-07-02   379
152 2021-07-03   415
153 2021-07-04   435
154 2021-07-05   229
155 2021-07-06   189
156 2021-07-07    62
157 2021-07-08    89
158 2021-07-09    97
159 2021-07-10    67
160 2021-07-11    67
161 2021-07-12    62
162 2021-07-13    37
163 2021-07-14    37
164 2021-07-15    35
