          date data
0   2021-02-01    9
1   2021-02-02   15
2   2021-02-03   15
3   2021-02-04    4
4   2021-02-05    2
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    9
9   2021-02-10   15
10  2021-02-11    9
11  2021-02-12   15
12  2021-02-13    4
13  2021-02-14    7
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    9
17  2021-02-18   30
18  2021-02-19   25
19  2021-02-20    4
20  2021-02-21    9
21  2021-02-22    7
22  2021-02-23    0
23  2021-02-24    4
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    4
27  2021-02-28    0
28  2021-03-01    2
29  2021-03-02    4
30  2021-03-03    9
31  2021-03-04    7
32  2021-03-05    0
33  2021-03-06    4
34  2021-03-07    4
35  2021-03-08    2
36  2021-03-09   12
37  2021-03-10   32
38  2021-03-11   12
39  2021-03-12   25
40  2021-03-13    2
41  2021-03-14   25
42  2021-03-15    4
43  2021-03-16   12
44  2021-03-17   22
45  2021-03-18   25
46  2021-03-19   15
47  2021-03-20   27
48  2021-03-21   22
49  2021-03-22   17
50  2021-03-23   37
51  2021-03-24    0
52  2021-03-25   30
53  2021-03-26   15
54  2021-03-27   15
55  2021-03-28    2
56  2021-03-29   57
57  2021-03-30   22
58  2021-03-31   17
59  2021-04-01   17
60  2021-04-02   12
61  2021-04-03    2
62  2021-04-04    9
63  2021-04-05    7
64  2021-04-06    7
65  2021-04-07    0
66  2021-04-08    2
67  2021-04-09   15
68  2021-04-10    7
69  2021-04-11   22
70  2021-04-12    4
71  2021-04-13   22
72  2021-04-14    7
73  2021-04-15    2
74  2021-04-16    2
75  2021-04-17    7
76  2021-04-18    4
77  2021-04-19    4
78  2021-04-20    7
79  2021-04-21    7
80  2021-04-22    2
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26   17
85  2021-04-27   52
86  2021-04-28   25
87  2021-04-29   30
88  2021-04-30   42
89  2021-05-01   17
90  2021-05-02   17
91  2021-05-03   32
92  2021-05-04   70
93  2021-05-05    4
94  2021-05-06    2
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    4
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    2
103 2021-05-15  280
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    7
107 2021-05-19    4
108 2021-05-20   77
109 2021-05-21   17
110 2021-05-22   30
111 2021-05-23   82
112 2021-05-24   89
113 2021-05-25   35
114 2021-05-26   30
115 2021-05-27   35
116 2021-05-28   35
117 2021-05-29   47
118 2021-05-30   17
119 2021-05-31    0
120 2021-06-01    9
121 2021-06-02    0
122 2021-06-03   15
123 2021-06-04    9
124 2021-06-05   32
125 2021-06-06   22
126 2021-06-07  162
127 2021-06-08  599
128 2021-06-09  245
129 2021-06-10   82
130 2021-06-11  894
131 2021-06-12  147
132 2021-06-13   89
133 2021-06-14  105
134 2021-06-15   62
135 2021-06-16   87
136 2021-06-17   30
137 2021-06-18   32
138 2021-06-19   44
139 2021-06-20   37
140 2021-06-21   52
141 2021-06-22   30
142 2021-06-23   47
143 2021-06-24   55
144 2021-06-25   30
145 2021-06-26   32
146 2021-06-27    4
147 2021-06-28    4
148 2021-06-29    2
149 2021-06-30    4
150 2021-07-01   37
151 2021-07-02  137
152 2021-07-03  142
153 2021-07-04  127
154 2021-07-05  119
155 2021-07-06   37
156 2021-07-07   39
157 2021-07-08   30
158 2021-07-09   39
159 2021-07-10   55
160 2021-07-11   44
161 2021-07-12   37
162 2021-07-13   27
163 2021-07-14    9
164 2021-07-15   22
