          date    data
0   2021-02-01    1048
1   2021-02-02    4434
2   2021-02-03    1978
3   2021-02-04    1636
4   2021-02-05     700
5   2021-02-06     238
6   2021-02-07       0
7   2021-02-08     124
8   2021-02-09     790
9   2021-02-10    2484
10  2021-02-11    3430
11  2021-02-12    1810
12  2021-02-13     674
13  2021-02-14     284
14  2021-02-15     190
15  2021-02-16       8
16  2021-02-17     534
17  2021-02-18    1820
18  2021-02-19    2414
19  2021-02-20    3710
20  2021-02-21    3704
21  2021-02-22    3068
22  2021-02-23    1568
23  2021-02-24     724
24  2021-02-25     384
25  2021-02-26     458
26  2021-02-27     814
27  2021-02-28     580
28  2021-03-01    1384
29  2021-03-02    1324
30  2021-03-03     894
31  2021-03-04    1324
32  2021-03-05    1114
33  2021-03-06     860
34  2021-03-07    1564
35  2021-03-08    1184
36  2021-03-09    2084
37  2021-03-10    5720
38  2021-03-11    3700
39  2021-03-12    2234
40  2021-03-13    1944
41  2021-03-14    5144
42  2021-03-15    2550
43  2021-03-16    1928
44  2021-03-17    4334
45  2021-03-18    7004
46  2021-03-19    5530
47  2021-03-20    4884
48  2021-03-21    4604
49  2021-03-22    3280
50  2021-03-23    4044
51  2021-03-24    2534
52  2021-03-25    6360
53  2021-03-26    4430
54  2021-03-27    4204
55  2021-03-28    4554
56  2021-03-29    3874
57  2021-03-30    2458
58  2021-03-31    4150
59  2021-04-01    3780
60  2021-04-02    3218
61  2021-04-03    3040
62  2021-04-04    2310
63  2021-04-05    4104
64  2021-04-06    3470
65  2021-04-07    1648
66  2021-04-08    1720
67  2021-04-09    7154
68  2021-04-10    4534
69  2021-04-11    4998
70  2021-04-12    5250
71  2021-04-13    3508
72  2021-04-14    1704
73  2021-04-15    1220
74  2021-04-16    1534
75  2021-04-17    1638
76  2021-04-18    2020
77  2021-04-19    3434
78  2021-04-20    2180
79  2021-04-21    1444
80  2021-04-22     714
81  2021-04-23     314
82  2021-04-24     114
83  2021-04-25      64
84  2021-04-26    1080
85  2021-04-27    3654
86  2021-04-28    6100
87  2021-04-29    3850
88  2021-04-30    6948
89  2021-05-01    2808
90  2021-05-02    2100
91  2021-05-03    3200
92  2021-05-04    7604
93  2021-05-05     364
94  2021-05-06     234
95  2021-05-07     244
96  2021-05-08     384
97  2021-05-09     694
98  2021-05-10     304
99  2021-05-11     244
100 2021-05-12     140
101 2021-05-13     490
102 2021-05-14    3274
103 2021-05-15   59578
104 2021-05-16     334
105 2021-05-17     458
106 2021-05-18     464
107 2021-05-19     684
108 2021-05-20   24464
109 2021-05-21    5764
110 2021-05-22    6538
111 2021-05-23   11408
112 2021-05-24    9444
113 2021-05-25    4488
114 2021-05-26    2504
115 2021-05-27    4520
116 2021-05-28    3544
117 2021-05-29    3334
118 2021-05-30    2124
119 2021-05-31    1698
120 2021-06-01     884
121 2021-06-02    1070
122 2021-06-03    1090
123 2021-06-04    1384
124 2021-06-05    3958
125 2021-06-06    2590
126 2021-06-07   11208
127 2021-06-08   37414
128 2021-06-09   16058
129 2021-06-10    8390
130 2021-06-11  115608
131 2021-06-12   13508
132 2021-06-13    6708
133 2021-06-14    6270
134 2021-06-15    5910
135 2021-06-16    9688
136 2021-06-17    4794
137 2021-06-18    5564
138 2021-06-19    9284
139 2021-06-20   10998
140 2021-06-21    6780
141 2021-06-22    4794
142 2021-06-23    5150
143 2021-06-24    9168
144 2021-06-25    4678
145 2021-06-26    3388
146 2021-06-27    1904
147 2021-06-28    1774
148 2021-06-29    1588
149 2021-06-30    3384
150 2021-07-01    5694
151 2021-07-02   18618
152 2021-07-03   22608
153 2021-07-04   17478
154 2021-07-05   11454
155 2021-07-06    9888
156 2021-07-07    5254
157 2021-07-08    4064
158 2021-07-09    5558
159 2021-07-10    3850
160 2021-07-11    5030
161 2021-07-12    5094
162 2021-07-13    2750
163 2021-07-14    1800
164 2021-07-15    2234
