          date data
0   2021-02-01    9
1   2021-02-02    9
2   2021-02-03   17
3   2021-02-04    8
4   2021-02-05   12
5   2021-02-06    7
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09   12
9   2021-02-10   20
10  2021-02-11   17
11  2021-02-12    9
12  2021-02-13    7
13  2021-02-14    4
14  2021-02-15    0
15  2021-02-16    4
16  2021-02-17   25
17  2021-02-18   20
18  2021-02-19    9
19  2021-02-20   15
20  2021-02-21    7
21  2021-02-22    7
22  2021-02-23    4
23  2021-02-24    4
24  2021-02-25    2
25  2021-02-26    0
26  2021-02-27   20
27  2021-02-28    2
28  2021-03-01    0
29  2021-03-02    7
30  2021-03-03   12
31  2021-03-04    7
32  2021-03-05   12
33  2021-03-06    2
34  2021-03-07    4
35  2021-03-08    4
36  2021-03-09    7
37  2021-03-10    9
38  2021-03-11    9
39  2021-03-12    7
40  2021-03-13    7
41  2021-03-14    7
42  2021-03-15   12
43  2021-03-16    4
44  2021-03-17   15
45  2021-03-18   25
46  2021-03-19   12
47  2021-03-20   37
48  2021-03-21   20
49  2021-03-22   12
50  2021-03-23    9
51  2021-03-24   12
52  2021-03-25   14
53  2021-03-26   22
54  2021-03-27   35
55  2021-03-28    4
56  2021-03-29   62
57  2021-03-30   22
58  2021-03-31   37
59  2021-04-01   20
60  2021-04-02   12
61  2021-04-03    4
62  2021-04-04    4
63  2021-04-05   17
64  2021-04-06    7
65  2021-04-07   15
66  2021-04-08    4
67  2021-04-09   20
68  2021-04-10    7
69  2021-04-11    2
70  2021-04-12    7
71  2021-04-13    9
72  2021-04-14    2
73  2021-04-15    2
74  2021-04-16    4
75  2021-04-17   12
76  2021-04-18   15
77  2021-04-19    4
78  2021-04-20    7
79  2021-04-21    2
80  2021-04-22    4
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26   15
85  2021-04-27   42
86  2021-04-28   15
87  2021-04-29   25
88  2021-04-30   27
89  2021-05-01   27
90  2021-05-02   12
91  2021-05-03   17
92  2021-05-04   39
93  2021-05-05    4
94  2021-05-06    0
95  2021-05-07    2
96  2021-05-08    4
97  2021-05-09    2
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    4
103 2021-05-15  267
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    2
107 2021-05-19    9
108 2021-05-20   67
109 2021-05-21   22
110 2021-05-22   12
111 2021-05-23   37
112 2021-05-24   35
113 2021-05-25   32
114 2021-05-26   27
115 2021-05-27    9
116 2021-05-28   17
117 2021-05-29   44
118 2021-05-30   15
119 2021-05-31    0
120 2021-06-01    7
121 2021-06-02    9
122 2021-06-03    4
123 2021-06-04    0
124 2021-06-05   17
125 2021-06-06   15
126 2021-06-07  170
127 2021-06-08  372
128 2021-06-09  149
129 2021-06-10   82
130 2021-06-11  652
131 2021-06-12   85
132 2021-06-13   57
133 2021-06-14   27
134 2021-06-15   49
135 2021-06-16   82
136 2021-06-17   37
137 2021-06-18   30
138 2021-06-19   62
139 2021-06-20   55
140 2021-06-21   27
141 2021-06-22   35
142 2021-06-23   20
143 2021-06-24   70
144 2021-06-25   15
145 2021-06-26   20
146 2021-06-27    2
147 2021-06-28    0
148 2021-06-29    2
149 2021-06-30   25
150 2021-07-01   42
151 2021-07-02  124
152 2021-07-03  119
153 2021-07-04  109
154 2021-07-05   60
155 2021-07-06   52
156 2021-07-07   17
157 2021-07-08   22
158 2021-07-09   25
159 2021-07-10   22
160 2021-07-11   15
161 2021-07-12   22
162 2021-07-13   22
163 2021-07-14    2
164 2021-07-15   15
