          date   data
0   2021-02-01    197
1   2021-02-02    432
2   2021-02-03    184
3   2021-02-04    104
4   2021-02-05     70
5   2021-02-06     20
6   2021-02-07      0
7   2021-02-08      4
8   2021-02-09     70
9   2021-02-10    184
10  2021-02-11    302
11  2021-02-12    112
12  2021-02-13     57
13  2021-02-14     32
14  2021-02-15     20
15  2021-02-16      2
16  2021-02-17     42
17  2021-02-18    149
18  2021-02-19    255
19  2021-02-20    332
20  2021-02-21    310
21  2021-02-22    182
22  2021-02-23     97
23  2021-02-24     35
24  2021-02-25     17
25  2021-02-26      7
26  2021-02-27     70
27  2021-02-28     15
28  2021-03-01     87
29  2021-03-02     65
30  2021-03-03     79
31  2021-03-04     44
32  2021-03-05     82
33  2021-03-06     42
34  2021-03-07     82
35  2021-03-08     57
36  2021-03-09    132
37  2021-03-10    307
38  2021-03-11    217
39  2021-03-12    165
40  2021-03-13    105
41  2021-03-14    222
42  2021-03-15    114
43  2021-03-16    124
44  2021-03-17    252
45  2021-03-18    452
46  2021-03-19    312
47  2021-03-20    315
48  2021-03-21    424
49  2021-03-22    222
50  2021-03-23    252
51  2021-03-24    140
52  2021-03-25    424
53  2021-03-26    232
54  2021-03-27    239
55  2021-03-28    154
56  2021-03-29    287
57  2021-03-30    145
58  2021-03-31    215
59  2021-04-01    184
60  2021-04-02    142
61  2021-04-03    107
62  2021-04-04    102
63  2021-04-05    145
64  2021-04-06    147
65  2021-04-07     49
66  2021-04-08     72
67  2021-04-09    312
68  2021-04-10    152
69  2021-04-11    280
70  2021-04-12    224
71  2021-04-13    199
72  2021-04-14     67
73  2021-04-15     57
74  2021-04-16    107
75  2021-04-17    127
76  2021-04-18    130
77  2021-04-19    192
78  2021-04-20    117
79  2021-04-21     85
80  2021-04-22     44
81  2021-04-23     17
82  2021-04-24      2
83  2021-04-25      4
84  2021-04-26     89
85  2021-04-27    404
86  2021-04-28    367
87  2021-04-29    337
88  2021-04-30    519
89  2021-05-01    257
90  2021-05-02    177
91  2021-05-03    302
92  2021-05-04    672
93  2021-05-05     32
94  2021-05-06      4
95  2021-05-07     15
96  2021-05-08     37
97  2021-05-09     52
98  2021-05-10     32
99  2021-05-11     25
100 2021-05-12      2
101 2021-05-13     35
102 2021-05-14    159
103 2021-05-15   4405
104 2021-05-16     30
105 2021-05-17     55
106 2021-05-18     37
107 2021-05-19     82
108 2021-05-20   1912
109 2021-05-21    362
110 2021-05-22    567
111 2021-05-23    765
112 2021-05-24    712
113 2021-05-25    347
114 2021-05-26    237
115 2021-05-27    352
116 2021-05-28    334
117 2021-05-29    365
118 2021-05-30    224
119 2021-05-31    222
120 2021-06-01    114
121 2021-06-02    119
122 2021-06-03    100
123 2021-06-04    132
124 2021-06-05    280
125 2021-06-06    224
126 2021-06-07   1607
127 2021-06-08   4954
128 2021-06-09   2190
129 2021-06-10    945
130 2021-06-11  11242
131 2021-06-12   1469
132 2021-06-13    679
133 2021-06-14    622
134 2021-06-15    522
135 2021-06-16    797
136 2021-06-17    439
137 2021-06-18    659
138 2021-06-19    797
139 2021-06-20    819
140 2021-06-21    507
141 2021-06-22    404
142 2021-06-23    452
143 2021-06-24    794
144 2021-06-25    377
145 2021-06-26    257
146 2021-06-27    140
147 2021-06-28    124
148 2021-06-29     55
149 2021-06-30    210
150 2021-07-01    417
151 2021-07-02   1579
152 2021-07-03   1829
153 2021-07-04   1464
154 2021-07-05   1012
155 2021-07-06    632
156 2021-07-07    282
157 2021-07-08    350
158 2021-07-09    415
159 2021-07-10    262
160 2021-07-11    312
161 2021-07-12    280
162 2021-07-13    167
163 2021-07-14    137
164 2021-07-15    130
