          date data
0   2021-02-01    4
1   2021-02-02   35
2   2021-02-03    7
3   2021-02-04    8
4   2021-02-05    7
5   2021-02-06    2
6   2021-02-07    0
7   2021-02-08    2
8   2021-02-09    7
9   2021-02-10   12
10  2021-02-11   42
11  2021-02-12   17
12  2021-02-13   12
13  2021-02-14    2
14  2021-02-15    4
15  2021-02-16    0
16  2021-02-17    4
17  2021-02-18    7
18  2021-02-19    9
19  2021-02-20   15
20  2021-02-21   17
21  2021-02-22   15
22  2021-02-23    4
23  2021-02-24    4
24  2021-02-25    2
25  2021-02-26    7
26  2021-02-27    0
27  2021-02-28    4
28  2021-03-01    4
29  2021-03-02    0
30  2021-03-03    0
31  2021-03-04    9
32  2021-03-05    7
33  2021-03-06    7
34  2021-03-07    2
35  2021-03-08    7
36  2021-03-09   12
37  2021-03-10   30
38  2021-03-11   27
39  2021-03-12    9
40  2021-03-13   17
41  2021-03-14   20
42  2021-03-15   15
43  2021-03-16    7
44  2021-03-17   30
45  2021-03-18   60
46  2021-03-19   25
47  2021-03-20   22
48  2021-03-21   25
49  2021-03-22   30
50  2021-03-23   32
51  2021-03-24   35
52  2021-03-25   40
53  2021-03-26   30
54  2021-03-27   20
55  2021-03-28    9
56  2021-03-29   95
57  2021-03-30   17
58  2021-03-31   15
59  2021-04-01    9
60  2021-04-02   12
61  2021-04-03   12
62  2021-04-04    4
63  2021-04-05    7
64  2021-04-06    7
65  2021-04-07    7
66  2021-04-08    7
67  2021-04-09   30
68  2021-04-10    2
69  2021-04-11   32
70  2021-04-12   17
71  2021-04-13   20
72  2021-04-14    2
73  2021-04-15    9
74  2021-04-16    7
75  2021-04-17   22
76  2021-04-18    9
77  2021-04-19    4
78  2021-04-20    4
79  2021-04-21    2
80  2021-04-22    2
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    7
85  2021-04-27   12
86  2021-04-28   22
87  2021-04-29   35
88  2021-04-30   52
89  2021-05-01   15
90  2021-05-02   22
91  2021-05-03   22
92  2021-05-04   70
93  2021-05-05    0
94  2021-05-06    2
95  2021-05-07    0
96  2021-05-08    7
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    4
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14   17
103 2021-05-15  470
104 2021-05-16    4
105 2021-05-17    2
106 2021-05-18    0
107 2021-05-19    2
108 2021-05-20  122
109 2021-05-21   37
110 2021-05-22   37
111 2021-05-23   87
112 2021-05-24  114
113 2021-05-25   60
114 2021-05-26   25
115 2021-05-27   12
116 2021-05-28   35
117 2021-05-29   47
118 2021-05-30   17
119 2021-05-31   15
120 2021-06-01    4
121 2021-06-02    2
122 2021-06-03   12
123 2021-06-04   12
124 2021-06-05   25
125 2021-06-06   12
126 2021-06-07  154
127 2021-06-08  527
128 2021-06-09  217
129 2021-06-10   62
130 2021-06-11  962
131 2021-06-12  135
132 2021-06-13   89
133 2021-06-14   97
134 2021-06-15   65
135 2021-06-16   89
136 2021-06-17   42
137 2021-06-18   62
138 2021-06-19   82
139 2021-06-20   57
140 2021-06-21   44
141 2021-06-22   30
142 2021-06-23   65
143 2021-06-24  334
144 2021-06-25   39
145 2021-06-26   37
146 2021-06-27    9
147 2021-06-28    9
148 2021-06-29    7
149 2021-06-30   22
150 2021-07-01   79
151 2021-07-02  130
152 2021-07-03  170
153 2021-07-04  182
154 2021-07-05   79
155 2021-07-06  114
156 2021-07-07   30
157 2021-07-08   32
158 2021-07-09   44
159 2021-07-10   44
160 2021-07-11   47
161 2021-07-12   32
162 2021-07-13   42
163 2021-07-14   25
164 2021-07-15   15
