          date  data
0   2021-02-01    15
1   2021-02-02    39
2   2021-02-03    27
3   2021-02-04    14
4   2021-02-05     9
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    15
9   2021-02-10    49
10  2021-02-11    35
11  2021-02-12    32
12  2021-02-13    12
13  2021-02-14    17
14  2021-02-15     0
15  2021-02-16     9
16  2021-02-17    12
17  2021-02-18    20
18  2021-02-19    12
19  2021-02-20    39
20  2021-02-21    30
21  2021-02-22    15
22  2021-02-23    15
23  2021-02-24     7
24  2021-02-25     4
25  2021-02-26     2
26  2021-02-27     9
27  2021-02-28     4
28  2021-03-01     7
29  2021-03-02    22
30  2021-03-03     4
31  2021-03-04     9
32  2021-03-05    12
33  2021-03-06    12
34  2021-03-07    25
35  2021-03-08    12
36  2021-03-09    39
37  2021-03-10   107
38  2021-03-11    35
39  2021-03-12    37
40  2021-03-13    42
41  2021-03-14    37
42  2021-03-15    35
43  2021-03-16    35
44  2021-03-17    57
45  2021-03-18    60
46  2021-03-19    37
47  2021-03-20    39
48  2021-03-21    35
49  2021-03-22    39
50  2021-03-23    52
51  2021-03-24    15
52  2021-03-25    64
53  2021-03-26    62
54  2021-03-27    49
55  2021-03-28    39
56  2021-03-29   157
57  2021-03-30    44
58  2021-03-31    87
59  2021-04-01    44
60  2021-04-02    37
61  2021-04-03    15
62  2021-04-04    20
63  2021-04-05    22
64  2021-04-06    37
65  2021-04-07    30
66  2021-04-08     9
67  2021-04-09    70
68  2021-04-10    42
69  2021-04-11    49
70  2021-04-12    39
71  2021-04-13    20
72  2021-04-14     4
73  2021-04-15    20
74  2021-04-16     9
75  2021-04-17    35
76  2021-04-18    42
77  2021-04-19    27
78  2021-04-20    17
79  2021-04-21    12
80  2021-04-22     4
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    12
85  2021-04-27    57
86  2021-04-28    67
87  2021-04-29    37
88  2021-04-30   107
89  2021-05-01    44
90  2021-05-02    35
91  2021-05-03    49
92  2021-05-04   119
93  2021-05-05     4
94  2021-05-06     2
95  2021-05-07     0
96  2021-05-08    15
97  2021-05-09     4
98  2021-05-10     0
99  2021-05-11     9
100 2021-05-12     0
101 2021-05-13     2
102 2021-05-14    39
103 2021-05-15   884
104 2021-05-16     4
105 2021-05-17     4
106 2021-05-18     2
107 2021-05-19    12
108 2021-05-20   224
109 2021-05-21    57
110 2021-05-22    62
111 2021-05-23   159
112 2021-05-24   182
113 2021-05-25   114
114 2021-05-26    44
115 2021-05-27    72
116 2021-05-28    62
117 2021-05-29    79
118 2021-05-30    12
119 2021-05-31    35
120 2021-06-01     2
121 2021-06-02    20
122 2021-06-03    17
123 2021-06-04    25
124 2021-06-05    44
125 2021-06-06    37
126 2021-06-07   317
127 2021-06-08  1139
128 2021-06-09   470
129 2021-06-10   172
130 2021-06-11  1842
131 2021-06-12   255
132 2021-06-13   142
133 2021-06-14   149
134 2021-06-15   149
135 2021-06-16   157
136 2021-06-17   107
137 2021-06-18   140
138 2021-06-19   147
139 2021-06-20   170
140 2021-06-21    97
141 2021-06-22    77
142 2021-06-23    70
143 2021-06-24   640
144 2021-06-25    97
145 2021-06-26    57
146 2021-06-27    25
147 2021-06-28    22
148 2021-06-29    20
149 2021-06-30    37
150 2021-07-01   107
151 2021-07-02   294
152 2021-07-03   262
153 2021-07-04   304
154 2021-07-05   237
155 2021-07-06   130
156 2021-07-07    62
157 2021-07-08    74
158 2021-07-09   102
159 2021-07-10    89
160 2021-07-11   102
161 2021-07-12    52
162 2021-07-13    30
163 2021-07-14    12
164 2021-07-15    42
