          date data
0   2021-02-01    7
1   2021-02-02   22
2   2021-02-03   25
3   2021-02-04    0
4   2021-02-05    2
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10   17
10  2021-02-11   17
11  2021-02-12   20
12  2021-02-13    2
13  2021-02-14    0
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    4
17  2021-02-18    2
18  2021-02-19    2
19  2021-02-20    9
20  2021-02-21    9
21  2021-02-22   15
22  2021-02-23    0
23  2021-02-24    2
24  2021-02-25    4
25  2021-02-26    2
26  2021-02-27    0
27  2021-02-28    0
28  2021-03-01    2
29  2021-03-02    0
30  2021-03-03    0
31  2021-03-04    0
32  2021-03-05    9
33  2021-03-06    0
34  2021-03-07    0
35  2021-03-08    0
36  2021-03-09   12
37  2021-03-10   17
38  2021-03-11    4
39  2021-03-12    0
40  2021-03-13    2
41  2021-03-14   12
42  2021-03-15    7
43  2021-03-16    0
44  2021-03-17   12
45  2021-03-18    7
46  2021-03-19   17
47  2021-03-20   25
48  2021-03-21    9
49  2021-03-22    4
50  2021-03-23   12
51  2021-03-24    2
52  2021-03-25    8
53  2021-03-26   12
54  2021-03-27    7
55  2021-03-28    4
56  2021-03-29   12
57  2021-03-30    9
58  2021-03-31   20
59  2021-04-01    4
60  2021-04-02    7
61  2021-04-03    2
62  2021-04-04    2
63  2021-04-05    2
64  2021-04-06    0
65  2021-04-07    2
66  2021-04-08    7
67  2021-04-09    9
68  2021-04-10    2
69  2021-04-11    2
70  2021-04-12    4
71  2021-04-13    2
72  2021-04-14    4
73  2021-04-15    0
74  2021-04-16    0
75  2021-04-17    2
76  2021-04-18    4
77  2021-04-19    4
78  2021-04-20    2
79  2021-04-21    2
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27    4
86  2021-04-28    7
87  2021-04-29   12
88  2021-04-30   39
89  2021-05-01   12
90  2021-05-02    4
91  2021-05-03   12
92  2021-05-04   30
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    2
101 2021-05-13    0
102 2021-05-14    7
103 2021-05-15  140
104 2021-05-16    2
105 2021-05-17    2
106 2021-05-18    2
107 2021-05-19    2
108 2021-05-20   12
109 2021-05-21    7
110 2021-05-22    7
111 2021-05-23   35
112 2021-05-24   42
113 2021-05-25   17
114 2021-05-26   15
115 2021-05-27   12
116 2021-05-28   12
117 2021-05-29   35
118 2021-05-30    0
119 2021-05-31    0
120 2021-06-01    4
121 2021-06-02    2
122 2021-06-03    0
123 2021-06-04   17
124 2021-06-05   20
125 2021-06-06   15
126 2021-06-07   95
127 2021-06-08  292
128 2021-06-09  117
129 2021-06-10   39
130 2021-06-11  334
131 2021-06-12   92
132 2021-06-13   49
133 2021-06-14   47
134 2021-06-15   25
135 2021-06-16   32
136 2021-06-17   27
137 2021-06-18   39
138 2021-06-19   37
139 2021-06-20   44
140 2021-06-21   37
141 2021-06-22   30
142 2021-06-23   39
143 2021-06-24  162
144 2021-06-25    7
145 2021-06-26   15
146 2021-06-27    4
147 2021-06-28    0
148 2021-06-29    7
149 2021-06-30   15
150 2021-07-01   30
151 2021-07-02   52
152 2021-07-03   52
153 2021-07-04   72
154 2021-07-05   44
155 2021-07-06   12
156 2021-07-07    9
157 2021-07-08   15
158 2021-07-09   22
159 2021-07-10   22
160 2021-07-11   12
161 2021-07-12    2
162 2021-07-13   15
163 2021-07-14    4
164 2021-07-15    4
