          date  data
0   2021-02-01    25
1   2021-02-02    44
2   2021-02-03    27
3   2021-02-04    24
4   2021-02-05     9
5   2021-02-06     0
6   2021-02-07     2
7   2021-02-08     2
8   2021-02-09     7
9   2021-02-10    27
10  2021-02-11    62
11  2021-02-12    32
12  2021-02-13    20
13  2021-02-14     2
14  2021-02-15     9
15  2021-02-16     4
16  2021-02-17     7
17  2021-02-18    30
18  2021-02-19    22
19  2021-02-20    32
20  2021-02-21    22
21  2021-02-22    42
22  2021-02-23    22
23  2021-02-24     7
24  2021-02-25     7
25  2021-02-26     4
26  2021-02-27    12
27  2021-02-28     9
28  2021-03-01    25
29  2021-03-02    15
30  2021-03-03     9
31  2021-03-04    15
32  2021-03-05    20
33  2021-03-06    17
34  2021-03-07     9
35  2021-03-08    17
36  2021-03-09    32
37  2021-03-10    85
38  2021-03-11    42
39  2021-03-12    27
40  2021-03-13    35
41  2021-03-14    65
42  2021-03-15    27
43  2021-03-16    30
44  2021-03-17    57
45  2021-03-18    49
46  2021-03-19    49
47  2021-03-20    92
48  2021-03-21    55
49  2021-03-22    22
50  2021-03-23    52
51  2021-03-24    37
52  2021-03-25    60
53  2021-03-26    47
54  2021-03-27    32
55  2021-03-28    22
56  2021-03-29   124
57  2021-03-30    72
58  2021-03-31   109
59  2021-04-01    30
60  2021-04-02    25
61  2021-04-03    25
62  2021-04-04    27
63  2021-04-05    22
64  2021-04-06    25
65  2021-04-07    15
66  2021-04-08     4
67  2021-04-09    39
68  2021-04-10    25
69  2021-04-11    35
70  2021-04-12    37
71  2021-04-13    27
72  2021-04-14    12
73  2021-04-15    22
74  2021-04-16     7
75  2021-04-17    15
76  2021-04-18    17
77  2021-04-19    42
78  2021-04-20    25
79  2021-04-21     2
80  2021-04-22     0
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26     9
85  2021-04-27    47
86  2021-04-28    57
87  2021-04-29    70
88  2021-04-30    97
89  2021-05-01    42
90  2021-05-02    27
91  2021-05-03    57
92  2021-05-04   132
93  2021-05-05     2
94  2021-05-06     4
95  2021-05-07     0
96  2021-05-08     9
97  2021-05-09     4
98  2021-05-10     9
99  2021-05-11     0
100 2021-05-12     2
101 2021-05-13     0
102 2021-05-14    37
103 2021-05-15   842
104 2021-05-16     4
105 2021-05-17     9
106 2021-05-18     9
107 2021-05-19     7
108 2021-05-20   229
109 2021-05-21    30
110 2021-05-22    65
111 2021-05-23   132
112 2021-05-24   147
113 2021-05-25    92
114 2021-05-26    47
115 2021-05-27    55
116 2021-05-28    42
117 2021-05-29    87
118 2021-05-30    20
119 2021-05-31    35
120 2021-06-01     7
121 2021-06-02    12
122 2021-06-03    30
123 2021-06-04     9
124 2021-06-05    62
125 2021-06-06    47
126 2021-06-07   269
127 2021-06-08   924
128 2021-06-09   322
129 2021-06-10   182
130 2021-06-11  1740
131 2021-06-12   272
132 2021-06-13   119
133 2021-06-14   117
134 2021-06-15   107
135 2021-06-16   135
136 2021-06-17    82
137 2021-06-18   102
138 2021-06-19   162
139 2021-06-20   212
140 2021-06-21   109
141 2021-06-22    47
142 2021-06-23   107
143 2021-06-24   747
144 2021-06-25    67
145 2021-06-26    25
146 2021-06-27    22
147 2021-06-28     9
148 2021-06-29     7
149 2021-06-30    35
150 2021-07-01    79
151 2021-07-02   235
152 2021-07-03   259
153 2021-07-04   194
154 2021-07-05   130
155 2021-07-06   135
156 2021-07-07    97
157 2021-07-08    82
158 2021-07-09    77
159 2021-07-10    57
160 2021-07-11    79
161 2021-07-12    92
162 2021-07-13    15
163 2021-07-14    35
164 2021-07-15    35
