          date   data
0   2021-02-01    255
1   2021-02-02   1169
2   2021-02-03    610
3   2021-02-04    414
4   2021-02-05    109
5   2021-02-06     25
6   2021-02-07      7
7   2021-02-08      9
8   2021-02-09    177
9   2021-02-10    572
10  2021-02-11    755
11  2021-02-12    415
12  2021-02-13    165
13  2021-02-14     65
14  2021-02-15     37
15  2021-02-16      0
16  2021-02-17     70
17  2021-02-18    342
18  2021-02-19    419
19  2021-02-20    645
20  2021-02-21    752
21  2021-02-22    457
22  2021-02-23    304
23  2021-02-24    137
24  2021-02-25     72
25  2021-02-26     92
26  2021-02-27    207
27  2021-02-28    100
28  2021-03-01    197
29  2021-03-02    267
30  2021-03-03    177
31  2021-03-04    239
32  2021-03-05    194
33  2021-03-06    207
34  2021-03-07    315
35  2021-03-08    219
36  2021-03-09    457
37  2021-03-10   1207
38  2021-03-11    802
39  2021-03-12    484
40  2021-03-13    477
41  2021-03-14    945
42  2021-03-15    514
43  2021-03-16    382
44  2021-03-17    642
45  2021-03-18   1249
46  2021-03-19   1085
47  2021-03-20    917
48  2021-03-21    907
49  2021-03-22    672
50  2021-03-23    937
51  2021-03-24    377
52  2021-03-25   1020
53  2021-03-26    727
54  2021-03-27    677
55  2021-03-28    537
56  2021-03-29    602
57  2021-03-30    392
58  2021-03-31    582
59  2021-04-01    402
60  2021-04-02    439
61  2021-04-03    312
62  2021-04-04    327
63  2021-04-05    519
64  2021-04-06    424
65  2021-04-07    152
66  2021-04-08    189
67  2021-04-09    804
68  2021-04-10    487
69  2021-04-11    667
70  2021-04-12    604
71  2021-04-13    522
72  2021-04-14    210
73  2021-04-15    165
74  2021-04-16    137
75  2021-04-17    334
76  2021-04-18    239
77  2021-04-19    492
78  2021-04-20    329
79  2021-04-21    189
80  2021-04-22     97
81  2021-04-23     42
82  2021-04-24     15
83  2021-04-25     22
84  2021-04-26    197
85  2021-04-27    617
86  2021-04-28   1037
87  2021-04-29    865
88  2021-04-30   1590
89  2021-05-01    650
90  2021-05-02    477
91  2021-05-03    792
92  2021-05-04   2064
93  2021-05-05     37
94  2021-05-06     25
95  2021-05-07     37
96  2021-05-08     74
97  2021-05-09    107
98  2021-05-10     62
99  2021-05-11     22
100 2021-05-12     42
101 2021-05-13     39
102 2021-05-14    530
103 2021-05-15  15839
104 2021-05-16     74
105 2021-05-17     79
106 2021-05-18    149
107 2021-05-19    162
108 2021-05-20   4734
109 2021-05-21   1057
110 2021-05-22   1242
111 2021-05-23   2665
112 2021-05-24   2807
113 2021-05-25   1244
114 2021-05-26    882
115 2021-05-27   1102
116 2021-05-28    997
117 2021-05-29    937
118 2021-05-30    570
119 2021-05-31    407
120 2021-06-01    277
121 2021-06-02    299
122 2021-06-03    219
123 2021-06-04    282
124 2021-06-05    840
125 2021-06-06    640
126 2021-06-07   3629
127 2021-06-08  12979
128 2021-06-09   5232
129 2021-06-10   2167
130 2021-06-11  28747
131 2021-06-12   3407
132 2021-06-13   1729
133 2021-06-14   1520
134 2021-06-15   1560
135 2021-06-16   2054
136 2021-06-17   1205
137 2021-06-18   1675
138 2021-06-19   2282
139 2021-06-20   2454
140 2021-06-21   1724
141 2021-06-22   1077
142 2021-06-23   1279
143 2021-06-24  10672
144 2021-06-25   1095
145 2021-06-26    742
146 2021-06-27    350
147 2021-06-28    215
148 2021-06-29    269
149 2021-06-30    645
150 2021-07-01   1372
151 2021-07-02   4324
152 2021-07-03   4312
153 2021-07-04   4090
154 2021-07-05   2687
155 2021-07-06   2274
156 2021-07-07   1397
157 2021-07-08   1047
158 2021-07-09   1310
159 2021-07-10   1027
160 2021-07-11    957
161 2021-07-12    939
162 2021-07-13    565
163 2021-07-14    437
164 2021-07-15    432
