          date data
0   2021-02-01    4
1   2021-02-02    9
2   2021-02-03   20
3   2021-02-04    4
4   2021-02-05    7
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    2
8   2021-02-09   20
9   2021-02-10   20
10  2021-02-11   17
11  2021-02-12    9
12  2021-02-13    4
13  2021-02-14    0
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    7
17  2021-02-18   15
18  2021-02-19    9
19  2021-02-20   15
20  2021-02-21   20
21  2021-02-22    7
22  2021-02-23   20
23  2021-02-24    2
24  2021-02-25    4
25  2021-02-26    2
26  2021-02-27   22
27  2021-02-28    2
28  2021-03-01    7
29  2021-03-02    7
30  2021-03-03    7
31  2021-03-04    4
32  2021-03-05    9
33  2021-03-06    2
34  2021-03-07   12
35  2021-03-08    0
36  2021-03-09   12
37  2021-03-10   32
38  2021-03-11   27
39  2021-03-12   15
40  2021-03-13   12
41  2021-03-14   22
42  2021-03-15    9
43  2021-03-16   15
44  2021-03-17   30
45  2021-03-18   27
46  2021-03-19   20
47  2021-03-20   44
48  2021-03-21   35
49  2021-03-22   20
50  2021-03-23   12
51  2021-03-24    0
52  2021-03-25   30
53  2021-03-26   12
54  2021-03-27   17
55  2021-03-28   12
56  2021-03-29   27
57  2021-03-30   12
58  2021-03-31   15
59  2021-04-01   15
60  2021-04-02    7
61  2021-04-03   12
62  2021-04-04    2
63  2021-04-05    7
64  2021-04-06   15
65  2021-04-07    4
66  2021-04-08    7
67  2021-04-09   12
68  2021-04-10    9
69  2021-04-11   15
70  2021-04-12   20
71  2021-04-13   15
72  2021-04-14    9
73  2021-04-15    4
74  2021-04-16    0
75  2021-04-17    2
76  2021-04-18    9
77  2021-04-19    7
78  2021-04-20   20
79  2021-04-21    0
80  2021-04-22    9
81  2021-04-23    4
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    7
85  2021-04-27    7
86  2021-04-28   22
87  2021-04-29   15
88  2021-04-30   49
89  2021-05-01   35
90  2021-05-02   22
91  2021-05-03   32
92  2021-05-04   37
93  2021-05-05    2
94  2021-05-06    4
95  2021-05-07    0
96  2021-05-08    4
97  2021-05-09    0
98  2021-05-10    2
99  2021-05-11    2
100 2021-05-12    0
101 2021-05-13    2
102 2021-05-14   27
103 2021-05-15  365
104 2021-05-16    0
105 2021-05-17    2
106 2021-05-18    7
107 2021-05-19    9
108 2021-05-20   92
109 2021-05-21   30
110 2021-05-22   25
111 2021-05-23   77
112 2021-05-24   92
113 2021-05-25   39
114 2021-05-26   35
115 2021-05-27   25
116 2021-05-28   22
117 2021-05-29   60
118 2021-05-30   22
119 2021-05-31    4
120 2021-06-01    4
121 2021-06-02    4
122 2021-06-03    2
123 2021-06-04    4
124 2021-06-05   27
125 2021-06-06   20
126 2021-06-07  140
127 2021-06-08  527
128 2021-06-09  307
129 2021-06-10   79
130 2021-06-11  755
131 2021-06-12  107
132 2021-06-13   97
133 2021-06-14   92
134 2021-06-15   79
135 2021-06-16   65
136 2021-06-17   27
137 2021-06-18   70
138 2021-06-19  107
139 2021-06-20   72
140 2021-06-21   37
141 2021-06-22   32
142 2021-06-23   35
143 2021-06-24  350
144 2021-06-25   15
145 2021-06-26   25
146 2021-06-27   17
147 2021-06-28   15
148 2021-06-29    7
149 2021-06-30   22
150 2021-07-01   37
151 2021-07-02  127
152 2021-07-03  100
153 2021-07-04  177
154 2021-07-05  109
155 2021-07-06   57
156 2021-07-07   55
157 2021-07-08   22
158 2021-07-09   44
159 2021-07-10   42
160 2021-07-11   25
161 2021-07-12   15
162 2021-07-13   35
163 2021-07-14   15
164 2021-07-15   30
