          date data
0   2021-02-01    9
1   2021-02-02   25
2   2021-02-03   20
3   2021-02-04    8
4   2021-02-05    7
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10    4
10  2021-02-11   22
11  2021-02-12   15
12  2021-02-13    4
13  2021-02-14    2
14  2021-02-15    2
15  2021-02-16    0
16  2021-02-17    7
17  2021-02-18    9
18  2021-02-19    7
19  2021-02-20   17
20  2021-02-21    7
21  2021-02-22   17
22  2021-02-23    4
23  2021-02-24    2
24  2021-02-25    2
25  2021-02-26    2
26  2021-02-27    4
27  2021-02-28    0
28  2021-03-01    4
29  2021-03-02    7
30  2021-03-03    2
31  2021-03-04    7
32  2021-03-05    2
33  2021-03-06    0
34  2021-03-07   12
35  2021-03-08    7
36  2021-03-09   22
37  2021-03-10   20
38  2021-03-11   25
39  2021-03-12   20
40  2021-03-13    7
41  2021-03-14   17
42  2021-03-15    9
43  2021-03-16    2
44  2021-03-17    4
45  2021-03-18   25
46  2021-03-19    9
47  2021-03-20   17
48  2021-03-21    7
49  2021-03-22   12
50  2021-03-23   15
51  2021-03-24   17
52  2021-03-25   18
53  2021-03-26   15
54  2021-03-27   17
55  2021-03-28   20
56  2021-03-29   39
57  2021-03-30   12
58  2021-03-31   27
59  2021-04-01   12
60  2021-04-02   15
61  2021-04-03    2
62  2021-04-04   12
63  2021-04-05   25
64  2021-04-06    4
65  2021-04-07    0
66  2021-04-08    4
67  2021-04-09   20
68  2021-04-10    0
69  2021-04-11   12
70  2021-04-12   15
71  2021-04-13   22
72  2021-04-14    9
73  2021-04-15    0
74  2021-04-16    7
75  2021-04-17    4
76  2021-04-18    9
77  2021-04-19    0
78  2021-04-20    2
79  2021-04-21    0
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    9
85  2021-04-27   22
86  2021-04-28   27
87  2021-04-29   20
88  2021-04-30   55
89  2021-05-01    7
90  2021-05-02   12
91  2021-05-03   27
92  2021-05-04   22
93  2021-05-05    2
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    9
98  2021-05-10    2
99  2021-05-11    2
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    7
103 2021-05-15  367
104 2021-05-16    4
105 2021-05-17    4
106 2021-05-18    4
107 2021-05-19    0
108 2021-05-20  114
109 2021-05-21   20
110 2021-05-22   35
111 2021-05-23   92
112 2021-05-24   62
113 2021-05-25   30
114 2021-05-26   12
115 2021-05-27   35
116 2021-05-28   35
117 2021-05-29   30
118 2021-05-30   20
119 2021-05-31   17
120 2021-06-01    4
121 2021-06-02    9
122 2021-06-03    7
123 2021-06-04    0
124 2021-06-05   32
125 2021-06-06   17
126 2021-06-07  187
127 2021-06-08  447
128 2021-06-09  184
129 2021-06-10   49
130 2021-06-11  702
131 2021-06-12   97
132 2021-06-13   52
133 2021-06-14   42
134 2021-06-15   55
135 2021-06-16   52
136 2021-06-17   32
137 2021-06-18   55
138 2021-06-19   44
139 2021-06-20   65
140 2021-06-21   37
141 2021-06-22   20
142 2021-06-23   25
143 2021-06-24  302
144 2021-06-25   17
145 2021-06-26   22
146 2021-06-27    7
147 2021-06-28    2
148 2021-06-29    7
149 2021-06-30    4
150 2021-07-01   30
151 2021-07-02   97
152 2021-07-03   95
153 2021-07-04   89
154 2021-07-05   79
155 2021-07-06   67
156 2021-07-07   22
157 2021-07-08   15
158 2021-07-09   57
159 2021-07-10   47
160 2021-07-11   57
161 2021-07-12   17
162 2021-07-13   15
163 2021-07-14   17
164 2021-07-15    4
