          date data
0   2021-02-01   15
1   2021-02-02   22
2   2021-02-03   20
3   2021-02-04    4
4   2021-02-05    2
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    4
8   2021-02-09    4
9   2021-02-10   44
10  2021-02-11   20
11  2021-02-12   32
12  2021-02-13    4
13  2021-02-14    0
14  2021-02-15   12
15  2021-02-16    0
16  2021-02-17    4
17  2021-02-18   15
18  2021-02-19    4
19  2021-02-20   20
20  2021-02-21   22
21  2021-02-22   12
22  2021-02-23    7
23  2021-02-24    2
24  2021-02-25    9
25  2021-02-26    2
26  2021-02-27   15
27  2021-02-28    9
28  2021-03-01    9
29  2021-03-02   15
30  2021-03-03    2
31  2021-03-04    9
32  2021-03-05    2
33  2021-03-06    2
34  2021-03-07   15
35  2021-03-08    7
36  2021-03-09   39
37  2021-03-10   67
38  2021-03-11   35
39  2021-03-12   17
40  2021-03-13   17
41  2021-03-14   57
42  2021-03-15   17
43  2021-03-16   22
44  2021-03-17   22
45  2021-03-18   72
46  2021-03-19   25
47  2021-03-20   42
48  2021-03-21   35
49  2021-03-22   25
50  2021-03-23   37
51  2021-03-24    2
52  2021-03-25   34
53  2021-03-26   30
54  2021-03-27   25
55  2021-03-28    7
56  2021-03-29   60
57  2021-03-30   67
58  2021-03-31   52
59  2021-04-01   47
60  2021-04-02   20
61  2021-04-03    4
62  2021-04-04    2
63  2021-04-05   35
64  2021-04-06    9
65  2021-04-07    2
66  2021-04-08    7
67  2021-04-09   27
68  2021-04-10   17
69  2021-04-11   22
70  2021-04-12   15
71  2021-04-13   15
72  2021-04-14    7
73  2021-04-15   12
74  2021-04-16    2
75  2021-04-17    2
76  2021-04-18    9
77  2021-04-19   12
78  2021-04-20    4
79  2021-04-21   15
80  2021-04-22    2
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    7
85  2021-04-27   22
86  2021-04-28   30
87  2021-04-29   25
88  2021-04-30   55
89  2021-05-01   37
90  2021-05-02    9
91  2021-05-03   25
92  2021-05-04   65
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    2
96  2021-05-08    0
97  2021-05-09   12
98  2021-05-10    4
99  2021-05-11    4
100 2021-05-12    2
101 2021-05-13    2
102 2021-05-14   22
103 2021-05-15  570
104 2021-05-16    0
105 2021-05-17    4
106 2021-05-18    2
107 2021-05-19    0
108 2021-05-20  165
109 2021-05-21   22
110 2021-05-22   30
111 2021-05-23   85
112 2021-05-24   95
113 2021-05-25   72
114 2021-05-26   32
115 2021-05-27   49
116 2021-05-28   37
117 2021-05-29   47
118 2021-05-30   15
119 2021-05-31    9
120 2021-06-01    9
121 2021-06-02    7
122 2021-06-03   30
123 2021-06-04    9
124 2021-06-05   30
125 2021-06-06   20
126 2021-06-07  189
127 2021-06-08  610
128 2021-06-09  257
129 2021-06-10   97
130 2021-06-11  952
131 2021-06-12  147
132 2021-06-13   77
133 2021-06-14   85
134 2021-06-15   47
135 2021-06-16   79
136 2021-06-17   37
137 2021-06-18   47
138 2021-06-19   65
139 2021-06-20   72
140 2021-06-21   85
141 2021-06-22   44
142 2021-06-23   27
143 2021-06-24  395
144 2021-06-25   44
145 2021-06-26   27
146 2021-06-27   12
147 2021-06-28    7
148 2021-06-29    2
149 2021-06-30    4
150 2021-07-01   39
151 2021-07-02  159
152 2021-07-03  140
153 2021-07-04  140
154 2021-07-05  137
155 2021-07-06   92
156 2021-07-07   39
157 2021-07-08   35
158 2021-07-09   37
159 2021-07-10   37
160 2021-07-11   30
161 2021-07-12   27
162 2021-07-13   25
163 2021-07-14    7
164 2021-07-15   20
