          date data
0   2021-02-01   12
1   2021-02-02    7
2   2021-02-03    9
3   2021-02-04    0
4   2021-02-05    4
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    0
9   2021-02-10    7
10  2021-02-11    9
11  2021-02-12    7
12  2021-02-13    2
13  2021-02-14    2
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    7
17  2021-02-18    7
18  2021-02-19    0
19  2021-02-20    7
20  2021-02-21    2
21  2021-02-22    2
22  2021-02-23    0
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    4
27  2021-02-28    2
28  2021-03-01    2
29  2021-03-02    4
30  2021-03-03    0
31  2021-03-04    2
32  2021-03-05    4
33  2021-03-06    0
34  2021-03-07    2
35  2021-03-08    0
36  2021-03-09    4
37  2021-03-10    7
38  2021-03-11    4
39  2021-03-12    7
40  2021-03-13    2
41  2021-03-14    4
42  2021-03-15    2
43  2021-03-16    4
44  2021-03-17   22
45  2021-03-18    2
46  2021-03-19    0
47  2021-03-20    4
48  2021-03-21   15
49  2021-03-22   12
50  2021-03-23   12
51  2021-03-24    0
52  2021-03-25   18
53  2021-03-26    9
54  2021-03-27    2
55  2021-03-28    4
56  2021-03-29   15
57  2021-03-30    4
58  2021-03-31    9
59  2021-04-01    7
60  2021-04-02    2
61  2021-04-03    4
62  2021-04-04    7
63  2021-04-05   15
64  2021-04-06    7
65  2021-04-07    0
66  2021-04-08    2
67  2021-04-09   17
68  2021-04-10   12
69  2021-04-11    4
70  2021-04-12    4
71  2021-04-13    2
72  2021-04-14    0
73  2021-04-15    2
74  2021-04-16    2
75  2021-04-17    2
76  2021-04-18    4
77  2021-04-19    7
78  2021-04-20    7
79  2021-04-21    0
80  2021-04-22    0
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    0
85  2021-04-27    7
86  2021-04-28   22
87  2021-04-29    7
88  2021-04-30   27
89  2021-05-01   17
90  2021-05-02    0
91  2021-05-03    9
92  2021-05-04   35
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    9
103 2021-05-15  162
104 2021-05-16    7
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20   52
109 2021-05-21    4
110 2021-05-22   15
111 2021-05-23   30
112 2021-05-24   37
113 2021-05-25   12
114 2021-05-26   17
115 2021-05-27    7
116 2021-05-28    4
117 2021-05-29   39
118 2021-05-30    2
119 2021-05-31    4
120 2021-06-01    2
121 2021-06-02    2
122 2021-06-03    2
123 2021-06-04    4
124 2021-06-05   12
125 2021-06-06   15
126 2021-06-07  107
127 2021-06-08  312
128 2021-06-09  109
129 2021-06-10   39
130 2021-06-11  365
131 2021-06-12   74
132 2021-06-13   42
133 2021-06-14   35
134 2021-06-15   42
135 2021-06-16   39
136 2021-06-17   17
137 2021-06-18   32
138 2021-06-19   35
139 2021-06-20   42
140 2021-06-21   39
141 2021-06-22   39
142 2021-06-23   27
143 2021-06-24  165
144 2021-06-25   20
145 2021-06-26   22
146 2021-06-27    2
147 2021-06-28    4
148 2021-06-29    2
149 2021-06-30   17
150 2021-07-01   42
151 2021-07-02   72
152 2021-07-03   72
153 2021-07-04   82
154 2021-07-05   32
155 2021-07-06   30
156 2021-07-07   12
157 2021-07-08   17
158 2021-07-09   30
159 2021-07-10   25
160 2021-07-11   25
161 2021-07-12    7
162 2021-07-13   15
163 2021-07-14    9
164 2021-07-15    7
