          date data
0   2021-02-01   12
1   2021-02-02   20
2   2021-02-03   27
3   2021-02-04   14
4   2021-02-05    4
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    2
8   2021-02-09    0
9   2021-02-10   22
10  2021-02-11   35
11  2021-02-12   25
12  2021-02-13    2
13  2021-02-14    2
14  2021-02-15    0
15  2021-02-16    2
16  2021-02-17    7
17  2021-02-18    2
18  2021-02-19    7
19  2021-02-20   22
20  2021-02-21   17
21  2021-02-22   20
22  2021-02-23    7
23  2021-02-24    2
24  2021-02-25    2
25  2021-02-26    0
26  2021-02-27    9
27  2021-02-28    2
28  2021-03-01    9
29  2021-03-02    4
30  2021-03-03    0
31  2021-03-04    7
32  2021-03-05    2
33  2021-03-06    0
34  2021-03-07    4
35  2021-03-08   15
36  2021-03-09   12
37  2021-03-10   37
38  2021-03-11   17
39  2021-03-12   17
40  2021-03-13    4
41  2021-03-14   32
42  2021-03-15    9
43  2021-03-16    9
44  2021-03-17   47
45  2021-03-18   20
46  2021-03-19   22
47  2021-03-20   17
48  2021-03-21   20
49  2021-03-22   12
50  2021-03-23   30
51  2021-03-24   12
52  2021-03-25   18
53  2021-03-26   25
54  2021-03-27   22
55  2021-03-28   25
56  2021-03-29   30
57  2021-03-30   20
58  2021-03-31   42
59  2021-04-01   15
60  2021-04-02    4
61  2021-04-03    0
62  2021-04-04    7
63  2021-04-05    7
64  2021-04-06   15
65  2021-04-07    0
66  2021-04-08    4
67  2021-04-09   12
68  2021-04-10   17
69  2021-04-11   20
70  2021-04-12    4
71  2021-04-13   15
72  2021-04-14    7
73  2021-04-15    7
74  2021-04-16    7
75  2021-04-17    7
76  2021-04-18   12
77  2021-04-19    9
78  2021-04-20    9
79  2021-04-21    2
80  2021-04-22    4
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26   12
85  2021-04-27   32
86  2021-04-28   25
87  2021-04-29   22
88  2021-04-30   92
89  2021-05-01   27
90  2021-05-02   22
91  2021-05-03   32
92  2021-05-04   52
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    2
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14   12
103 2021-05-15  317
104 2021-05-16    2
105 2021-05-17    4
106 2021-05-18    7
107 2021-05-19    0
108 2021-05-20   92
109 2021-05-21   20
110 2021-05-22   32
111 2021-05-23   74
112 2021-05-24   65
113 2021-05-25   35
114 2021-05-26   27
115 2021-05-27   27
116 2021-05-28   37
117 2021-05-29   37
118 2021-05-30   22
119 2021-05-31   12
120 2021-06-01    2
121 2021-06-02    4
122 2021-06-03    4
123 2021-06-04    2
124 2021-06-05   42
125 2021-06-06   15
126 2021-06-07  199
127 2021-06-08  510
128 2021-06-09  262
129 2021-06-10   67
130 2021-06-11  727
131 2021-06-12  140
132 2021-06-13   74
133 2021-06-14  105
134 2021-06-15   47
135 2021-06-16   82
136 2021-06-17   67
137 2021-06-18   57
138 2021-06-19  105
139 2021-06-20   67
140 2021-06-21   74
141 2021-06-22   32
142 2021-06-23   47
143 2021-06-24  442
144 2021-06-25   57
145 2021-06-26   52
146 2021-06-27   12
147 2021-06-28   17
148 2021-06-29   15
149 2021-06-30   35
150 2021-07-01   62
151 2021-07-02  117
152 2021-07-03  149
153 2021-07-04  177
154 2021-07-05   77
155 2021-07-06   70
156 2021-07-07   25
157 2021-07-08   42
158 2021-07-09   52
159 2021-07-10   47
160 2021-07-11   37
161 2021-07-12   49
162 2021-07-13   17
163 2021-07-14   25
164 2021-07-15   17
