          date   data
0   2021-02-01    512
1   2021-02-02   1627
2   2021-02-03    989
3   2021-02-04    550
4   2021-02-05    204
5   2021-02-06     39
6   2021-02-07     12
7   2021-02-08     32
8   2021-02-09    285
9   2021-02-10    977
10  2021-02-11   1359
11  2021-02-12    762
12  2021-02-13    299
13  2021-02-14    132
14  2021-02-15     85
15  2021-02-16     27
16  2021-02-17    197
17  2021-02-18    562
18  2021-02-19    615
19  2021-02-20    964
20  2021-02-21   1117
21  2021-02-22    767
22  2021-02-23    514
23  2021-02-24    202
24  2021-02-25    140
25  2021-02-26    149
26  2021-02-27    342
27  2021-02-28    184
28  2021-03-01    342
29  2021-03-02    430
30  2021-03-03    272
31  2021-03-04    355
32  2021-03-05    334
33  2021-03-06    287
34  2021-03-07    500
35  2021-03-08    377
36  2021-03-09    822
37  2021-03-10   2017
38  2021-03-11   1237
39  2021-03-12    809
40  2021-03-13    727
41  2021-03-14   1415
42  2021-03-15    782
43  2021-03-16    650
44  2021-03-17   1150
45  2021-03-18   1882
46  2021-03-19   1510
47  2021-03-20   1532
48  2021-03-21   1415
49  2021-03-22   1045
50  2021-03-23   1424
51  2021-03-24    632
52  2021-03-25   1648
53  2021-03-26   1229
54  2021-03-27   1082
55  2021-03-28    900
56  2021-03-29   1719
57  2021-03-30    947
58  2021-03-31   1325
59  2021-04-01    797
60  2021-04-02    682
61  2021-04-03    500
62  2021-04-04    502
63  2021-04-05    822
64  2021-04-06    679
65  2021-04-07    262
66  2021-04-08    322
67  2021-04-09   1277
68  2021-04-10    800
69  2021-04-11   1027
70  2021-04-12    894
71  2021-04-13    794
72  2021-04-14    340
73  2021-04-15    267
74  2021-04-16    257
75  2021-04-17    497
76  2021-04-18    472
77  2021-04-19    720
78  2021-04-20    494
79  2021-04-21    267
80  2021-04-22    165
81  2021-04-23     74
82  2021-04-24     17
83  2021-04-25     25
84  2021-04-26    332
85  2021-04-27   1045
86  2021-04-28   1614
87  2021-04-29   1424
88  2021-04-30   2700
89  2021-05-01   1152
90  2021-05-02    837
91  2021-05-03   1352
92  2021-05-04   3162
93  2021-05-05     65
94  2021-05-06     60
95  2021-05-07     47
96  2021-05-08    162
97  2021-05-09    182
98  2021-05-10    105
99  2021-05-11     52
100 2021-05-12     57
101 2021-05-13     70
102 2021-05-14    862
103 2021-05-15  24732
104 2021-05-16    132
105 2021-05-17    149
106 2021-05-18    222
107 2021-05-19    239
108 2021-05-20   6964
109 2021-05-21   1595
110 2021-05-22   1879
111 2021-05-23   4334
112 2021-05-24   4632
113 2021-05-25   2314
114 2021-05-26   1447
115 2021-05-27   1767
116 2021-05-28   1702
117 2021-05-29   1887
118 2021-05-30    929
119 2021-05-31    640
120 2021-06-01    397
121 2021-06-02    465
122 2021-06-03    427
123 2021-06-04    477
124 2021-06-05   1437
125 2021-06-06   1087
126 2021-06-07   7089
127 2021-06-08  24247
128 2021-06-09   9934
129 2021-06-10   3917
130 2021-06-11  46059
131 2021-06-12   6055
132 2021-06-13   3427
133 2021-06-14   3020
134 2021-06-15   2792
135 2021-06-16   3624
136 2021-06-17   2115
137 2021-06-18   2867
138 2021-06-19   3987
139 2021-06-20   4034
140 2021-06-21   2902
141 2021-06-22   1879
142 2021-06-23   2190
143 2021-06-24  18244
144 2021-06-25   1842
145 2021-06-26   1267
146 2021-06-27    542
147 2021-06-28    392
148 2021-06-29    430
149 2021-06-30   1090
150 2021-07-01   2472
151 2021-07-02   7014
152 2021-07-03   7202
153 2021-07-04   7072
154 2021-07-05   4649
155 2021-07-06   3849
156 2021-07-07   2207
157 2021-07-08   1727
158 2021-07-09   2312
159 2021-07-10   1882
160 2021-07-11   1717
161 2021-07-12   1644
162 2021-07-13   1034
163 2021-07-14    774
164 2021-07-15    777
