          date   data
0   2021-02-01    474
1   2021-02-02   1284
2   2021-02-03    504
3   2021-02-04    340
4   2021-02-05    248
5   2021-02-06     60
6   2021-02-07      0
7   2021-02-08      8
8   2021-02-09    200
9   2021-02-10    584
10  2021-02-11    800
11  2021-02-12    544
12  2021-02-13    194
13  2021-02-14     60
14  2021-02-15     60
15  2021-02-16      4
16  2021-02-17    134
17  2021-02-18    424
18  2021-02-19    528
19  2021-02-20    994
20  2021-02-21   1010
21  2021-02-22    784
22  2021-02-23    340
23  2021-02-24    178
24  2021-02-25    104
25  2021-02-26    130
26  2021-02-27    248
27  2021-02-28     88
28  2021-03-01    244
29  2021-03-02    304
30  2021-03-03    248
31  2021-03-04    294
32  2021-03-05    260
33  2021-03-06    210
34  2021-03-07    374
35  2021-03-08    194
36  2021-03-09    438
37  2021-03-10   1258
38  2021-03-11    804
39  2021-03-12    534
40  2021-03-13    448
41  2021-03-14   1204
42  2021-03-15    484
43  2021-03-16    438
44  2021-03-17    930
45  2021-03-18   1854
46  2021-03-19   1198
47  2021-03-20   1048
48  2021-03-21   1354
49  2021-03-22    730
50  2021-03-23   1028
51  2021-03-24    484
52  2021-03-25   1260
53  2021-03-26    898
54  2021-03-27    800
55  2021-03-28    654
56  2021-03-29    664
57  2021-03-30    424
58  2021-03-31    770
59  2021-04-01    614
60  2021-04-02    490
61  2021-04-03    394
62  2021-04-04    384
63  2021-04-05    748
64  2021-04-06    564
65  2021-04-07    280
66  2021-04-08    228
67  2021-04-09    984
68  2021-04-10    584
69  2021-04-11    754
70  2021-04-12    834
71  2021-04-13    604
72  2021-04-14    254
73  2021-04-15    260
74  2021-04-16    254
75  2021-04-17    484
76  2021-04-18    384
77  2021-04-19    504
78  2021-04-20    478
79  2021-04-21    354
80  2021-04-22     98
81  2021-04-23     78
82  2021-04-24      8
83  2021-04-25     14
84  2021-04-26    334
85  2021-04-27   1150
86  2021-04-28   1358
87  2021-04-29    964
88  2021-04-30   1920
89  2021-05-01    838
90  2021-05-02    630
91  2021-05-03    824
92  2021-05-04   2558
93  2021-05-05     54
94  2021-05-06     34
95  2021-05-07     30
96  2021-05-08     74
97  2021-05-09    174
98  2021-05-10     78
99  2021-05-11     78
100 2021-05-12     50
101 2021-05-13     70
102 2021-05-14    710
103 2021-05-15  16324
104 2021-05-16     74
105 2021-05-17    164
106 2021-05-18    110
107 2021-05-19    244
108 2021-05-20   6958
109 2021-05-21   1674
110 2021-05-22   1804
111 2021-05-23   2704
112 2021-05-24   2494
113 2021-05-25   1188
114 2021-05-26    720
115 2021-05-27   1080
116 2021-05-28   1044
117 2021-05-29   1154
118 2021-05-30    818
119 2021-05-31    560
120 2021-06-01    254
121 2021-06-02    334
122 2021-06-03    330
123 2021-06-04    270
124 2021-06-05   1244
125 2021-06-06    804
126 2021-06-07   4444
127 2021-06-08  15338
128 2021-06-09   5904
129 2021-06-10   2984
130 2021-06-11  36724
131 2021-06-12   4374
132 2021-06-13   2094
133 2021-06-14   1954
134 2021-06-15   1778
135 2021-06-16   2334
136 2021-06-17   1344
137 2021-06-18   2024
138 2021-06-19   2948
139 2021-06-20   2684
140 2021-06-21   2080
141 2021-06-22   1380
142 2021-06-23   1440
143 2021-06-24   2354
144 2021-06-25   1174
145 2021-06-26    864
146 2021-06-27    498
147 2021-06-28    350
148 2021-06-29    298
149 2021-06-30    774
150 2021-07-01   1274
151 2021-07-02   5660
152 2021-07-03   6504
153 2021-07-04   4844
154 2021-07-05   3084
155 2021-07-06   2438
156 2021-07-07   1440
157 2021-07-08   1098
158 2021-07-09   1478
159 2021-07-10    944
160 2021-07-11    884
161 2021-07-12    984
162 2021-07-13    608
163 2021-07-14    408
164 2021-07-15    598
