          date  data
0   2021-02-01    22
1   2021-02-02    62
2   2021-02-03    30
3   2021-02-04     4
4   2021-02-05     2
5   2021-02-06     0
6   2021-02-07     2
7   2021-02-08     0
8   2021-02-09     7
9   2021-02-10    52
10  2021-02-11    97
11  2021-02-12    55
12  2021-02-13     7
13  2021-02-14     4
14  2021-02-15     9
15  2021-02-16     7
16  2021-02-17    17
17  2021-02-18    32
18  2021-02-19    25
19  2021-02-20    49
20  2021-02-21    55
21  2021-02-22    60
22  2021-02-23    39
23  2021-02-24    20
24  2021-02-25     4
25  2021-02-26     7
26  2021-02-27    17
27  2021-02-28    12
28  2021-03-01    17
29  2021-03-02     7
30  2021-03-03     9
31  2021-03-04    15
32  2021-03-05     4
33  2021-03-06     7
34  2021-03-07    35
35  2021-03-08    32
36  2021-03-09    49
37  2021-03-10   112
38  2021-03-11    60
39  2021-03-12    49
40  2021-03-13    42
41  2021-03-14    62
42  2021-03-15    20
43  2021-03-16    37
44  2021-03-17    72
45  2021-03-18   107
46  2021-03-19    89
47  2021-03-20    95
48  2021-03-21    77
49  2021-03-22    37
50  2021-03-23    39
51  2021-03-24    32
52  2021-03-25   104
53  2021-03-26    67
54  2021-03-27    85
55  2021-03-28    60
56  2021-03-29   207
57  2021-03-30   142
58  2021-03-31    89
59  2021-04-01    65
60  2021-04-02    55
61  2021-04-03    85
62  2021-04-04    30
63  2021-04-05    55
64  2021-04-06    27
65  2021-04-07    32
66  2021-04-08    20
67  2021-04-09    67
68  2021-04-10    39
69  2021-04-11    92
70  2021-04-12    55
71  2021-04-13    27
72  2021-04-14    27
73  2021-04-15     2
74  2021-04-16    35
75  2021-04-17    30
76  2021-04-18    20
77  2021-04-19    42
78  2021-04-20    35
79  2021-04-21     9
80  2021-04-22    15
81  2021-04-23     0
82  2021-04-24     4
83  2021-04-25     0
84  2021-04-26    57
85  2021-04-27   124
86  2021-04-28   119
87  2021-04-29   102
88  2021-04-30   145
89  2021-05-01    82
90  2021-05-02    89
91  2021-05-03    82
92  2021-05-04   165
93  2021-05-05     2
94  2021-05-06     2
95  2021-05-07     0
96  2021-05-08     4
97  2021-05-09     9
98  2021-05-10     4
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13     9
102 2021-05-14    32
103 2021-05-15   687
104 2021-05-16     9
105 2021-05-17     2
106 2021-05-18    20
107 2021-05-19     7
108 2021-05-20   187
109 2021-05-21    35
110 2021-05-22    79
111 2021-05-23   272
112 2021-05-24   189
113 2021-05-25    95
114 2021-05-26    87
115 2021-05-27    77
116 2021-05-28    72
117 2021-05-29   117
118 2021-05-30    62
119 2021-05-31    35
120 2021-06-01    25
121 2021-06-02    32
122 2021-06-03    44
123 2021-06-04    42
124 2021-06-05   105
125 2021-06-06    95
126 2021-06-07   559
127 2021-06-08  1667
128 2021-06-09   562
129 2021-06-10   247
130 2021-06-11  1689
131 2021-06-12   454
132 2021-06-13   304
133 2021-06-14   285
134 2021-06-15   199
135 2021-06-16   262
136 2021-06-17   130
137 2021-06-18   212
138 2021-06-19   245
139 2021-06-20   285
140 2021-06-21   217
141 2021-06-22   114
142 2021-06-23   167
143 2021-06-24   312
144 2021-06-25   157
145 2021-06-26    77
146 2021-06-27    85
147 2021-06-28    44
148 2021-06-29    44
149 2021-06-30    60
150 2021-07-01   162
151 2021-07-02   184
152 2021-07-03   592
153 2021-07-04   622
154 2021-07-05   355
155 2021-07-06   247
156 2021-07-07   137
157 2021-07-08   117
158 2021-07-09   132
159 2021-07-10   117
160 2021-07-11   122
161 2021-07-12    95
162 2021-07-13    85
163 2021-07-14   197
164 2021-07-15  1205
