          date  data
0   2021-02-01    27
1   2021-02-02    35
2   2021-02-03    42
3   2021-02-04     0
4   2021-02-05     4
5   2021-02-06     4
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09     2
9   2021-02-10    15
10  2021-02-11    52
11  2021-02-12    15
12  2021-02-13     9
13  2021-02-14     9
14  2021-02-15     0
15  2021-02-16     0
16  2021-02-17     4
17  2021-02-18    15
18  2021-02-19    12
19  2021-02-20    17
20  2021-02-21    27
21  2021-02-22    22
22  2021-02-23     9
23  2021-02-24     2
24  2021-02-25     9
25  2021-02-26     2
26  2021-02-27     9
27  2021-02-28     7
28  2021-03-01     7
29  2021-03-02    17
30  2021-03-03    15
31  2021-03-04    12
32  2021-03-05     4
33  2021-03-06     2
34  2021-03-07     4
35  2021-03-08     9
36  2021-03-09    25
37  2021-03-10    35
38  2021-03-11    20
39  2021-03-12     7
40  2021-03-13    12
41  2021-03-14    20
42  2021-03-15    22
43  2021-03-16    22
44  2021-03-17    39
45  2021-03-18    49
46  2021-03-19    57
47  2021-03-20    25
48  2021-03-21    37
49  2021-03-22    42
50  2021-03-23    35
51  2021-03-24    20
52  2021-03-25    44
53  2021-03-26    42
54  2021-03-27    42
55  2021-03-28    17
56  2021-03-29    95
57  2021-03-30    55
58  2021-03-31    52
59  2021-04-01    22
60  2021-04-02    15
61  2021-04-03     9
62  2021-04-04    12
63  2021-04-05    25
64  2021-04-06    32
65  2021-04-07    20
66  2021-04-08    22
67  2021-04-09    27
68  2021-04-10    20
69  2021-04-11    35
70  2021-04-12    32
71  2021-04-13    12
72  2021-04-14    17
73  2021-04-15    27
74  2021-04-16     9
75  2021-04-17     2
76  2021-04-18     9
77  2021-04-19    32
78  2021-04-20    20
79  2021-04-21     2
80  2021-04-22     4
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    39
85  2021-04-27    42
86  2021-04-28    57
87  2021-04-29    62
88  2021-04-30    62
89  2021-05-01    37
90  2021-05-02    35
91  2021-05-03    72
92  2021-05-04   135
93  2021-05-05     0
94  2021-05-06     0
95  2021-05-07     2
96  2021-05-08     7
97  2021-05-09     7
98  2021-05-10     2
99  2021-05-11     0
100 2021-05-12     2
101 2021-05-13     2
102 2021-05-14    20
103 2021-05-15   565
104 2021-05-16     2
105 2021-05-17     9
106 2021-05-18     7
107 2021-05-19     9
108 2021-05-20   202
109 2021-05-21    67
110 2021-05-22    65
111 2021-05-23   154
112 2021-05-24   175
113 2021-05-25    74
114 2021-05-26    47
115 2021-05-27    70
116 2021-05-28    77
117 2021-05-29   100
118 2021-05-30    62
119 2021-05-31    49
120 2021-06-01    30
121 2021-06-02    12
122 2021-06-03    35
123 2021-06-04    17
124 2021-06-05    49
125 2021-06-06    47
126 2021-06-07   340
127 2021-06-08  1219
128 2021-06-09   417
129 2021-06-10   197
130 2021-06-11  1832
131 2021-06-12   282
132 2021-06-13   167
133 2021-06-14   167
134 2021-06-15   135
135 2021-06-16   210
136 2021-06-17   114
137 2021-06-18   165
138 2021-06-19   157
139 2021-06-20   184
140 2021-06-21   142
141 2021-06-22    82
142 2021-06-23   117
143 2021-06-24   184
144 2021-06-25    89
145 2021-06-26    52
146 2021-06-27    17
147 2021-06-28     2
148 2021-06-29     9
149 2021-06-30    39
150 2021-07-01   112
151 2021-07-02   197
152 2021-07-03   277
153 2021-07-04   327
154 2021-07-05   154
155 2021-07-06   149
156 2021-07-07    65
157 2021-07-08    70
158 2021-07-09   105
159 2021-07-10    60
160 2021-07-11    47
161 2021-07-12    65
162 2021-07-13    70
163 2021-07-14    32
164 2021-07-15    35
