          date  data
0   2021-02-01    27
1   2021-02-02    47
2   2021-02-03    25
3   2021-02-04     0
4   2021-02-05     9
5   2021-02-06     0
6   2021-02-07     7
7   2021-02-08     0
8   2021-02-09     4
9   2021-02-10    32
10  2021-02-11    35
11  2021-02-12    22
12  2021-02-13     9
13  2021-02-14     4
14  2021-02-15     0
15  2021-02-16     0
16  2021-02-17    12
17  2021-02-18    27
18  2021-02-19    22
19  2021-02-20    20
20  2021-02-21    30
21  2021-02-22    27
22  2021-02-23    25
23  2021-02-24     2
24  2021-02-25     2
25  2021-02-26     2
26  2021-02-27     2
27  2021-02-28     2
28  2021-03-01    17
29  2021-03-02    20
30  2021-03-03     9
31  2021-03-04    12
32  2021-03-05    12
33  2021-03-06     4
34  2021-03-07    20
35  2021-03-08    32
36  2021-03-09    30
37  2021-03-10    67
38  2021-03-11    32
39  2021-03-12    35
40  2021-03-13    20
41  2021-03-14    37
42  2021-03-15    27
43  2021-03-16    12
44  2021-03-17    37
45  2021-03-18    57
46  2021-03-19    27
47  2021-03-20    49
48  2021-03-21    57
49  2021-03-22    39
50  2021-03-23    47
51  2021-03-24    20
52  2021-03-25    54
53  2021-03-26    32
54  2021-03-27    39
55  2021-03-28    32
56  2021-03-29   135
57  2021-03-30    70
58  2021-03-31    65
59  2021-04-01    39
60  2021-04-02    17
61  2021-04-03    20
62  2021-04-04     7
63  2021-04-05    17
64  2021-04-06    20
65  2021-04-07    12
66  2021-04-08    12
67  2021-04-09    42
68  2021-04-10    35
69  2021-04-11    42
70  2021-04-12    30
71  2021-04-13    17
72  2021-04-14    12
73  2021-04-15     7
74  2021-04-16     7
75  2021-04-17     7
76  2021-04-18    20
77  2021-04-19    12
78  2021-04-20     9
79  2021-04-21     9
80  2021-04-22     4
81  2021-04-23     2
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26    20
85  2021-04-27    49
86  2021-04-28    79
87  2021-04-29    57
88  2021-04-30   102
89  2021-05-01    62
90  2021-05-02    25
91  2021-05-03    52
92  2021-05-04   105
93  2021-05-05     2
94  2021-05-06     7
95  2021-05-07     0
96  2021-05-08     7
97  2021-05-09     4
98  2021-05-10     4
99  2021-05-11     0
100 2021-05-12     2
101 2021-05-13     2
102 2021-05-14    17
103 2021-05-15   607
104 2021-05-16     4
105 2021-05-17     2
106 2021-05-18     9
107 2021-05-19     7
108 2021-05-20   142
109 2021-05-21    49
110 2021-05-22    37
111 2021-05-23   124
112 2021-05-24   124
113 2021-05-25    74
114 2021-05-26    44
115 2021-05-27    67
116 2021-05-28    57
117 2021-05-29   107
118 2021-05-30    52
119 2021-05-31    27
120 2021-06-01     2
121 2021-06-02    12
122 2021-06-03    20
123 2021-06-04     2
124 2021-06-05    35
125 2021-06-06    55
126 2021-06-07   317
127 2021-06-08  1022
128 2021-06-09   457
129 2021-06-10   210
130 2021-06-11  1464
131 2021-06-12   217
132 2021-06-13   189
133 2021-06-14   130
134 2021-06-15   119
135 2021-06-16   175
136 2021-06-17    67
137 2021-06-18    85
138 2021-06-19   127
139 2021-06-20   130
140 2021-06-21   122
141 2021-06-22    85
142 2021-06-23    77
143 2021-06-24   239
144 2021-06-25    92
145 2021-06-26    44
146 2021-06-27     7
147 2021-06-28    22
148 2021-06-29    20
149 2021-06-30    32
150 2021-07-01   100
151 2021-07-02   177
152 2021-07-03   285
153 2021-07-04   337
154 2021-07-05   165
155 2021-07-06   114
156 2021-07-07    52
157 2021-07-08    72
158 2021-07-09    85
159 2021-07-10    44
160 2021-07-11    47
161 2021-07-12    67
162 2021-07-13    37
163 2021-07-14    20
164 2021-07-15    27
