          date  data
0   2021-02-01     7
1   2021-02-02    32
2   2021-02-03    32
3   2021-02-04    18
4   2021-02-05     9
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    15
9   2021-02-10    37
10  2021-02-11    55
11  2021-02-12    37
12  2021-02-13     9
13  2021-02-14     4
14  2021-02-15     4
15  2021-02-16     2
16  2021-02-17    17
17  2021-02-18     7
18  2021-02-19    20
19  2021-02-20    17
20  2021-02-21    22
21  2021-02-22    25
22  2021-02-23    27
23  2021-02-24    12
24  2021-02-25     2
25  2021-02-26     2
26  2021-02-27     9
27  2021-02-28     7
28  2021-03-01    20
29  2021-03-02    12
30  2021-03-03     9
31  2021-03-04     9
32  2021-03-05     4
33  2021-03-06     0
34  2021-03-07    22
35  2021-03-08    25
36  2021-03-09    20
37  2021-03-10    62
38  2021-03-11    22
39  2021-03-12    17
40  2021-03-13    20
41  2021-03-14    35
42  2021-03-15    32
43  2021-03-16    22
44  2021-03-17    27
45  2021-03-18   100
46  2021-03-19    37
47  2021-03-20    62
48  2021-03-21    32
49  2021-03-22    44
50  2021-03-23    57
51  2021-03-24    30
52  2021-03-25    70
53  2021-03-26    44
54  2021-03-27    44
55  2021-03-28    25
56  2021-03-29   140
57  2021-03-30    79
58  2021-03-31    72
59  2021-04-01    42
60  2021-04-02    20
61  2021-04-03    15
62  2021-04-04    12
63  2021-04-05    35
64  2021-04-06    30
65  2021-04-07     4
66  2021-04-08    27
67  2021-04-09    55
68  2021-04-10    52
69  2021-04-11    25
70  2021-04-12    47
71  2021-04-13    25
72  2021-04-14    12
73  2021-04-15     9
74  2021-04-16    12
75  2021-04-17    12
76  2021-04-18    20
77  2021-04-19    32
78  2021-04-20    49
79  2021-04-21    12
80  2021-04-22    15
81  2021-04-23     4
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    15
85  2021-04-27    79
86  2021-04-28    89
87  2021-04-29    92
88  2021-04-30   119
89  2021-05-01    79
90  2021-05-02    60
91  2021-05-03   100
92  2021-05-04   152
93  2021-05-05     2
94  2021-05-06     0
95  2021-05-07     0
96  2021-05-08     2
97  2021-05-09    12
98  2021-05-10     0
99  2021-05-11     7
100 2021-05-12     0
101 2021-05-13     7
102 2021-05-14    32
103 2021-05-15   717
104 2021-05-16     0
105 2021-05-17     2
106 2021-05-18    17
107 2021-05-19     7
108 2021-05-20   180
109 2021-05-21    65
110 2021-05-22    74
111 2021-05-23   197
112 2021-05-24   197
113 2021-05-25   105
114 2021-05-26    65
115 2021-05-27    74
116 2021-05-28    67
117 2021-05-29   142
118 2021-05-30    52
119 2021-05-31    25
120 2021-06-01    20
121 2021-06-02    15
122 2021-06-03    17
123 2021-06-04    20
124 2021-06-05    60
125 2021-06-06    37
126 2021-06-07   542
127 2021-06-08  1635
128 2021-06-09   610
129 2021-06-10   277
130 2021-06-11  2274
131 2021-06-12   315
132 2021-06-13   269
133 2021-06-14   252
134 2021-06-15   207
135 2021-06-16   197
136 2021-06-17   127
137 2021-06-18   142
138 2021-06-19   172
139 2021-06-20   172
140 2021-06-21   130
141 2021-06-22   165
142 2021-06-23   130
143 2021-06-24   277
144 2021-06-25    89
145 2021-06-26    79
146 2021-06-27    44
147 2021-06-28    25
148 2021-06-29    22
149 2021-06-30    62
150 2021-07-01   152
151 2021-07-02   327
152 2021-07-03   365
153 2021-07-04   460
154 2021-07-05   237
155 2021-07-06   199
156 2021-07-07    82
157 2021-07-08    92
158 2021-07-09   130
159 2021-07-10    49
160 2021-07-11    89
161 2021-07-12    65
162 2021-07-13    77
163 2021-07-14    25
164 2021-07-15   100
