          date data
0   2021-02-01    4
1   2021-02-02   17
2   2021-02-03    2
3   2021-02-04    0
4   2021-02-05    0
5   2021-02-06    2
6   2021-02-07    4
7   2021-02-08    0
8   2021-02-09    0
9   2021-02-10    7
10  2021-02-11   12
11  2021-02-12    4
12  2021-02-13    2
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17   17
17  2021-02-18    9
18  2021-02-19   12
19  2021-02-20   15
20  2021-02-21   12
21  2021-02-22    9
22  2021-02-23    0
23  2021-02-24    4
24  2021-02-25    0
25  2021-02-26    4
26  2021-02-27    2
27  2021-02-28    2
28  2021-03-01    2
29  2021-03-02    0
30  2021-03-03    2
31  2021-03-04    4
32  2021-03-05    4
33  2021-03-06    2
34  2021-03-07   12
35  2021-03-08   15
36  2021-03-09   30
37  2021-03-10   15
38  2021-03-11   35
39  2021-03-12   15
40  2021-03-13   15
41  2021-03-14   15
42  2021-03-15    2
43  2021-03-16   17
44  2021-03-17   27
45  2021-03-18   22
46  2021-03-19   17
47  2021-03-20    9
48  2021-03-21   22
49  2021-03-22   35
50  2021-03-23   25
51  2021-03-24    7
52  2021-03-25   24
53  2021-03-26   20
54  2021-03-27   20
55  2021-03-28    4
56  2021-03-29   60
57  2021-03-30   32
58  2021-03-31   20
59  2021-04-01   22
60  2021-04-02    9
61  2021-04-03    9
62  2021-04-04    7
63  2021-04-05   22
64  2021-04-06    9
65  2021-04-07    4
66  2021-04-08    9
67  2021-04-09   32
68  2021-04-10   12
69  2021-04-11    9
70  2021-04-12   27
71  2021-04-13   12
72  2021-04-14    7
73  2021-04-15    2
74  2021-04-16    7
75  2021-04-17    7
76  2021-04-18   17
77  2021-04-19    4
78  2021-04-20   12
79  2021-04-21    9
80  2021-04-22    9
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    2
84  2021-04-26   12
85  2021-04-27   37
86  2021-04-28   22
87  2021-04-29   37
88  2021-04-30   39
89  2021-05-01   27
90  2021-05-02   17
91  2021-05-03   25
92  2021-05-04   44
93  2021-05-05    2
94  2021-05-06    7
95  2021-05-07    2
96  2021-05-08    0
97  2021-05-09   15
98  2021-05-10    2
99  2021-05-11    2
100 2021-05-12    2
101 2021-05-13    0
102 2021-05-14   15
103 2021-05-15  257
104 2021-05-16    4
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    2
108 2021-05-20   74
109 2021-05-21   20
110 2021-05-22   25
111 2021-05-23   70
112 2021-05-24   92
113 2021-05-25   30
114 2021-05-26   15
115 2021-05-27   20
116 2021-05-28   27
117 2021-05-29   22
118 2021-05-30   12
119 2021-05-31    9
120 2021-06-01    4
121 2021-06-02    4
122 2021-06-03   12
123 2021-06-04   15
124 2021-06-05   30
125 2021-06-06   20
126 2021-06-07  159
127 2021-06-08  584
128 2021-06-09  167
129 2021-06-10   62
130 2021-06-11  664
131 2021-06-12  124
132 2021-06-13   62
133 2021-06-14   49
134 2021-06-15   27
135 2021-06-16   42
136 2021-06-17   47
137 2021-06-18   39
138 2021-06-19   55
139 2021-06-20   89
140 2021-06-21   70
141 2021-06-22   39
142 2021-06-23   42
143 2021-06-24  112
144 2021-06-25   30
145 2021-06-26   27
146 2021-06-27    7
147 2021-06-28    7
148 2021-06-29    7
149 2021-06-30   35
150 2021-07-01   39
151 2021-07-02   77
152 2021-07-03  102
153 2021-07-04   97
154 2021-07-05   87
155 2021-07-06   47
156 2021-07-07   37
157 2021-07-08   49
158 2021-07-09   67
159 2021-07-10   15
160 2021-07-11   37
161 2021-07-12   37
162 2021-07-13   27
163 2021-07-14   12
164 2021-07-15   22
