          date  data
0   2021-02-01    12
1   2021-02-02    27
2   2021-02-03    15
3   2021-02-04     8
4   2021-02-05    15
5   2021-02-06     0
6   2021-02-07     4
7   2021-02-08     0
8   2021-02-09     9
9   2021-02-10    22
10  2021-02-11    32
11  2021-02-12    27
12  2021-02-13    12
13  2021-02-14    12
14  2021-02-15     7
15  2021-02-16     4
16  2021-02-17     7
17  2021-02-18    25
18  2021-02-19    30
19  2021-02-20    27
20  2021-02-21    22
21  2021-02-22    25
22  2021-02-23    27
23  2021-02-24    20
24  2021-02-25     2
25  2021-02-26     4
26  2021-02-27    22
27  2021-02-28     7
28  2021-03-01     7
29  2021-03-02    22
30  2021-03-03    12
31  2021-03-04     9
32  2021-03-05    12
33  2021-03-06     9
34  2021-03-07    20
35  2021-03-08    12
36  2021-03-09    27
37  2021-03-10    57
38  2021-03-11    42
39  2021-03-12    15
40  2021-03-13    20
41  2021-03-14    39
42  2021-03-15    27
43  2021-03-16     7
44  2021-03-17    42
45  2021-03-18    79
46  2021-03-19    57
47  2021-03-20    70
48  2021-03-21    57
49  2021-03-22    37
50  2021-03-23    39
51  2021-03-24    17
52  2021-03-25    60
53  2021-03-26    35
54  2021-03-27    35
55  2021-03-28    35
56  2021-03-29   149
57  2021-03-30    70
58  2021-03-31    52
59  2021-04-01    37
60  2021-04-02    17
61  2021-04-03    12
62  2021-04-04    17
63  2021-04-05     9
64  2021-04-06    47
65  2021-04-07     0
66  2021-04-08    15
67  2021-04-09    60
68  2021-04-10    32
69  2021-04-11    44
70  2021-04-12    42
71  2021-04-13    17
72  2021-04-14    20
73  2021-04-15     4
74  2021-04-16    20
75  2021-04-17    20
76  2021-04-18    22
77  2021-04-19    15
78  2021-04-20    17
79  2021-04-21     9
80  2021-04-22     2
81  2021-04-23     4
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26     9
85  2021-04-27    32
86  2021-04-28    60
87  2021-04-29    72
88  2021-04-30    89
89  2021-05-01    62
90  2021-05-02    27
91  2021-05-03    35
92  2021-05-04   102
93  2021-05-05     2
94  2021-05-06     2
95  2021-05-07     0
96  2021-05-08     9
97  2021-05-09     4
98  2021-05-10     2
99  2021-05-11     0
100 2021-05-12     0
101 2021-05-13     7
102 2021-05-14    30
103 2021-05-15   702
104 2021-05-16     2
105 2021-05-17     2
106 2021-05-18     4
107 2021-05-19     7
108 2021-05-20   202
109 2021-05-21    55
110 2021-05-22    55
111 2021-05-23   112
112 2021-05-24   105
113 2021-05-25    72
114 2021-05-26    32
115 2021-05-27    39
116 2021-05-28    49
117 2021-05-29    60
118 2021-05-30    37
119 2021-05-31    20
120 2021-06-01     7
121 2021-06-02    15
122 2021-06-03    17
123 2021-06-04    22
124 2021-06-05    74
125 2021-06-06    60
126 2021-06-07   282
127 2021-06-08   980
128 2021-06-09   412
129 2021-06-10   215
130 2021-06-11  1632
131 2021-06-12   269
132 2021-06-13   132
133 2021-06-14   154
134 2021-06-15   105
135 2021-06-16   140
136 2021-06-17    97
137 2021-06-18    74
138 2021-06-19   132
139 2021-06-20   149
140 2021-06-21    87
141 2021-06-22    52
142 2021-06-23    89
143 2021-06-24   232
144 2021-06-25    85
145 2021-06-26    65
146 2021-06-27    27
147 2021-06-28    20
148 2021-06-29    17
149 2021-06-30    39
150 2021-07-01    79
151 2021-07-02   327
152 2021-07-03   424
153 2021-07-04   285
154 2021-07-05   175
155 2021-07-06   109
156 2021-07-07    70
157 2021-07-08    65
158 2021-07-09   102
159 2021-07-10    42
160 2021-07-11    37
161 2021-07-12    85
162 2021-07-13    35
163 2021-07-14    37
164 2021-07-15    35
