          date  data
0   2021-02-01    12
1   2021-02-02    27
2   2021-02-03    15
3   2021-02-04    14
4   2021-02-05     7
5   2021-02-06     4
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09     4
9   2021-02-10    22
10  2021-02-11    35
11  2021-02-12    25
12  2021-02-13     2
13  2021-02-14     2
14  2021-02-15     7
15  2021-02-16     9
16  2021-02-17     2
17  2021-02-18     2
18  2021-02-19    25
19  2021-02-20    30
20  2021-02-21    32
21  2021-02-22    44
22  2021-02-23    15
23  2021-02-24     2
24  2021-02-25     7
25  2021-02-26     7
26  2021-02-27    15
27  2021-02-28     0
28  2021-03-01    22
29  2021-03-02     4
30  2021-03-03     7
31  2021-03-04     4
32  2021-03-05     4
33  2021-03-06     7
34  2021-03-07    12
35  2021-03-08     2
36  2021-03-09    35
37  2021-03-10    32
38  2021-03-11    32
39  2021-03-12    27
40  2021-03-13    17
41  2021-03-14     7
42  2021-03-15    15
43  2021-03-16     7
44  2021-03-17    32
45  2021-03-18     9
46  2021-03-19    20
47  2021-03-20    32
48  2021-03-21    22
49  2021-03-22    20
50  2021-03-23    30
51  2021-03-24    12
52  2021-03-25    30
53  2021-03-26    25
54  2021-03-27    39
55  2021-03-28    17
56  2021-03-29    92
57  2021-03-30    57
58  2021-03-31    35
59  2021-04-01    15
60  2021-04-02    25
61  2021-04-03    12
62  2021-04-04     7
63  2021-04-05    25
64  2021-04-06    12
65  2021-04-07     9
66  2021-04-08    17
67  2021-04-09    25
68  2021-04-10    25
69  2021-04-11    32
70  2021-04-12    27
71  2021-04-13    30
72  2021-04-14    27
73  2021-04-15     7
74  2021-04-16    12
75  2021-04-17    22
76  2021-04-18    25
77  2021-04-19    15
78  2021-04-20    17
79  2021-04-21     4
80  2021-04-22     7
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    22
85  2021-04-27    52
86  2021-04-28    67
87  2021-04-29    42
88  2021-04-30    82
89  2021-05-01    39
90  2021-05-02    35
91  2021-05-03    30
92  2021-05-04    72
93  2021-05-05     2
94  2021-05-06     0
95  2021-05-07     0
96  2021-05-08     7
97  2021-05-09     2
98  2021-05-10     4
99  2021-05-11     4
100 2021-05-12     0
101 2021-05-13     0
102 2021-05-14    17
103 2021-05-15   467
104 2021-05-16     4
105 2021-05-17     4
106 2021-05-18     4
107 2021-05-19     4
108 2021-05-20   119
109 2021-05-21    15
110 2021-05-22    49
111 2021-05-23    79
112 2021-05-24   102
113 2021-05-25    44
114 2021-05-26    25
115 2021-05-27    42
116 2021-05-28    47
117 2021-05-29    62
118 2021-05-30    25
119 2021-05-31    25
120 2021-06-01     9
121 2021-06-02     4
122 2021-06-03     9
123 2021-06-04    15
124 2021-06-05    42
125 2021-06-06    42
126 2021-06-07   269
127 2021-06-08   917
128 2021-06-09   419
129 2021-06-10   215
130 2021-06-11  1397
131 2021-06-12   197
132 2021-06-13   152
133 2021-06-14   157
134 2021-06-15    97
135 2021-06-16    97
136 2021-06-17    67
137 2021-06-18    89
138 2021-06-19    89
139 2021-06-20    97
140 2021-06-21    57
141 2021-06-22    65
142 2021-06-23    97
143 2021-06-24   137
144 2021-06-25    65
145 2021-06-26    37
146 2021-06-27    25
147 2021-06-28    27
148 2021-06-29    12
149 2021-06-30    55
150 2021-07-01    65
151 2021-07-02   210
152 2021-07-03   229
153 2021-07-04   267
154 2021-07-05   184
155 2021-07-06   114
156 2021-07-07    65
157 2021-07-08    82
158 2021-07-09    70
159 2021-07-10    49
160 2021-07-11    47
161 2021-07-12    65
162 2021-07-13    47
163 2021-07-14    27
164 2021-07-15    30
