          date  data
0   2021-02-01    22
1   2021-02-02    62
2   2021-02-03    25
3   2021-02-04    24
4   2021-02-05    25
5   2021-02-06     4
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    22
9   2021-02-10    65
10  2021-02-11    87
11  2021-02-12    42
12  2021-02-13    17
13  2021-02-14     0
14  2021-02-15    15
15  2021-02-16     2
16  2021-02-17    20
17  2021-02-18    42
18  2021-02-19    17
19  2021-02-20    30
20  2021-02-21    35
21  2021-02-22    67
22  2021-02-23    30
23  2021-02-24     9
24  2021-02-25    12
25  2021-02-26    12
26  2021-02-27    27
27  2021-02-28     4
28  2021-03-01    22
29  2021-03-02     7
30  2021-03-03    17
31  2021-03-04    17
32  2021-03-05     4
33  2021-03-06    32
34  2021-03-07    39
35  2021-03-08     9
36  2021-03-09    55
37  2021-03-10    77
38  2021-03-11    57
39  2021-03-12    39
40  2021-03-13    22
41  2021-03-14    42
42  2021-03-15    27
43  2021-03-16    30
44  2021-03-17    67
45  2021-03-18   100
46  2021-03-19    72
47  2021-03-20   100
48  2021-03-21    60
49  2021-03-22    22
50  2021-03-23    47
51  2021-03-24    27
52  2021-03-25    98
53  2021-03-26    52
54  2021-03-27    70
55  2021-03-28    35
56  2021-03-29   239
57  2021-03-30   100
58  2021-03-31   114
59  2021-04-01    55
60  2021-04-02    25
61  2021-04-03    39
62  2021-04-04    12
63  2021-04-05    37
64  2021-04-06    17
65  2021-04-07    30
66  2021-04-08    27
67  2021-04-09    82
68  2021-04-10    30
69  2021-04-11    67
70  2021-04-12    22
71  2021-04-13    30
72  2021-04-14    12
73  2021-04-15    30
74  2021-04-16    35
75  2021-04-17    37
76  2021-04-18    37
77  2021-04-19    22
78  2021-04-20    15
79  2021-04-21     4
80  2021-04-22    12
81  2021-04-23     2
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26    49
85  2021-04-27    85
86  2021-04-28   114
87  2021-04-29   147
88  2021-04-30   197
89  2021-05-01   107
90  2021-05-02    79
91  2021-05-03    79
92  2021-05-04   145
93  2021-05-05     4
94  2021-05-06     7
95  2021-05-07     2
96  2021-05-08    17
97  2021-05-09    22
98  2021-05-10     2
99  2021-05-11     9
100 2021-05-12     0
101 2021-05-13     2
102 2021-05-14    39
103 2021-05-15   897
104 2021-05-16     9
105 2021-05-17     9
106 2021-05-18     9
107 2021-05-19    15
108 2021-05-20   192
109 2021-05-21    65
110 2021-05-22   102
111 2021-05-23   189
112 2021-05-24   157
113 2021-05-25   100
114 2021-05-26    55
115 2021-05-27   142
116 2021-05-28    92
117 2021-05-29   114
118 2021-05-30    92
119 2021-05-31    20
120 2021-06-01    20
121 2021-06-02    39
122 2021-06-03    25
123 2021-06-04    32
124 2021-06-05    72
125 2021-06-06    39
126 2021-06-07   554
127 2021-06-08  2087
128 2021-06-09   879
129 2021-06-10   304
130 2021-06-11  2414
131 2021-06-12   447
132 2021-06-13   374
133 2021-06-14   329
134 2021-06-15   249
135 2021-06-16   272
136 2021-06-17   172
137 2021-06-18   135
138 2021-06-19   219
139 2021-06-20   219
140 2021-06-21   199
141 2021-06-22   172
142 2021-06-23   119
143 2021-06-24   249
144 2021-06-25   140
145 2021-06-26   119
146 2021-06-27    37
147 2021-06-28    30
148 2021-06-29    37
149 2021-06-30    60
150 2021-07-01   162
151 2021-07-02   452
152 2021-07-03   524
153 2021-07-04   567
154 2021-07-05   365
155 2021-07-06   187
156 2021-07-07   100
157 2021-07-08   105
158 2021-07-09   114
159 2021-07-10   107
160 2021-07-11   102
161 2021-07-12   112
162 2021-07-13    89
163 2021-07-14    57
164 2021-07-15    39
