          date   data
0   2021-02-01    122
1   2021-02-02    487
2   2021-02-03    302
3   2021-02-04    154
4   2021-02-05     70
5   2021-02-06     22
6   2021-02-07      4
7   2021-02-08      4
8   2021-02-09     44
9   2021-02-10    227
10  2021-02-11    397
11  2021-02-12    217
12  2021-02-13     92
13  2021-02-14     47
14  2021-02-15     32
15  2021-02-16      0
16  2021-02-17     44
17  2021-02-18    210
18  2021-02-19    199
19  2021-02-20    340
20  2021-02-21    327
21  2021-02-22    239
22  2021-02-23    154
23  2021-02-24     44
24  2021-02-25     35
25  2021-02-26     44
26  2021-02-27    100
27  2021-02-28     47
28  2021-03-01    114
29  2021-03-02    159
30  2021-03-03    102
31  2021-03-04    140
32  2021-03-05    137
33  2021-03-06     85
34  2021-03-07    172
35  2021-03-08    107
36  2021-03-09    290
37  2021-03-10    562
38  2021-03-11    342
39  2021-03-12    255
40  2021-03-13    207
41  2021-03-14    404
42  2021-03-15    167
43  2021-03-16    177
44  2021-03-17    382
45  2021-03-18    725
46  2021-03-19    607
47  2021-03-20    527
48  2021-03-21    449
49  2021-03-22    372
50  2021-03-23    340
51  2021-03-24    232
52  2021-03-25    490
53  2021-03-26    310
54  2021-03-27    347
55  2021-03-28    204
56  2021-03-29    527
57  2021-03-30    312
58  2021-03-31    415
59  2021-04-01    269
60  2021-04-02    199
61  2021-04-03    202
62  2021-04-04    149
63  2021-04-05    287
64  2021-04-06    217
65  2021-04-07    124
66  2021-04-08    135
67  2021-04-09    494
68  2021-04-10    327
69  2021-04-11    404
70  2021-04-12    430
71  2021-04-13    304
72  2021-04-14    165
73  2021-04-15    122
74  2021-04-16    140
75  2021-04-17    197
76  2021-04-18    154
77  2021-04-19    325
78  2021-04-20    207
79  2021-04-21    135
80  2021-04-22    102
81  2021-04-23     25
82  2021-04-24      4
83  2021-04-25      4
84  2021-04-26    172
85  2021-04-27    442
86  2021-04-28    697
87  2021-04-29    462
88  2021-04-30   1002
89  2021-05-01    360
90  2021-05-02    280
91  2021-05-03    452
92  2021-05-04   1037
93  2021-05-05     22
94  2021-05-06     49
95  2021-05-07     35
96  2021-05-08     35
97  2021-05-09     85
98  2021-05-10     32
99  2021-05-11     27
100 2021-05-12     20
101 2021-05-13     42
102 2021-05-14    235
103 2021-05-15   6484
104 2021-05-16     25
105 2021-05-17     44
106 2021-05-18     74
107 2021-05-19     57
108 2021-05-20   1977
109 2021-05-21    677
110 2021-05-22    725
111 2021-05-23   1214
112 2021-05-24   1172
113 2021-05-25    584
114 2021-05-26    474
115 2021-05-27    610
116 2021-05-28    549
117 2021-05-29    439
118 2021-05-30    287
119 2021-05-31    340
120 2021-06-01     97
121 2021-06-02    189
122 2021-06-03    154
123 2021-06-04    204
124 2021-06-05    442
125 2021-06-06    377
126 2021-06-07   2032
127 2021-06-08   7802
128 2021-06-09   3425
129 2021-06-10   1652
130 2021-06-11  18697
131 2021-06-12   2025
132 2021-06-13   1132
133 2021-06-14   1040
134 2021-06-15   1057
135 2021-06-16   1182
136 2021-06-17    745
137 2021-06-18   1069
138 2021-06-19   1152
139 2021-06-20   1254
140 2021-06-21   1024
141 2021-06-22    652
142 2021-06-23    755
143 2021-06-24   1370
144 2021-06-25    685
145 2021-06-26    474
146 2021-06-27    184
147 2021-06-28    224
148 2021-06-29    159
149 2021-06-30    427
150 2021-07-01    802
151 2021-07-02   2637
152 2021-07-03   2677
153 2021-07-04   2145
154 2021-07-05   1574
155 2021-07-06   1179
156 2021-07-07    597
157 2021-07-08    474
158 2021-07-09    707
159 2021-07-10    479
160 2021-07-11    452
161 2021-07-12    500
162 2021-07-13    307
163 2021-07-14    215
164 2021-07-15    282
