          date  data
0   2021-02-01    44
1   2021-02-02    62
2   2021-02-03    70
3   2021-02-04     8
4   2021-02-05    17
5   2021-02-06     9
6   2021-02-07     2
7   2021-02-08     2
8   2021-02-09    15
9   2021-02-10    62
10  2021-02-11    72
11  2021-02-12    60
12  2021-02-13    22
13  2021-02-14     9
14  2021-02-15     9
15  2021-02-16     9
16  2021-02-17    22
17  2021-02-18    30
18  2021-02-19    44
19  2021-02-20    44
20  2021-02-21    82
21  2021-02-22    82
22  2021-02-23    37
23  2021-02-24    12
24  2021-02-25    12
25  2021-02-26    12
26  2021-02-27    39
27  2021-02-28    15
28  2021-03-01    30
29  2021-03-02    12
30  2021-03-03    20
31  2021-03-04    30
32  2021-03-05    27
33  2021-03-06     9
34  2021-03-07     7
35  2021-03-08    15
36  2021-03-09    52
37  2021-03-10    85
38  2021-03-11    42
39  2021-03-12    70
40  2021-03-13    32
41  2021-03-14    39
42  2021-03-15    47
43  2021-03-16    49
44  2021-03-17    70
45  2021-03-18    97
46  2021-03-19    60
47  2021-03-20    97
48  2021-03-21    82
49  2021-03-22    62
50  2021-03-23    49
51  2021-03-24    32
52  2021-03-25   144
53  2021-03-26    95
54  2021-03-27    57
55  2021-03-28    47
56  2021-03-29   264
57  2021-03-30   132
58  2021-03-31   102
59  2021-04-01    79
60  2021-04-02    30
61  2021-04-03    44
62  2021-04-04    30
63  2021-04-05    62
64  2021-04-06    44
65  2021-04-07    22
66  2021-04-08    39
67  2021-04-09    85
68  2021-04-10    74
69  2021-04-11    77
70  2021-04-12    89
71  2021-04-13    30
72  2021-04-14    30
73  2021-04-15    17
74  2021-04-16    25
75  2021-04-17    39
76  2021-04-18    37
77  2021-04-19    22
78  2021-04-20    22
79  2021-04-21     9
80  2021-04-22    17
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    39
85  2021-04-27   117
86  2021-04-28   114
87  2021-04-29   152
88  2021-04-30   202
89  2021-05-01   119
90  2021-05-02   119
91  2021-05-03   132
92  2021-05-04   224
93  2021-05-05     0
94  2021-05-06     9
95  2021-05-07    12
96  2021-05-08     7
97  2021-05-09    22
98  2021-05-10     7
99  2021-05-11     0
100 2021-05-12     0
101 2021-05-13     0
102 2021-05-14    37
103 2021-05-15  1130
104 2021-05-16    20
105 2021-05-17     9
106 2021-05-18    25
107 2021-05-19    15
108 2021-05-20   259
109 2021-05-21   100
110 2021-05-22   130
111 2021-05-23   252
112 2021-05-24   255
113 2021-05-25   162
114 2021-05-26    95
115 2021-05-27   140
116 2021-05-28   117
117 2021-05-29   189
118 2021-05-30    70
119 2021-05-31    55
120 2021-06-01    17
121 2021-06-02    49
122 2021-06-03    22
123 2021-06-04    39
124 2021-06-05   142
125 2021-06-06   109
126 2021-06-07   714
127 2021-06-08  2667
128 2021-06-09  1224
129 2021-06-10   460
130 2021-06-11  3967
131 2021-06-12   634
132 2021-06-13   390
133 2021-06-14   514
134 2021-06-15   320
135 2021-06-16   355
136 2021-06-17   215
137 2021-06-18   287
138 2021-06-19   299
139 2021-06-20   355
140 2021-06-21   215
141 2021-06-22   197
142 2021-06-23   170
143 2021-06-24   427
144 2021-06-25   154
145 2021-06-26   124
146 2021-06-27    39
147 2021-06-28    25
148 2021-06-29    37
149 2021-06-30    87
150 2021-07-01   245
151 2021-07-02   494
152 2021-07-03   589
153 2021-07-04   732
154 2021-07-05   444
155 2021-07-06   227
156 2021-07-07   112
157 2021-07-08   105
158 2021-07-09   172
159 2021-07-10   107
160 2021-07-11   130
161 2021-07-12   159
162 2021-07-13    87
163 2021-07-14    97
164 2021-07-15    74
