          date  data
0   2021-02-01    20
1   2021-02-02    49
2   2021-02-03    20
3   2021-02-04    24
4   2021-02-05     0
5   2021-02-06     2
6   2021-02-07     2
7   2021-02-08     0
8   2021-02-09     7
9   2021-02-10    20
10  2021-02-11    49
11  2021-02-12    25
12  2021-02-13     4
13  2021-02-14     2
14  2021-02-15     2
15  2021-02-16     9
16  2021-02-17     9
17  2021-02-18    37
18  2021-02-19    27
19  2021-02-20    15
20  2021-02-21    35
21  2021-02-22    35
22  2021-02-23    12
23  2021-02-24     7
24  2021-02-25     9
25  2021-02-26     4
26  2021-02-27     7
27  2021-02-28     7
28  2021-03-01     7
29  2021-03-02     0
30  2021-03-03     4
31  2021-03-04    20
32  2021-03-05     2
33  2021-03-06     9
34  2021-03-07    20
35  2021-03-08    12
36  2021-03-09    30
37  2021-03-10    35
38  2021-03-11    44
39  2021-03-12    42
40  2021-03-13     9
41  2021-03-14    30
42  2021-03-15     7
43  2021-03-16     9
44  2021-03-17    42
45  2021-03-18    79
46  2021-03-19    42
47  2021-03-20    67
48  2021-03-21    44
49  2021-03-22    20
50  2021-03-23    27
51  2021-03-24    17
52  2021-03-25    60
53  2021-03-26    44
54  2021-03-27    32
55  2021-03-28    22
56  2021-03-29   112
57  2021-03-30    62
58  2021-03-31    74
59  2021-04-01    25
60  2021-04-02    25
61  2021-04-03     7
62  2021-04-04     9
63  2021-04-05    44
64  2021-04-06    32
65  2021-04-07     7
66  2021-04-08    17
67  2021-04-09    52
68  2021-04-10    30
69  2021-04-11    32
70  2021-04-12    30
71  2021-04-13     4
72  2021-04-14    15
73  2021-04-15     0
74  2021-04-16    30
75  2021-04-17    15
76  2021-04-18    22
77  2021-04-19    32
78  2021-04-20    27
79  2021-04-21     2
80  2021-04-22     4
81  2021-04-23     4
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26     7
85  2021-04-27    52
86  2021-04-28    55
87  2021-04-29    65
88  2021-04-30    92
89  2021-05-01    32
90  2021-05-02    35
91  2021-05-03    57
92  2021-05-04    97
93  2021-05-05     4
94  2021-05-06     0
95  2021-05-07     2
96  2021-05-08     7
97  2021-05-09    12
98  2021-05-10    17
99  2021-05-11     4
100 2021-05-12     4
101 2021-05-13     2
102 2021-05-14    20
103 2021-05-15   587
104 2021-05-16     7
105 2021-05-17     7
106 2021-05-18    22
107 2021-05-19     2
108 2021-05-20   145
109 2021-05-21    32
110 2021-05-22    79
111 2021-05-23   117
112 2021-05-24    89
113 2021-05-25    44
114 2021-05-26    52
115 2021-05-27    52
116 2021-05-28    49
117 2021-05-29    77
118 2021-05-30    32
119 2021-05-31    17
120 2021-06-01    12
121 2021-06-02    25
122 2021-06-03    25
123 2021-06-04    27
124 2021-06-05    72
125 2021-06-06    35
126 2021-06-07   290
127 2021-06-08  1077
128 2021-06-09   454
129 2021-06-10   280
130 2021-06-11  1982
131 2021-06-12   242
132 2021-06-13   197
133 2021-06-14   152
134 2021-06-15   102
135 2021-06-16   149
136 2021-06-17    95
137 2021-06-18   100
138 2021-06-19   132
139 2021-06-20   162
140 2021-06-21    87
141 2021-06-22    62
142 2021-06-23    82
143 2021-06-24   180
144 2021-06-25    65
145 2021-06-26    60
146 2021-06-27    20
147 2021-06-28    22
148 2021-06-29    15
149 2021-06-30    35
150 2021-07-01   114
151 2021-07-02   272
152 2021-07-03   304
153 2021-07-04   292
154 2021-07-05   175
155 2021-07-06   107
156 2021-07-07    67
157 2021-07-08    47
158 2021-07-09   119
159 2021-07-10    52
160 2021-07-11    57
161 2021-07-12    55
162 2021-07-13    35
163 2021-07-14    25
164 2021-07-15    42
