          date  data
0   2021-02-01   102
1   2021-02-02   175
2   2021-02-03    79
3   2021-02-04    40
4   2021-02-05    20
5   2021-02-06    20
6   2021-02-07     2
7   2021-02-08     4
8   2021-02-09    52
9   2021-02-10   117
10  2021-02-11   194
11  2021-02-12   157
12  2021-02-13    44
13  2021-02-14     4
14  2021-02-15    17
15  2021-02-16    22
16  2021-02-17    65
17  2021-02-18   105
18  2021-02-19   109
19  2021-02-20   147
20  2021-02-21   165
21  2021-02-22   217
22  2021-02-23    70
23  2021-02-24    27
24  2021-02-25    27
25  2021-02-26    20
26  2021-02-27    60
27  2021-02-28    30
28  2021-03-01    89
29  2021-03-02    62
30  2021-03-03    47
31  2021-03-04    57
32  2021-03-05    22
33  2021-03-06    37
34  2021-03-07    67
35  2021-03-08    49
36  2021-03-09   157
37  2021-03-10   259
38  2021-03-11   152
39  2021-03-12   109
40  2021-03-13    87
41  2021-03-14   180
42  2021-03-15   107
43  2021-03-16   109
44  2021-03-17   229
45  2021-03-18   302
46  2021-03-19   197
47  2021-03-20   264
48  2021-03-21   267
49  2021-03-22   172
50  2021-03-23   165
51  2021-03-24    89
52  2021-03-25   294
53  2021-03-26   192
54  2021-03-27   170
55  2021-03-28   177
56  2021-03-29   650
57  2021-03-30   385
58  2021-03-31   294
59  2021-04-01   184
60  2021-04-02   127
61  2021-04-03   109
62  2021-04-04   117
63  2021-04-05   142
64  2021-04-06   132
65  2021-04-07    37
66  2021-04-08    42
67  2021-04-09   194
68  2021-04-10   165
69  2021-04-11   194
70  2021-04-12   175
71  2021-04-13    92
72  2021-04-14    70
73  2021-04-15    37
74  2021-04-16    57
75  2021-04-17    74
76  2021-04-18    74
77  2021-04-19    95
78  2021-04-20    57
79  2021-04-21    39
80  2021-04-22    35
81  2021-04-23     4
82  2021-04-24     4
83  2021-04-25     9
84  2021-04-26    39
85  2021-04-27   227
86  2021-04-28   350
87  2021-04-29   252
88  2021-04-30   435
89  2021-05-01   264
90  2021-05-02   202
91  2021-05-03   282
92  2021-05-04   514
93  2021-05-05    22
94  2021-05-06    22
95  2021-05-07     9
96  2021-05-08    32
97  2021-05-09    55
98  2021-05-10    22
99  2021-05-11     9
100 2021-05-12     4
101 2021-05-13    25
102 2021-05-14   135
103 2021-05-15  2805
104 2021-05-16    39
105 2021-05-17    37
106 2021-05-18    25
107 2021-05-19    30
108 2021-05-20   835
109 2021-05-21   199
110 2021-05-22   259
111 2021-05-23   610
112 2021-05-24   510
113 2021-05-25   237
114 2021-05-26   182
115 2021-05-27   277
116 2021-05-28   280
117 2021-05-29   325
118 2021-05-30   167
119 2021-05-31   119
120 2021-06-01    65
121 2021-06-02    49
122 2021-06-03    67
123 2021-06-04    85
124 2021-06-05   239
125 2021-06-06   189
126 2021-06-07  1200
127 2021-06-08  4455
128 2021-06-09  2169
129 2021-06-10  1010
130 2021-06-11  8074
131 2021-06-12  1155
132 2021-06-13   707
133 2021-06-14   640
134 2021-06-15   602
135 2021-06-16   672
136 2021-06-17   350
137 2021-06-18   417
138 2021-06-19   682
139 2021-06-20   552
140 2021-06-21   400
141 2021-06-22   347
142 2021-06-23   355
143 2021-06-24   730
144 2021-06-25   307
145 2021-06-26   277
146 2021-06-27    97
147 2021-06-28    65
148 2021-06-29    79
149 2021-06-30   242
150 2021-07-01   427
151 2021-07-02  1242
152 2021-07-03  1440
153 2021-07-04  1292
154 2021-07-05   800
155 2021-07-06   497
156 2021-07-07   312
157 2021-07-08   219
158 2021-07-09   342
159 2021-07-10   239
160 2021-07-11   272
161 2021-07-12   235
162 2021-07-13   242
163 2021-07-14   157
164 2021-07-15   172
