          date  data
0   2021-02-01    44
1   2021-02-02    55
2   2021-02-03    37
3   2021-02-04    18
4   2021-02-05     9
5   2021-02-06     7
6   2021-02-07     0
7   2021-02-08     2
8   2021-02-09    22
9   2021-02-10    35
10  2021-02-11   114
11  2021-02-12    42
12  2021-02-13    30
13  2021-02-14    12
14  2021-02-15    12
15  2021-02-16     0
16  2021-02-17    25
17  2021-02-18    52
18  2021-02-19    52
19  2021-02-20    87
20  2021-02-21    70
21  2021-02-22    47
22  2021-02-23    52
23  2021-02-24    12
24  2021-02-25     7
25  2021-02-26     4
26  2021-02-27    27
27  2021-02-28    20
28  2021-03-01    12
29  2021-03-02    22
30  2021-03-03    20
31  2021-03-04    25
32  2021-03-05     9
33  2021-03-06    27
34  2021-03-07    37
35  2021-03-08     9
36  2021-03-09    44
37  2021-03-10   109
38  2021-03-11    42
39  2021-03-12    72
40  2021-03-13    39
41  2021-03-14    87
42  2021-03-15    42
43  2021-03-16    22
44  2021-03-17    95
45  2021-03-18   170
46  2021-03-19    60
47  2021-03-20   162
48  2021-03-21   117
49  2021-03-22    77
50  2021-03-23   117
51  2021-03-24    42
52  2021-03-25    84
53  2021-03-26    95
54  2021-03-27    67
55  2021-03-28    85
56  2021-03-29   292
57  2021-03-30   147
58  2021-03-31   145
59  2021-04-01    77
60  2021-04-02    39
61  2021-04-03    55
62  2021-04-04    55
63  2021-04-05    95
64  2021-04-06    44
65  2021-04-07    30
66  2021-04-08    35
67  2021-04-09   112
68  2021-04-10    67
69  2021-04-11   107
70  2021-04-12   109
71  2021-04-13    67
72  2021-04-14    27
73  2021-04-15    20
74  2021-04-16     9
75  2021-04-17    37
76  2021-04-18    35
77  2021-04-19    25
78  2021-04-20    27
79  2021-04-21    12
80  2021-04-22     9
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    25
85  2021-04-27    85
86  2021-04-28    97
87  2021-04-29   149
88  2021-04-30   210
89  2021-05-01    92
90  2021-05-02    87
91  2021-05-03   100
92  2021-05-04   199
93  2021-05-05    12
94  2021-05-06     4
95  2021-05-07     2
96  2021-05-08     2
97  2021-05-09    25
98  2021-05-10    12
99  2021-05-11     7
100 2021-05-12     4
101 2021-05-13     7
102 2021-05-14    65
103 2021-05-15  1460
104 2021-05-16     7
105 2021-05-17     7
106 2021-05-18    17
107 2021-05-19     4
108 2021-05-20   452
109 2021-05-21   105
110 2021-05-22   159
111 2021-05-23   269
112 2021-05-24   255
113 2021-05-25   117
114 2021-05-26    70
115 2021-05-27   117
116 2021-05-28   117
117 2021-05-29   154
118 2021-05-30    77
119 2021-05-31    52
120 2021-06-01    32
121 2021-06-02    47
122 2021-06-03    60
123 2021-06-04    37
124 2021-06-05    85
125 2021-06-06    92
126 2021-06-07   674
127 2021-06-08  2215
128 2021-06-09  1109
129 2021-06-10   439
130 2021-06-11  4047
131 2021-06-12   594
132 2021-06-13   347
133 2021-06-14   307
134 2021-06-15   259
135 2021-06-16   325
136 2021-06-17   210
137 2021-06-18   224
138 2021-06-19   287
139 2021-06-20   304
140 2021-06-21   215
141 2021-06-22   149
142 2021-06-23   187
143 2021-06-24   360
144 2021-06-25   172
145 2021-06-26   159
146 2021-06-27    39
147 2021-06-28    35
148 2021-06-29    44
149 2021-06-30    65
150 2021-07-01   165
151 2021-07-02   657
152 2021-07-03   782
153 2021-07-04   624
154 2021-07-05   400
155 2021-07-06   259
156 2021-07-07   154
157 2021-07-08   149
158 2021-07-09   194
159 2021-07-10   114
160 2021-07-11   127
161 2021-07-12   184
162 2021-07-13   100
163 2021-07-14    77
164 2021-07-15    79
