          date  data
0   2021-02-01    30
1   2021-02-02    39
2   2021-02-03    25
3   2021-02-04    14
4   2021-02-05     4
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09     4
9   2021-02-10    30
10  2021-02-11    49
11  2021-02-12    39
12  2021-02-13     7
13  2021-02-14     7
14  2021-02-15     2
15  2021-02-16     2
16  2021-02-17     7
17  2021-02-18    39
18  2021-02-19     2
19  2021-02-20    27
20  2021-02-21    20
21  2021-02-22    22
22  2021-02-23    12
23  2021-02-24    15
24  2021-02-25     0
25  2021-02-26     4
26  2021-02-27    17
27  2021-02-28    12
28  2021-03-01    25
29  2021-03-02     7
30  2021-03-03     7
31  2021-03-04     9
32  2021-03-05     7
33  2021-03-06     7
34  2021-03-07    20
35  2021-03-08    22
36  2021-03-09    35
37  2021-03-10    60
38  2021-03-11    39
39  2021-03-12    32
40  2021-03-13    27
41  2021-03-14    39
42  2021-03-15    15
43  2021-03-16    12
44  2021-03-17    47
45  2021-03-18    70
46  2021-03-19    17
47  2021-03-20    55
48  2021-03-21    57
49  2021-03-22    27
50  2021-03-23    20
51  2021-03-24    22
52  2021-03-25    50
53  2021-03-26    37
54  2021-03-27    22
55  2021-03-28    30
56  2021-03-29   140
57  2021-03-30    65
58  2021-03-31    74
59  2021-04-01    42
60  2021-04-02     7
61  2021-04-03    20
62  2021-04-04    15
63  2021-04-05    52
64  2021-04-06    15
65  2021-04-07     2
66  2021-04-08    20
67  2021-04-09    52
68  2021-04-10    42
69  2021-04-11    32
70  2021-04-12    55
71  2021-04-13    22
72  2021-04-14    15
73  2021-04-15     9
74  2021-04-16    17
75  2021-04-17    22
76  2021-04-18    20
77  2021-04-19    39
78  2021-04-20    20
79  2021-04-21    15
80  2021-04-22     7
81  2021-04-23     4
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    12
85  2021-04-27    60
86  2021-04-28    85
87  2021-04-29    77
88  2021-04-30    95
89  2021-05-01    85
90  2021-05-02    77
91  2021-05-03    49
92  2021-05-04   135
93  2021-05-05     2
94  2021-05-06     9
95  2021-05-07     2
96  2021-05-08     4
97  2021-05-09    17
98  2021-05-10    17
99  2021-05-11     4
100 2021-05-12     0
101 2021-05-13     0
102 2021-05-14     7
103 2021-05-15   597
104 2021-05-16     7
105 2021-05-17     4
106 2021-05-18     4
107 2021-05-19    12
108 2021-05-20   170
109 2021-05-21    77
110 2021-05-22    67
111 2021-05-23   147
112 2021-05-24   147
113 2021-05-25    79
114 2021-05-26    62
115 2021-05-27    74
116 2021-05-28    77
117 2021-05-29   124
118 2021-05-30    55
119 2021-05-31    39
120 2021-06-01    12
121 2021-06-02    25
122 2021-06-03    12
123 2021-06-04    37
124 2021-06-05    79
125 2021-06-06    52
126 2021-06-07   385
127 2021-06-08  1522
128 2021-06-09   662
129 2021-06-10   275
130 2021-06-11  2197
131 2021-06-12   382
132 2021-06-13   229
133 2021-06-14   275
134 2021-06-15   184
135 2021-06-16   182
136 2021-06-17   114
137 2021-06-18   147
138 2021-06-19   170
139 2021-06-20   194
140 2021-06-21   122
141 2021-06-22   114
142 2021-06-23   142
143 2021-06-24   222
144 2021-06-25    85
145 2021-06-26    74
146 2021-06-27    32
147 2021-06-28     9
148 2021-06-29    22
149 2021-06-30    42
150 2021-07-01   145
151 2021-07-02   262
152 2021-07-03   347
153 2021-07-04   372
154 2021-07-05   229
155 2021-07-06   137
156 2021-07-07    97
157 2021-07-08    95
158 2021-07-09   114
159 2021-07-10    85
160 2021-07-11    77
161 2021-07-12    60
162 2021-07-13    85
163 2021-07-14    65
164 2021-07-15    44
