          date  data
0   2021-02-01    25
1   2021-02-02    60
2   2021-02-03    47
3   2021-02-04    14
4   2021-02-05    15
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     7
8   2021-02-09     4
9   2021-02-10    47
10  2021-02-11    72
11  2021-02-12    32
12  2021-02-13     7
13  2021-02-14     2
14  2021-02-15     4
15  2021-02-16     2
16  2021-02-17    12
17  2021-02-18    27
18  2021-02-19    17
19  2021-02-20    42
20  2021-02-21    17
21  2021-02-22    17
22  2021-02-23    17
23  2021-02-24     4
24  2021-02-25    17
25  2021-02-26     4
26  2021-02-27    17
27  2021-02-28    22
28  2021-03-01     7
29  2021-03-02     9
30  2021-03-03    12
31  2021-03-04    15
32  2021-03-05     7
33  2021-03-06     9
34  2021-03-07    15
35  2021-03-08    12
36  2021-03-09    27
37  2021-03-10    70
38  2021-03-11    35
39  2021-03-12    25
40  2021-03-13    15
41  2021-03-14    30
42  2021-03-15    27
43  2021-03-16    27
44  2021-03-17    44
45  2021-03-18    44
46  2021-03-19    62
47  2021-03-20    52
48  2021-03-21    44
49  2021-03-22    27
50  2021-03-23    49
51  2021-03-24    32
52  2021-03-25    60
53  2021-03-26    22
54  2021-03-27    25
55  2021-03-28    20
56  2021-03-29   117
57  2021-03-30    57
58  2021-03-31    72
59  2021-04-01    42
60  2021-04-02    22
61  2021-04-03    35
62  2021-04-04    25
63  2021-04-05    30
64  2021-04-06    17
65  2021-04-07     2
66  2021-04-08    12
67  2021-04-09    55
68  2021-04-10    42
69  2021-04-11    35
70  2021-04-12    20
71  2021-04-13    55
72  2021-04-14    12
73  2021-04-15     4
74  2021-04-16    15
75  2021-04-17    12
76  2021-04-18    22
77  2021-04-19    27
78  2021-04-20    17
79  2021-04-21     0
80  2021-04-22     9
81  2021-04-23     4
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26    20
85  2021-04-27    49
86  2021-04-28    74
87  2021-04-29    95
88  2021-04-30   117
89  2021-05-01    79
90  2021-05-02    95
91  2021-05-03    49
92  2021-05-04   124
93  2021-05-05     4
94  2021-05-06     0
95  2021-05-07     2
96  2021-05-08     7
97  2021-05-09     7
98  2021-05-10     0
99  2021-05-11     0
100 2021-05-12     0
101 2021-05-13     4
102 2021-05-14    20
103 2021-05-15   739
104 2021-05-16     0
105 2021-05-17     2
106 2021-05-18    12
107 2021-05-19     9
108 2021-05-20   199
109 2021-05-21    95
110 2021-05-22    72
111 2021-05-23   177
112 2021-05-24   172
113 2021-05-25    62
114 2021-05-26    82
115 2021-05-27    89
116 2021-05-28    87
117 2021-05-29    82
118 2021-05-30    77
119 2021-05-31    25
120 2021-06-01    17
121 2021-06-02    17
122 2021-06-03    20
123 2021-06-04    22
124 2021-06-05    70
125 2021-06-06    82
126 2021-06-07   472
127 2021-06-08  1640
128 2021-06-09   794
129 2021-06-10   287
130 2021-06-11  3192
131 2021-06-12   447
132 2021-06-13   252
133 2021-06-14   292
134 2021-06-15   199
135 2021-06-16   255
136 2021-06-17   152
137 2021-06-18   147
138 2021-06-19   137
139 2021-06-20   207
140 2021-06-21   184
141 2021-06-22   127
142 2021-06-23   122
143 2021-06-24   249
144 2021-06-25   114
145 2021-06-26    67
146 2021-06-27    20
147 2021-06-28    32
148 2021-06-29    30
149 2021-06-30    67
150 2021-07-01   212
151 2021-07-02   267
152 2021-07-03   442
153 2021-07-04   457
154 2021-07-05   302
155 2021-07-06   215
156 2021-07-07   102
157 2021-07-08   112
158 2021-07-09   137
159 2021-07-10   127
160 2021-07-11    79
161 2021-07-12    95
162 2021-07-13    74
163 2021-07-14    70
164 2021-07-15    44
