          date   data
0   2021-02-01    145
1   2021-02-02    372
2   2021-02-03    149
3   2021-02-04    124
4   2021-02-05     55
5   2021-02-06     22
6   2021-02-07     15
7   2021-02-08     20
8   2021-02-09     55
9   2021-02-10    239
10  2021-02-11    357
11  2021-02-12    194
12  2021-02-13    105
13  2021-02-14     37
14  2021-02-15     32
15  2021-02-16     22
16  2021-02-17    102
17  2021-02-18    194
18  2021-02-19    167
19  2021-02-20    232
20  2021-02-21    259
21  2021-02-22    229
22  2021-02-23    180
23  2021-02-24     39
24  2021-02-25     35
25  2021-02-26     42
26  2021-02-27     89
27  2021-02-28     57
28  2021-03-01     97
29  2021-03-02     87
30  2021-03-03     62
31  2021-03-04     62
32  2021-03-05     47
33  2021-03-06     62
34  2021-03-07    117
35  2021-03-08     89
36  2021-03-09    264
37  2021-03-10    477
38  2021-03-11    262
39  2021-03-12    247
40  2021-03-13    170
41  2021-03-14    245
42  2021-03-15    140
43  2021-03-16    165
44  2021-03-17    365
45  2021-03-18    470
46  2021-03-19    269
47  2021-03-20    379
48  2021-03-21    387
49  2021-03-22    315
50  2021-03-23    392
51  2021-03-24    217
52  2021-03-25    504
53  2021-03-26    287
54  2021-03-27    360
55  2021-03-28    259
56  2021-03-29   1240
57  2021-03-30    597
58  2021-03-31    507
59  2021-04-01    280
60  2021-04-02    232
61  2021-04-03    175
62  2021-04-04    130
63  2021-04-05    329
64  2021-04-06    255
65  2021-04-07    100
66  2021-04-08    117
67  2021-04-09    439
68  2021-04-10    239
69  2021-04-11    424
70  2021-04-12    409
71  2021-04-13    247
72  2021-04-14    147
73  2021-04-15     87
74  2021-04-16    102
75  2021-04-17    152
76  2021-04-18    154
77  2021-04-19    162
78  2021-04-20    167
79  2021-04-21     62
80  2021-04-22     87
81  2021-04-23     25
82  2021-04-24      0
83  2021-04-25      7
84  2021-04-26     77
85  2021-04-27    514
86  2021-04-28    527
87  2021-04-29    484
88  2021-04-30    790
89  2021-05-01    415
90  2021-05-02    282
91  2021-05-03    435
92  2021-05-04    985
93  2021-05-05     30
94  2021-05-06     17
95  2021-05-07     12
96  2021-05-08     49
97  2021-05-09     70
98  2021-05-10     39
99  2021-05-11     22
100 2021-05-12     27
101 2021-05-13     35
102 2021-05-14    229
103 2021-05-15   5477
104 2021-05-16     37
105 2021-05-17     44
106 2021-05-18     52
107 2021-05-19     62
108 2021-05-20   1664
109 2021-05-21    507
110 2021-05-22    604
111 2021-05-23   1134
112 2021-05-24   1099
113 2021-05-25    697
114 2021-05-26    407
115 2021-05-27    547
116 2021-05-28    629
117 2021-05-29    674
118 2021-05-30    299
119 2021-05-31    232
120 2021-06-01    119
121 2021-06-02    142
122 2021-06-03    189
123 2021-06-04    194
124 2021-06-05    400
125 2021-06-06    334
126 2021-06-07   2197
127 2021-06-08   7542
128 2021-06-09   3342
129 2021-06-10   1637
130 2021-06-11  18509
131 2021-06-12   1935
132 2021-06-13   1104
133 2021-06-14   1192
134 2021-06-15   1144
135 2021-06-16   1214
136 2021-06-17    765
137 2021-06-18    980
138 2021-06-19   1079
139 2021-06-20   1137
140 2021-06-21    802
141 2021-06-22    637
142 2021-06-23    699
143 2021-06-24   1364
144 2021-06-25    599
145 2021-06-26    417
146 2021-06-27    199
147 2021-06-28    152
148 2021-06-29    142
149 2021-06-30    374
150 2021-07-01    749
151 2021-07-02   2132
152 2021-07-03   2529
153 2021-07-04   2252
154 2021-07-05   1424
155 2021-07-06   1045
156 2021-07-07    435
157 2021-07-08    460
158 2021-07-09    725
159 2021-07-10    424
160 2021-07-11    402
161 2021-07-12    510
162 2021-07-13    347
163 2021-07-14    239
164 2021-07-15    229
