          date  data
0   2021-02-01    30
1   2021-02-02    47
2   2021-02-03    27
3   2021-02-04    18
4   2021-02-05     9
5   2021-02-06     4
6   2021-02-07     0
7   2021-02-08     2
8   2021-02-09     7
9   2021-02-10    32
10  2021-02-11    74
11  2021-02-12    32
12  2021-02-13    20
13  2021-02-14     4
14  2021-02-15     2
15  2021-02-16     0
16  2021-02-17    22
17  2021-02-18    39
18  2021-02-19    17
19  2021-02-20    37
20  2021-02-21    42
21  2021-02-22    62
22  2021-02-23    37
23  2021-02-24    15
24  2021-02-25     9
25  2021-02-26     4
26  2021-02-27    25
27  2021-02-28    20
28  2021-03-01    25
29  2021-03-02     4
30  2021-03-03     4
31  2021-03-04     0
32  2021-03-05     7
33  2021-03-06     4
34  2021-03-07     9
35  2021-03-08     0
36  2021-03-09    27
37  2021-03-10    79
38  2021-03-11    30
39  2021-03-12    37
40  2021-03-13    32
41  2021-03-14    35
42  2021-03-15    30
43  2021-03-16    20
44  2021-03-17    35
45  2021-03-18   122
46  2021-03-19    49
47  2021-03-20    67
48  2021-03-21    44
49  2021-03-22    35
50  2021-03-23    37
51  2021-03-24    17
52  2021-03-25    24
53  2021-03-26    55
54  2021-03-27    44
55  2021-03-28    27
56  2021-03-29   142
57  2021-03-30    55
58  2021-03-31    74
59  2021-04-01    49
60  2021-04-02    15
61  2021-04-03    32
62  2021-04-04    20
63  2021-04-05    32
64  2021-04-06    22
65  2021-04-07     9
66  2021-04-08     9
67  2021-04-09    32
68  2021-04-10    15
69  2021-04-11    44
70  2021-04-12    30
71  2021-04-13    27
72  2021-04-14    22
73  2021-04-15     9
74  2021-04-16    17
75  2021-04-17     7
76  2021-04-18    22
77  2021-04-19    32
78  2021-04-20     4
79  2021-04-21     9
80  2021-04-22     4
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    25
85  2021-04-27    79
86  2021-04-28    52
87  2021-04-29    55
88  2021-04-30    79
89  2021-05-01    60
90  2021-05-02    49
91  2021-05-03    47
92  2021-05-04    74
93  2021-05-05     2
94  2021-05-06     2
95  2021-05-07     4
96  2021-05-08     9
97  2021-05-09    22
98  2021-05-10     0
99  2021-05-11     0
100 2021-05-12     0
101 2021-05-13     7
102 2021-05-14    22
103 2021-05-15   617
104 2021-05-16     2
105 2021-05-17     4
106 2021-05-18     0
107 2021-05-19    15
108 2021-05-20   172
109 2021-05-21    57
110 2021-05-22    79
111 2021-05-23   130
112 2021-05-24   124
113 2021-05-25    62
114 2021-05-26    37
115 2021-05-27    42
116 2021-05-28    42
117 2021-05-29    62
118 2021-05-30    30
119 2021-05-31    17
120 2021-06-01    15
121 2021-06-02     9
122 2021-06-03     7
123 2021-06-04     9
124 2021-06-05    62
125 2021-06-06    35
126 2021-06-07   322
127 2021-06-08  1064
128 2021-06-09   419
129 2021-06-10   180
130 2021-06-11  1047
131 2021-06-12   237
132 2021-06-13   149
133 2021-06-14   122
134 2021-06-15    87
135 2021-06-16   159
136 2021-06-17    70
137 2021-06-18   102
138 2021-06-19   132
139 2021-06-20   132
140 2021-06-21   112
141 2021-06-22    42
142 2021-06-23    89
143 2021-06-24   105
144 2021-06-25    47
145 2021-06-26    35
146 2021-06-27    17
147 2021-06-28    15
148 2021-06-29    22
149 2021-06-30    30
150 2021-07-01    74
151 2021-07-02   212
152 2021-07-03   310
153 2021-07-04   277
154 2021-07-05   135
155 2021-07-06   107
156 2021-07-07    42
157 2021-07-08    57
158 2021-07-09    79
159 2021-07-10    47
160 2021-07-11    62
161 2021-07-12    60
162 2021-07-13    55
163 2021-07-14    25
164 2021-07-15    37
