          date data
0   2021-02-01   22
1   2021-02-02   17
2   2021-02-03   12
3   2021-02-04   14
4   2021-02-05    9
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10   17
10  2021-02-11   52
11  2021-02-12   35
12  2021-02-13    9
13  2021-02-14    2
14  2021-02-15    9
15  2021-02-16    4
16  2021-02-17   15
17  2021-02-18   30
18  2021-02-19   20
19  2021-02-20   27
20  2021-02-21   44
21  2021-02-22   52
22  2021-02-23   20
23  2021-02-24    2
24  2021-02-25    4
25  2021-02-26    9
26  2021-02-27    9
27  2021-02-28    7
28  2021-03-01    2
29  2021-03-02    9
30  2021-03-03   12
31  2021-03-04   12
32  2021-03-05    4
33  2021-03-06    4
34  2021-03-07   17
35  2021-03-08    7
36  2021-03-09   30
37  2021-03-10   44
38  2021-03-11   30
39  2021-03-12   12
40  2021-03-13   32
41  2021-03-14   32
42  2021-03-15   17
43  2021-03-16    9
44  2021-03-17   52
45  2021-03-18   39
46  2021-03-19   47
47  2021-03-20   67
48  2021-03-21   44
49  2021-03-22   32
50  2021-03-23   17
51  2021-03-24   15
52  2021-03-25   60
53  2021-03-26   35
54  2021-03-27   44
55  2021-03-28   35
56  2021-03-29   77
57  2021-03-30   42
58  2021-03-31   49
59  2021-04-01   22
60  2021-04-02   20
61  2021-04-03   15
62  2021-04-04   30
63  2021-04-05   25
64  2021-04-06   20
65  2021-04-07    9
66  2021-04-08    2
67  2021-04-09   12
68  2021-04-10   17
69  2021-04-11   30
70  2021-04-12    9
71  2021-04-13    9
72  2021-04-14    7
73  2021-04-15    4
74  2021-04-16    7
75  2021-04-17    9
76  2021-04-18   20
77  2021-04-19    7
78  2021-04-20   20
79  2021-04-21    4
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26   12
85  2021-04-27   32
86  2021-04-28   44
87  2021-04-29   42
88  2021-04-30   57
89  2021-05-01   25
90  2021-05-02   37
91  2021-05-03   42
92  2021-05-04   57
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    4
98  2021-05-10    0
99  2021-05-11    4
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    7
103 2021-05-15  360
104 2021-05-16    0
105 2021-05-17    7
106 2021-05-18    9
107 2021-05-19    4
108 2021-05-20   70
109 2021-05-21   17
110 2021-05-22   55
111 2021-05-23   87
112 2021-05-24   87
113 2021-05-25   32
114 2021-05-26   25
115 2021-05-27   22
116 2021-05-28   32
117 2021-05-29   65
118 2021-05-30   20
119 2021-05-31   15
120 2021-06-01    4
121 2021-06-02   15
122 2021-06-03    9
123 2021-06-04    7
124 2021-06-05   27
125 2021-06-06   47
126 2021-06-07  227
127 2021-06-08  809
128 2021-06-09  252
129 2021-06-10  135
130 2021-06-11  690
131 2021-06-12  165
132 2021-06-13  140
133 2021-06-14   87
134 2021-06-15   62
135 2021-06-16  107
136 2021-06-17   60
137 2021-06-18   67
138 2021-06-19   77
139 2021-06-20  122
140 2021-06-21  102
141 2021-06-22   49
142 2021-06-23   57
143 2021-06-24  130
144 2021-06-25   62
145 2021-06-26   37
146 2021-06-27   17
147 2021-06-28    7
148 2021-06-29    7
149 2021-06-30   20
150 2021-07-01   52
151 2021-07-02  149
152 2021-07-03  192
153 2021-07-04  170
154 2021-07-05  102
155 2021-07-06   77
156 2021-07-07   37
157 2021-07-08   35
158 2021-07-09   95
159 2021-07-10   52
160 2021-07-11   30
161 2021-07-12   67
162 2021-07-13   47
163 2021-07-14   25
164 2021-07-15   35
