          date  data
0   2021-02-01    27
1   2021-02-02    30
2   2021-02-03    20
3   2021-02-04    30
4   2021-02-05    15
5   2021-02-06     4
6   2021-02-07     0
7   2021-02-08     2
8   2021-02-09    12
9   2021-02-10    35
10  2021-02-11    47
11  2021-02-12    27
12  2021-02-13    12
13  2021-02-14    17
14  2021-02-15     2
15  2021-02-16     0
16  2021-02-17    12
17  2021-02-18    22
18  2021-02-19    27
19  2021-02-20    30
20  2021-02-21    39
21  2021-02-22    17
22  2021-02-23     9
23  2021-02-24     2
24  2021-02-25    17
25  2021-02-26     9
26  2021-02-27    12
27  2021-02-28     9
28  2021-03-01    20
29  2021-03-02    25
30  2021-03-03    17
31  2021-03-04     4
32  2021-03-05    12
33  2021-03-06     7
34  2021-03-07    12
35  2021-03-08    15
36  2021-03-09    27
37  2021-03-10    52
38  2021-03-11    35
39  2021-03-12    25
40  2021-03-13    22
41  2021-03-14    25
42  2021-03-15     7
43  2021-03-16    22
44  2021-03-17    35
45  2021-03-18    37
46  2021-03-19    39
47  2021-03-20    79
48  2021-03-21    62
49  2021-03-22    39
50  2021-03-23    30
51  2021-03-24    17
52  2021-03-25    70
53  2021-03-26    35
54  2021-03-27    25
55  2021-03-28    30
56  2021-03-29    85
57  2021-03-30    52
58  2021-03-31    62
59  2021-04-01    32
60  2021-04-02    12
61  2021-04-03    12
62  2021-04-04    15
63  2021-04-05    15
64  2021-04-06    37
65  2021-04-07     7
66  2021-04-08    22
67  2021-04-09    37
68  2021-04-10    32
69  2021-04-11    52
70  2021-04-12    25
71  2021-04-13    32
72  2021-04-14    30
73  2021-04-15    20
74  2021-04-16    12
75  2021-04-17    15
76  2021-04-18    17
77  2021-04-19    30
78  2021-04-20    22
79  2021-04-21     9
80  2021-04-22     2
81  2021-04-23     7
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26    35
85  2021-04-27    72
86  2021-04-28    62
87  2021-04-29    55
88  2021-04-30    77
89  2021-05-01    52
90  2021-05-02    57
91  2021-05-03    55
92  2021-05-04    92
93  2021-05-05     0
94  2021-05-06     0
95  2021-05-07     4
96  2021-05-08     7
97  2021-05-09     9
98  2021-05-10     4
99  2021-05-11     4
100 2021-05-12     0
101 2021-05-13     2
102 2021-05-14     4
103 2021-05-15   510
104 2021-05-16     0
105 2021-05-17     4
106 2021-05-18    17
107 2021-05-19     2
108 2021-05-20   147
109 2021-05-21    52
110 2021-05-22    87
111 2021-05-23    95
112 2021-05-24   132
113 2021-05-25    67
114 2021-05-26    27
115 2021-05-27    52
116 2021-05-28    85
117 2021-05-29    89
118 2021-05-30    42
119 2021-05-31    32
120 2021-06-01    15
121 2021-06-02    30
122 2021-06-03     7
123 2021-06-04    35
124 2021-06-05    47
125 2021-06-06    44
126 2021-06-07   297
127 2021-06-08  1114
128 2021-06-09   474
129 2021-06-10   219
130 2021-06-11  1127
131 2021-06-12   299
132 2021-06-13   222
133 2021-06-14   170
134 2021-06-15   114
135 2021-06-16   199
136 2021-06-17    82
137 2021-06-18   142
138 2021-06-19   135
139 2021-06-20   162
140 2021-06-21   109
141 2021-06-22   124
142 2021-06-23   119
143 2021-06-24   157
144 2021-06-25    65
145 2021-06-26    67
146 2021-06-27    27
147 2021-06-28    25
148 2021-06-29    22
149 2021-06-30    35
150 2021-07-01   127
151 2021-07-02   212
152 2021-07-03   282
153 2021-07-04   320
154 2021-07-05   207
155 2021-07-06   127
156 2021-07-07    92
157 2021-07-08    85
158 2021-07-09    62
159 2021-07-10    67
160 2021-07-11    57
161 2021-07-12    62
162 2021-07-13    37
163 2021-07-14    47
164 2021-07-15    44
