          date data
0   2021-02-01   12
1   2021-02-02   27
2   2021-02-03    9
3   2021-02-04   14
4   2021-02-05    7
5   2021-02-06    0
6   2021-02-07    2
7   2021-02-08    2
8   2021-02-09   12
9   2021-02-10   25
10  2021-02-11   74
11  2021-02-12   37
12  2021-02-13    9
13  2021-02-14    4
14  2021-02-15    2
15  2021-02-16    2
16  2021-02-17    9
17  2021-02-18   20
18  2021-02-19   17
19  2021-02-20   12
20  2021-02-21   30
21  2021-02-22   37
22  2021-02-23    7
23  2021-02-24    2
24  2021-02-25    2
25  2021-02-26    7
26  2021-02-27   22
27  2021-02-28    9
28  2021-03-01   20
29  2021-03-02   17
30  2021-03-03    7
31  2021-03-04   12
32  2021-03-05   17
33  2021-03-06    2
34  2021-03-07   20
35  2021-03-08    4
36  2021-03-09   22
37  2021-03-10   35
38  2021-03-11   37
39  2021-03-12   25
40  2021-03-13   12
41  2021-03-14   22
42  2021-03-15   17
43  2021-03-16   52
44  2021-03-17   52
45  2021-03-18   65
46  2021-03-19   35
47  2021-03-20   70
48  2021-03-21   49
49  2021-03-22   39
50  2021-03-23   32
51  2021-03-24    7
52  2021-03-25   60
53  2021-03-26   20
54  2021-03-27   25
55  2021-03-28    7
56  2021-03-29   79
57  2021-03-30   49
58  2021-03-31   32
59  2021-04-01   35
60  2021-04-02    9
61  2021-04-03    7
62  2021-04-04    4
63  2021-04-05   22
64  2021-04-06   37
65  2021-04-07    7
66  2021-04-08    9
67  2021-04-09   20
68  2021-04-10   17
69  2021-04-11   12
70  2021-04-12   25
71  2021-04-13   22
72  2021-04-14    9
73  2021-04-15    7
74  2021-04-16   12
75  2021-04-17   20
76  2021-04-18   15
77  2021-04-19   12
78  2021-04-20   15
79  2021-04-21    7
80  2021-04-22    7
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26   20
85  2021-04-27   37
86  2021-04-28   35
87  2021-04-29   37
88  2021-04-30   42
89  2021-05-01   27
90  2021-05-02   27
91  2021-05-03   17
92  2021-05-04   89
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    7
97  2021-05-09    9
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    9
103 2021-05-15  385
104 2021-05-16    0
105 2021-05-17    2
106 2021-05-18    9
107 2021-05-19    2
108 2021-05-20   67
109 2021-05-21   35
110 2021-05-22   37
111 2021-05-23  100
112 2021-05-24   72
113 2021-05-25   44
114 2021-05-26   32
115 2021-05-27   37
116 2021-05-28   35
117 2021-05-29   30
118 2021-05-30    9
119 2021-05-31   20
120 2021-06-01    2
121 2021-06-02    2
122 2021-06-03    7
123 2021-06-04   15
124 2021-06-05   37
125 2021-06-06   39
126 2021-06-07  194
127 2021-06-08  699
128 2021-06-09  312
129 2021-06-10  142
130 2021-06-11  755
131 2021-06-12  170
132 2021-06-13   97
133 2021-06-14   79
134 2021-06-15   95
135 2021-06-16  114
136 2021-06-17   55
137 2021-06-18   70
138 2021-06-19  119
139 2021-06-20   85
140 2021-06-21   97
141 2021-06-22   72
142 2021-06-23   60
143 2021-06-24   65
144 2021-06-25   42
145 2021-06-26   25
146 2021-06-27   12
147 2021-06-28   20
148 2021-06-29   15
149 2021-06-30   39
150 2021-07-01   57
151 2021-07-02  159
152 2021-07-03  227
153 2021-07-04  237
154 2021-07-05  152
155 2021-07-06   97
156 2021-07-07   60
157 2021-07-08   37
158 2021-07-09   60
159 2021-07-10   42
160 2021-07-11   67
161 2021-07-12   60
162 2021-07-13   35
163 2021-07-14    9
164 2021-07-15   42
