          date  data
0   2021-02-01    17
1   2021-02-02    57
2   2021-02-03    72
3   2021-02-04    24
4   2021-02-05    12
5   2021-02-06     4
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    15
9   2021-02-10    60
10  2021-02-11    60
11  2021-02-12    30
12  2021-02-13     9
13  2021-02-14     2
14  2021-02-15     2
15  2021-02-16     0
16  2021-02-17     4
17  2021-02-18    32
18  2021-02-19    20
19  2021-02-20    17
20  2021-02-21    27
21  2021-02-22    25
22  2021-02-23    27
23  2021-02-24     4
24  2021-02-25     9
25  2021-02-26     2
26  2021-02-27    20
27  2021-02-28     4
28  2021-03-01    15
29  2021-03-02     7
30  2021-03-03     2
31  2021-03-04     4
32  2021-03-05     7
33  2021-03-06     4
34  2021-03-07    17
35  2021-03-08     7
36  2021-03-09    17
37  2021-03-10    67
38  2021-03-11    44
39  2021-03-12    22
40  2021-03-13    27
41  2021-03-14    12
42  2021-03-15    20
43  2021-03-16    25
44  2021-03-17    37
45  2021-03-18    42
46  2021-03-19    52
47  2021-03-20    60
48  2021-03-21    47
49  2021-03-22    15
50  2021-03-23    27
51  2021-03-24    17
52  2021-03-25    88
53  2021-03-26    39
54  2021-03-27    52
55  2021-03-28    12
56  2021-03-29   137
57  2021-03-30    77
58  2021-03-31    62
59  2021-04-01    22
60  2021-04-02     7
61  2021-04-03     7
62  2021-04-04    27
63  2021-04-05    27
64  2021-04-06    17
65  2021-04-07     7
66  2021-04-08     4
67  2021-04-09    35
68  2021-04-10    32
69  2021-04-11    22
70  2021-04-12    35
71  2021-04-13    27
72  2021-04-14     4
73  2021-04-15    12
74  2021-04-16     7
75  2021-04-17    17
76  2021-04-18    22
77  2021-04-19    12
78  2021-04-20    22
79  2021-04-21     4
80  2021-04-22     7
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26    17
85  2021-04-27    32
86  2021-04-28    49
87  2021-04-29    27
88  2021-04-30    62
89  2021-05-01    39
90  2021-05-02    30
91  2021-05-03    37
92  2021-05-04    87
93  2021-05-05     2
94  2021-05-06     2
95  2021-05-07     2
96  2021-05-08     9
97  2021-05-09     4
98  2021-05-10     4
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13     2
102 2021-05-14    20
103 2021-05-15   622
104 2021-05-16     0
105 2021-05-17     7
106 2021-05-18     0
107 2021-05-19     7
108 2021-05-20   145
109 2021-05-21    30
110 2021-05-22    39
111 2021-05-23   109
112 2021-05-24   112
113 2021-05-25    85
114 2021-05-26    37
115 2021-05-27    35
116 2021-05-28    65
117 2021-05-29    82
118 2021-05-30    60
119 2021-05-31    12
120 2021-06-01    12
121 2021-06-02    22
122 2021-06-03    17
123 2021-06-04    22
124 2021-06-05    65
125 2021-06-06    37
126 2021-06-07   282
127 2021-06-08   992
128 2021-06-09   415
129 2021-06-10   210
130 2021-06-11  1270
131 2021-06-12   222
132 2021-06-13   145
133 2021-06-14   135
134 2021-06-15    92
135 2021-06-16   170
136 2021-06-17    49
137 2021-06-18    97
138 2021-06-19   130
139 2021-06-20   167
140 2021-06-21   102
141 2021-06-22    92
142 2021-06-23    49
143 2021-06-24   180
144 2021-06-25    62
145 2021-06-26    49
146 2021-06-27    17
147 2021-06-28    20
148 2021-06-29     4
149 2021-06-30    42
150 2021-07-01    79
151 2021-07-02   227
152 2021-07-03   280
153 2021-07-04   277
154 2021-07-05   182
155 2021-07-06    85
156 2021-07-07    55
157 2021-07-08    65
158 2021-07-09    70
159 2021-07-10    60
160 2021-07-11    55
161 2021-07-12   102
162 2021-07-13    39
163 2021-07-14    52
164 2021-07-15    32
