          date  data
0   2021-02-01    49
1   2021-02-02   159
2   2021-02-03    74
3   2021-02-04    64
4   2021-02-05     9
5   2021-02-06     4
6   2021-02-07     0
7   2021-02-08     4
8   2021-02-09    25
9   2021-02-10    97
10  2021-02-11   170
11  2021-02-12    79
12  2021-02-13    35
13  2021-02-14    35
14  2021-02-15     7
15  2021-02-16     9
16  2021-02-17    20
17  2021-02-18    62
18  2021-02-19    49
19  2021-02-20    65
20  2021-02-21    74
21  2021-02-22    74
22  2021-02-23    49
23  2021-02-24    30
24  2021-02-25    27
25  2021-02-26     9
26  2021-02-27    20
27  2021-02-28    20
28  2021-03-01    44
29  2021-03-02    52
30  2021-03-03    32
31  2021-03-04    35
32  2021-03-05    17
33  2021-03-06    22
34  2021-03-07    65
35  2021-03-08    15
36  2021-03-09    89
37  2021-03-10   175
38  2021-03-11   132
39  2021-03-12    97
40  2021-03-13    39
41  2021-03-14    97
42  2021-03-15    67
43  2021-03-16    70
44  2021-03-17    95
45  2021-03-18   187
46  2021-03-19   149
47  2021-03-20   130
48  2021-03-21   109
49  2021-03-22    77
50  2021-03-23   105
51  2021-03-24    57
52  2021-03-25   170
53  2021-03-26    97
54  2021-03-27   112
55  2021-03-28    47
56  2021-03-29   219
57  2021-03-30   117
58  2021-03-31   145
59  2021-04-01   100
60  2021-04-02    70
61  2021-04-03    52
62  2021-04-04    47
63  2021-04-05    60
64  2021-04-06    72
65  2021-04-07    44
66  2021-04-08    20
67  2021-04-09    97
68  2021-04-10    70
69  2021-04-11    92
70  2021-04-12    72
71  2021-04-13    62
72  2021-04-14    32
73  2021-04-15    32
74  2021-04-16    52
75  2021-04-17    57
76  2021-04-18    37
77  2021-04-19    39
78  2021-04-20    65
79  2021-04-21    25
80  2021-04-22    17
81  2021-04-23     0
82  2021-04-24     4
83  2021-04-25     0
84  2021-04-26    25
85  2021-04-27   114
86  2021-04-28   152
87  2021-04-29   187
88  2021-04-30   215
89  2021-05-01    95
90  2021-05-02   107
91  2021-05-03   109
92  2021-05-04   229
93  2021-05-05    17
94  2021-05-06     2
95  2021-05-07     7
96  2021-05-08     7
97  2021-05-09    12
98  2021-05-10    12
99  2021-05-11     4
100 2021-05-12     2
101 2021-05-13    12
102 2021-05-14    49
103 2021-05-15  1462
104 2021-05-16     2
105 2021-05-17     4
106 2021-05-18     9
107 2021-05-19    25
108 2021-05-20   307
109 2021-05-21   149
110 2021-05-22   145
111 2021-05-23   320
112 2021-05-24   357
113 2021-05-25   170
114 2021-05-26   147
115 2021-05-27   127
116 2021-05-28   184
117 2021-05-29   127
118 2021-05-30    65
119 2021-05-31    55
120 2021-06-01    42
121 2021-06-02    47
122 2021-06-03    44
123 2021-06-04    47
124 2021-06-05   149
125 2021-06-06   137
126 2021-06-07   742
127 2021-06-08  2440
128 2021-06-09   917
129 2021-06-10   432
130 2021-06-11  3624
131 2021-06-12   582
132 2021-06-13   385
133 2021-06-14   332
134 2021-06-15   239
135 2021-06-16   385
136 2021-06-17   232
137 2021-06-18   252
138 2021-06-19   297
139 2021-06-20   369
140 2021-06-21   239
141 2021-06-22   204
142 2021-06-23   204
143 2021-06-24   322
144 2021-06-25   137
145 2021-06-26    85
146 2021-06-27    30
147 2021-06-28    37
148 2021-06-29    37
149 2021-06-30    89
150 2021-07-01   242
151 2021-07-02   575
152 2021-07-03   664
153 2021-07-04   594
154 2021-07-05   404
155 2021-07-06   249
156 2021-07-07   152
157 2021-07-08   157
158 2021-07-09   192
159 2021-07-10   117
160 2021-07-11   147
161 2021-07-12   142
162 2021-07-13    70
163 2021-07-14    79
164 2021-07-15    62
