          date data
0   2021-02-01   15
1   2021-02-02   55
2   2021-02-03   22
3   2021-02-04    4
4   2021-02-05    9
5   2021-02-06    2
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09   12
9   2021-02-10   27
10  2021-02-11   42
11  2021-02-12   35
12  2021-02-13    7
13  2021-02-14    4
14  2021-02-15    2
15  2021-02-16    2
16  2021-02-17    7
17  2021-02-18   25
18  2021-02-19   25
19  2021-02-20   17
20  2021-02-21   44
21  2021-02-22   39
22  2021-02-23    7
23  2021-02-24    0
24  2021-02-25    2
25  2021-02-26    0
26  2021-02-27    4
27  2021-02-28    9
28  2021-03-01   12
29  2021-03-02    9
30  2021-03-03   12
31  2021-03-04    4
32  2021-03-05    7
33  2021-03-06    4
34  2021-03-07   15
35  2021-03-08    4
36  2021-03-09   17
37  2021-03-10   35
38  2021-03-11   44
39  2021-03-12   25
40  2021-03-13   17
41  2021-03-14   32
42  2021-03-15   22
43  2021-03-16   25
44  2021-03-17   22
45  2021-03-18   44
46  2021-03-19   35
47  2021-03-20   39
48  2021-03-21   25
49  2021-03-22    7
50  2021-03-23   30
51  2021-03-24    7
52  2021-03-25   14
53  2021-03-26   25
54  2021-03-27   27
55  2021-03-28   32
56  2021-03-29   92
57  2021-03-30   44
58  2021-03-31   27
59  2021-04-01   27
60  2021-04-02    9
61  2021-04-03    4
62  2021-04-04    9
63  2021-04-05   17
64  2021-04-06    9
65  2021-04-07    9
66  2021-04-08    2
67  2021-04-09   27
68  2021-04-10   12
69  2021-04-11    7
70  2021-04-12    9
71  2021-04-13    9
72  2021-04-14    4
73  2021-04-15    2
74  2021-04-16    4
75  2021-04-17   22
76  2021-04-18   17
77  2021-04-19   20
78  2021-04-20   12
79  2021-04-21    2
80  2021-04-22    9
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26   15
85  2021-04-27   37
86  2021-04-28   37
87  2021-04-29   25
88  2021-04-30   42
89  2021-05-01   35
90  2021-05-02   27
91  2021-05-03   22
92  2021-05-04   85
93  2021-05-05    4
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    4
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    2
102 2021-05-14    4
103 2021-05-15  374
104 2021-05-16    4
105 2021-05-17    0
106 2021-05-18    4
107 2021-05-19    2
108 2021-05-20   62
109 2021-05-21   22
110 2021-05-22   17
111 2021-05-23   87
112 2021-05-24   52
113 2021-05-25   27
114 2021-05-26   17
115 2021-05-27   25
116 2021-05-28   25
117 2021-05-29   37
118 2021-05-30   22
119 2021-05-31    9
120 2021-06-01    7
121 2021-06-02   22
122 2021-06-03    2
123 2021-06-04    7
124 2021-06-05   20
125 2021-06-06   12
126 2021-06-07  154
127 2021-06-08  487
128 2021-06-09  222
129 2021-06-10  100
130 2021-06-11  462
131 2021-06-12  132
132 2021-06-13   74
133 2021-06-14   82
134 2021-06-15   52
135 2021-06-16   62
136 2021-06-17   55
137 2021-06-18   62
138 2021-06-19  109
139 2021-06-20   52
140 2021-06-21   67
141 2021-06-22   17
142 2021-06-23   55
143 2021-06-24   70
144 2021-06-25   20
145 2021-06-26   27
146 2021-06-27    9
147 2021-06-28    9
148 2021-06-29    7
149 2021-06-30    7
150 2021-07-01   55
151 2021-07-02   95
152 2021-07-03  152
153 2021-07-04  170
154 2021-07-05  124
155 2021-07-06   70
156 2021-07-07   27
157 2021-07-08   22
158 2021-07-09   44
159 2021-07-10   27
160 2021-07-11   37
161 2021-07-12   32
162 2021-07-13   39
163 2021-07-14   30
164 2021-07-15   27
