          date   data
0   2021-02-01    360
1   2021-02-02    972
2   2021-02-03    562
3   2021-02-04    430
4   2021-02-05    180
5   2021-02-06     42
6   2021-02-07      4
7   2021-02-08     37
8   2021-02-09    157
9   2021-02-10    612
10  2021-02-11    969
11  2021-02-12    554
12  2021-02-13    192
13  2021-02-14    132
14  2021-02-15     44
15  2021-02-16     32
16  2021-02-17    137
17  2021-02-18    452
18  2021-02-19    390
19  2021-02-20    554
20  2021-02-21    640
21  2021-02-22    655
22  2021-02-23    362
23  2021-02-24    100
24  2021-02-25    119
25  2021-02-26    102
26  2021-02-27    227
27  2021-02-28    119
28  2021-03-01    269
29  2021-03-02    255
30  2021-03-03    219
31  2021-03-04    224
32  2021-03-05    180
33  2021-03-06    149
34  2021-03-07    317
35  2021-03-08    159
36  2021-03-09    479
37  2021-03-10   1179
38  2021-03-11    732
39  2021-03-12    545
40  2021-03-13    427
41  2021-03-14    655
42  2021-03-15    409
43  2021-03-16    505
44  2021-03-17    727
45  2021-03-18   1334
46  2021-03-19   1077
47  2021-03-20   1072
48  2021-03-21    947
49  2021-03-22    577
50  2021-03-23    652
51  2021-03-24    379
52  2021-03-25   1024
53  2021-03-26    679
54  2021-03-27    645
55  2021-03-28    472
56  2021-03-29   1377
57  2021-03-30    777
58  2021-03-31    910
59  2021-04-01    604
60  2021-04-02    390
61  2021-04-03    357
62  2021-04-04    334
63  2021-04-05    432
64  2021-04-06    492
65  2021-04-07    245
66  2021-04-08    154
67  2021-04-09    727
68  2021-04-10    517
69  2021-04-11    667
70  2021-04-12    570
71  2021-04-13    452
72  2021-04-14    252
73  2021-04-15    224
74  2021-04-16    297
75  2021-04-17    340
76  2021-04-18    347
77  2021-04-19    452
78  2021-04-20    404
79  2021-04-21    199
80  2021-04-22    140
81  2021-04-23     30
82  2021-04-24     17
83  2021-04-25      4
84  2021-04-26    287
85  2021-04-27    872
86  2021-04-28   1057
87  2021-04-29    897
88  2021-04-30   1525
89  2021-05-01    712
90  2021-05-02    692
91  2021-05-03    814
92  2021-05-04   1715
93  2021-05-05     60
94  2021-05-06     22
95  2021-05-07     42
96  2021-05-08     87
97  2021-05-09    137
98  2021-05-10     72
99  2021-05-11     44
100 2021-05-12     15
101 2021-05-13     72
102 2021-05-14    325
103 2021-05-15  10654
104 2021-05-16     55
105 2021-05-17     72
106 2021-05-18    119
107 2021-05-19    127
108 2021-05-20   2609
109 2021-05-21    945
110 2021-05-22   1227
111 2021-05-23   2102
112 2021-05-24   2112
113 2021-05-25   1079
114 2021-05-26    709
115 2021-05-27    875
116 2021-05-28   1007
117 2021-05-29    980
118 2021-05-30    557
119 2021-05-31    379
120 2021-06-01    242
121 2021-06-02    304
122 2021-06-03    252
123 2021-06-04    355
124 2021-06-05    857
125 2021-06-06    702
126 2021-06-07   4647
127 2021-06-08  15737
128 2021-06-09   6549
129 2021-06-10   2975
130 2021-06-11  22207
131 2021-06-12   4005
132 2021-06-13   2515
133 2021-06-14   2127
134 2021-06-15   1657
135 2021-06-16   2510
136 2021-06-17   1392
137 2021-06-18   1844
138 2021-06-19   2272
139 2021-06-20   2392
140 2021-06-21   1822
141 2021-06-22   1382
142 2021-06-23   1332
143 2021-06-24   2229
144 2021-06-25   1029
145 2021-06-26    692
146 2021-06-27    294
147 2021-06-28    304
148 2021-06-29    264
149 2021-06-30    722
150 2021-07-01   1549
151 2021-07-02   4002
152 2021-07-03   4712
153 2021-07-04   4554
154 2021-07-05   2840
155 2021-07-06   1890
156 2021-07-07   1082
157 2021-07-08    972
158 2021-07-09   1279
159 2021-07-10    882
160 2021-07-11    900
161 2021-07-12   1052
162 2021-07-13    690
163 2021-07-14    514
164 2021-07-15    524
