          date   data
0   2021-02-01     77
1   2021-02-02    149
2   2021-02-03    170
3   2021-02-04     64
4   2021-02-05     22
5   2021-02-06      7
6   2021-02-07      2
7   2021-02-08      0
8   2021-02-09     39
9   2021-02-10     74
10  2021-02-11     97
11  2021-02-12     57
12  2021-02-13     20
13  2021-02-14     17
14  2021-02-15      7
15  2021-02-16     15
16  2021-02-17     22
17  2021-02-18     74
18  2021-02-19     77
19  2021-02-20     65
20  2021-02-21     87
21  2021-02-22     62
22  2021-02-23     49
23  2021-02-24     20
24  2021-02-25     39
25  2021-02-26     25
26  2021-02-27     42
27  2021-02-28     22
28  2021-03-01     22
29  2021-03-02     35
30  2021-03-03     37
31  2021-03-04     42
32  2021-03-05     17
33  2021-03-06     35
34  2021-03-07     47
35  2021-03-08     47
36  2021-03-09    114
37  2021-03-10    147
38  2021-03-11    117
39  2021-03-12     72
40  2021-03-13     70
41  2021-03-14     70
42  2021-03-15     57
43  2021-03-16     62
44  2021-03-17    140
45  2021-03-18    252
46  2021-03-19    124
47  2021-03-20    162
48  2021-03-21    127
49  2021-03-22    177
50  2021-03-23    162
51  2021-03-24     89
52  2021-03-25    218
53  2021-03-26    117
54  2021-03-27    147
55  2021-03-28     65
56  2021-03-29    419
57  2021-03-30    175
58  2021-03-31    229
59  2021-04-01     87
60  2021-04-02     70
61  2021-04-03     47
62  2021-04-04     49
63  2021-04-05     89
64  2021-04-06    117
65  2021-04-07     42
66  2021-04-08     44
67  2021-04-09    157
68  2021-04-10     87
69  2021-04-11    165
70  2021-04-12     89
71  2021-04-13     72
72  2021-04-14     49
73  2021-04-15     25
74  2021-04-16     44
75  2021-04-17     92
76  2021-04-18     82
77  2021-04-19    105
78  2021-04-20     39
79  2021-04-21     30
80  2021-04-22     37
81  2021-04-23     22
82  2021-04-24      2
83  2021-04-25      2
84  2021-04-26     20
85  2021-04-27    154
86  2021-04-28    175
87  2021-04-29    267
88  2021-04-30    402
89  2021-05-01    175
90  2021-05-02     89
91  2021-05-03    184
92  2021-05-04    449
93  2021-05-05      9
94  2021-05-06      9
95  2021-05-07      7
96  2021-05-08     27
97  2021-05-09     35
98  2021-05-10     30
99  2021-05-11      0
100 2021-05-12      2
101 2021-05-13      4
102 2021-05-14     77
103 2021-05-15   2407
104 2021-05-16     15
105 2021-05-17     15
106 2021-05-18      9
107 2021-05-19     44
108 2021-05-20   1007
109 2021-05-21    227
110 2021-05-22    222
111 2021-05-23    692
112 2021-05-24    704
113 2021-05-25    325
114 2021-05-26    239
115 2021-05-27    282
116 2021-05-28    257
117 2021-05-29    310
118 2021-05-30    212
119 2021-05-31    112
120 2021-06-01     49
121 2021-06-02     74
122 2021-06-03     79
123 2021-06-04    102
124 2021-06-05    154
125 2021-06-06    162
126 2021-06-07    954
127 2021-06-08   3874
128 2021-06-09   1710
129 2021-06-10    659
130 2021-06-11  10559
131 2021-06-12   1085
132 2021-06-13    727
133 2021-06-14    624
134 2021-06-15    479
135 2021-06-16    790
136 2021-06-17    332
137 2021-06-18    489
138 2021-06-19    847
139 2021-06-20    647
140 2021-06-21    477
141 2021-06-22    322
142 2021-06-23    390
143 2021-06-24    912
144 2021-06-25    325
145 2021-06-26    304
146 2021-06-27    127
147 2021-06-28    127
148 2021-06-29    114
149 2021-06-30    259
150 2021-07-01    487
151 2021-07-02   1117
152 2021-07-03   1372
153 2021-07-04   1275
154 2021-07-05    835
155 2021-07-06    629
156 2021-07-07    360
157 2021-07-08    275
158 2021-07-09    409
159 2021-07-10    334
160 2021-07-11    302
161 2021-07-12    315
162 2021-07-13    229
163 2021-07-14    137
164 2021-07-15    140
