          date  data
0   2021-02-01    15
1   2021-02-02    35
2   2021-02-03    47
3   2021-02-04    14
4   2021-02-05     0
5   2021-02-06     2
6   2021-02-07     0
7   2021-02-08     2
8   2021-02-09    17
9   2021-02-10    49
10  2021-02-11    55
11  2021-02-12    35
12  2021-02-13    12
13  2021-02-14     9
14  2021-02-15     0
15  2021-02-16     2
16  2021-02-17    17
17  2021-02-18    35
18  2021-02-19     9
19  2021-02-20    20
20  2021-02-21    39
21  2021-02-22    27
22  2021-02-23    22
23  2021-02-24     2
24  2021-02-25     4
25  2021-02-26    17
26  2021-02-27     9
27  2021-02-28    12
28  2021-03-01     4
29  2021-03-02    17
30  2021-03-03    12
31  2021-03-04    12
32  2021-03-05    22
33  2021-03-06    15
34  2021-03-07     4
35  2021-03-08    27
36  2021-03-09    85
37  2021-03-10    52
38  2021-03-11    47
39  2021-03-12    44
40  2021-03-13    15
41  2021-03-14    25
42  2021-03-15    37
43  2021-03-16    22
44  2021-03-17    42
45  2021-03-18    85
46  2021-03-19    35
47  2021-03-20    77
48  2021-03-21    60
49  2021-03-22    79
50  2021-03-23    85
51  2021-03-24    44
52  2021-03-25   110
53  2021-03-26    20
54  2021-03-27    52
55  2021-03-28     9
56  2021-03-29   180
57  2021-03-30    79
58  2021-03-31    82
59  2021-04-01    32
60  2021-04-02    25
61  2021-04-03    17
62  2021-04-04    25
63  2021-04-05    20
64  2021-04-06    30
65  2021-04-07     9
66  2021-04-08    32
67  2021-04-09    44
68  2021-04-10    39
69  2021-04-11    35
70  2021-04-12    30
71  2021-04-13    25
72  2021-04-14    25
73  2021-04-15    27
74  2021-04-16     9
75  2021-04-17    20
76  2021-04-18    25
77  2021-04-19    39
78  2021-04-20    20
79  2021-04-21    27
80  2021-04-22     9
81  2021-04-23     2
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26    22
85  2021-04-27    44
86  2021-04-28   114
87  2021-04-29    57
88  2021-04-30   122
89  2021-05-01    74
90  2021-05-02    39
91  2021-05-03   109
92  2021-05-04   127
93  2021-05-05    12
94  2021-05-06     4
95  2021-05-07     7
96  2021-05-08     9
97  2021-05-09     9
98  2021-05-10     7
99  2021-05-11     4
100 2021-05-12     2
101 2021-05-13     7
102 2021-05-14    32
103 2021-05-15   960
104 2021-05-16     4
105 2021-05-17    15
106 2021-05-18    12
107 2021-05-19     7
108 2021-05-20   367
109 2021-05-21    42
110 2021-05-22   117
111 2021-05-23   245
112 2021-05-24   184
113 2021-05-25   124
114 2021-05-26    89
115 2021-05-27    70
116 2021-05-28   107
117 2021-05-29   109
118 2021-05-30    77
119 2021-05-31    37
120 2021-06-01    17
121 2021-06-02    22
122 2021-06-03    30
123 2021-06-04    27
124 2021-06-05    67
125 2021-06-06    47
126 2021-06-07   424
127 2021-06-08  1619
128 2021-06-09   679
129 2021-06-10   285
130 2021-06-11  3632
131 2021-06-12   492
132 2021-06-13   294
133 2021-06-14   267
134 2021-06-15   204
135 2021-06-16   212
136 2021-06-17   130
137 2021-06-18   192
138 2021-06-19   282
139 2021-06-20   312
140 2021-06-21   172
141 2021-06-22   147
142 2021-06-23   182
143 2021-06-24   307
144 2021-06-25   122
145 2021-06-26   127
146 2021-06-27    60
147 2021-06-28    42
148 2021-06-29    27
149 2021-06-30    85
150 2021-07-01   145
151 2021-07-02   424
152 2021-07-03   642
153 2021-07-04   580
154 2021-07-05   369
155 2021-07-06   252
156 2021-07-07   147
157 2021-07-08   114
158 2021-07-09   105
159 2021-07-10   127
160 2021-07-11   157
161 2021-07-12   122
162 2021-07-13   142
163 2021-07-14    77
164 2021-07-15    57
