          date   data
0   2021-02-01    119
1   2021-02-02    655
2   2021-02-03    512
3   2021-02-04    130
4   2021-02-05     65
5   2021-02-06     20
6   2021-02-07      2
7   2021-02-08      7
8   2021-02-09    109
9   2021-02-10    320
10  2021-02-11    362
11  2021-02-12    242
12  2021-02-13     87
13  2021-02-14     30
14  2021-02-15     27
15  2021-02-16      4
16  2021-02-17     49
17  2021-02-18    202
18  2021-02-19    222
19  2021-02-20    390
20  2021-02-21    377
21  2021-02-22    307
22  2021-02-23    182
23  2021-02-24    100
24  2021-02-25     60
25  2021-02-26     42
26  2021-02-27    114
27  2021-02-28     67
28  2021-03-01    119
29  2021-03-02    157
30  2021-03-03    154
31  2021-03-04    202
32  2021-03-05    184
33  2021-03-06    102
34  2021-03-07    204
35  2021-03-08    162
36  2021-03-09    275
37  2021-03-10    734
38  2021-03-11    559
39  2021-03-12    347
40  2021-03-13    304
41  2021-03-14    514
42  2021-03-15    247
43  2021-03-16    262
44  2021-03-17    632
45  2021-03-18    879
46  2021-03-19    804
47  2021-03-20    674
48  2021-03-21    645
49  2021-03-22    522
50  2021-03-23    717
51  2021-03-24    329
52  2021-03-25    700
53  2021-03-26    369
54  2021-03-27    519
55  2021-03-28    312
56  2021-03-29    467
57  2021-03-30    187
58  2021-03-31    467
59  2021-04-01    402
60  2021-04-02    337
61  2021-04-03    262
62  2021-04-04    184
63  2021-04-05    444
64  2021-04-06    310
65  2021-04-07    187
66  2021-04-08    117
67  2021-04-09    575
68  2021-04-10    379
69  2021-04-11    502
70  2021-04-12    400
71  2021-04-13    292
72  2021-04-14    219
73  2021-04-15    145
74  2021-04-16    189
75  2021-04-17    325
76  2021-04-18    239
77  2021-04-19    377
78  2021-04-20    287
79  2021-04-21    165
80  2021-04-22     97
81  2021-04-23     25
82  2021-04-24      7
83  2021-04-25     22
84  2021-04-26    147
85  2021-04-27    532
86  2021-04-28    790
87  2021-04-29    545
88  2021-04-30   1144
89  2021-05-01    517
90  2021-05-02    422
91  2021-05-03    582
92  2021-05-04   1187
93  2021-05-05     60
94  2021-05-06     20
95  2021-05-07     27
96  2021-05-08     55
97  2021-05-09     85
98  2021-05-10     49
99  2021-05-11     22
100 2021-05-12     20
101 2021-05-13     57
102 2021-05-14    382
103 2021-05-15   8947
104 2021-05-16     62
105 2021-05-17     47
106 2021-05-18     79
107 2021-05-19    170
108 2021-05-20   3814
109 2021-05-21    677
110 2021-05-22    794
111 2021-05-23   1839
112 2021-05-24   1939
113 2021-05-25    964
114 2021-05-26    657
115 2021-05-27    787
116 2021-05-28    624
117 2021-05-29    664
118 2021-05-30    502
119 2021-05-31    407
120 2021-06-01    177
121 2021-06-02    172
122 2021-06-03    202
123 2021-06-04    252
124 2021-06-05    624
125 2021-06-06    592
126 2021-06-07   2539
127 2021-06-08   9942
128 2021-06-09   4217
129 2021-06-10   1925
130 2021-06-11  26007
131 2021-06-12   3197
132 2021-06-13   1860
133 2021-06-14   1759
134 2021-06-15   1399
135 2021-06-16   1942
136 2021-06-17   1179
137 2021-06-18   1657
138 2021-06-19   2569
139 2021-06-20   2367
140 2021-06-21   1512
141 2021-06-22   1179
142 2021-06-23   1387
143 2021-06-24   2295
144 2021-06-25   1197
145 2021-06-26    942
146 2021-06-27    530
147 2021-06-28    467
148 2021-06-29    385
149 2021-06-30    790
150 2021-07-01   1242
151 2021-07-02   3275
152 2021-07-03   4687
153 2021-07-04   4759
154 2021-07-05   2732
155 2021-07-06   2412
156 2021-07-07   1190
157 2021-07-08   1042
158 2021-07-09   1407
159 2021-07-10    929
160 2021-07-11   1157
161 2021-07-12   1107
162 2021-07-13    797
163 2021-07-14    565
164 2021-07-15    540
