          date  data
0   2021-02-01    15
1   2021-02-02    77
2   2021-02-03    87
3   2021-02-04    30
4   2021-02-05    12
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     7
8   2021-02-09    12
9   2021-02-10    89
10  2021-02-11    72
11  2021-02-12    49
12  2021-02-13    30
13  2021-02-14    15
14  2021-02-15    20
15  2021-02-16     7
16  2021-02-17    25
17  2021-02-18    47
18  2021-02-19    47
19  2021-02-20    49
20  2021-02-21    62
21  2021-02-22    52
22  2021-02-23    27
23  2021-02-24    12
24  2021-02-25     7
25  2021-02-26     7
26  2021-02-27    17
27  2021-02-28    17
28  2021-03-01    15
29  2021-03-02    20
30  2021-03-03    17
31  2021-03-04    20
32  2021-03-05    27
33  2021-03-06    15
34  2021-03-07    37
35  2021-03-08    27
36  2021-03-09    79
37  2021-03-10    67
38  2021-03-11    65
39  2021-03-12    57
40  2021-03-13    49
41  2021-03-14    65
42  2021-03-15    32
43  2021-03-16    25
44  2021-03-17    67
45  2021-03-18   109
46  2021-03-19    65
47  2021-03-20    70
48  2021-03-21   122
49  2021-03-22    89
50  2021-03-23    92
51  2021-03-24    37
52  2021-03-25    88
53  2021-03-26    62
54  2021-03-27    47
55  2021-03-28    44
56  2021-03-29   215
57  2021-03-30   132
58  2021-03-31   112
59  2021-04-01    65
60  2021-04-02    15
61  2021-04-03     2
62  2021-04-04    47
63  2021-04-05    65
64  2021-04-06    47
65  2021-04-07    25
66  2021-04-08     9
67  2021-04-09    74
68  2021-04-10    72
69  2021-04-11    65
70  2021-04-12    47
71  2021-04-13    52
72  2021-04-14    22
73  2021-04-15    12
74  2021-04-16    32
75  2021-04-17    37
76  2021-04-18    35
77  2021-04-19    39
78  2021-04-20    42
79  2021-04-21    15
80  2021-04-22    22
81  2021-04-23     4
82  2021-04-24     2
83  2021-04-25     4
84  2021-04-26    12
85  2021-04-27   100
86  2021-04-28    89
87  2021-04-29   102
88  2021-04-30   199
89  2021-05-01    95
90  2021-05-02    95
91  2021-05-03   109
92  2021-05-04   210
93  2021-05-05    12
94  2021-05-06     7
95  2021-05-07     9
96  2021-05-08     4
97  2021-05-09    32
98  2021-05-10     2
99  2021-05-11     4
100 2021-05-12     2
101 2021-05-13     7
102 2021-05-14    42
103 2021-05-15  1254
104 2021-05-16    17
105 2021-05-17    15
106 2021-05-18     7
107 2021-05-19    27
108 2021-05-20   467
109 2021-05-21   107
110 2021-05-22   114
111 2021-05-23   334
112 2021-05-24   327
113 2021-05-25   152
114 2021-05-26   119
115 2021-05-27   127
116 2021-05-28   114
117 2021-05-29   154
118 2021-05-30    95
119 2021-05-31    52
120 2021-06-01    20
121 2021-06-02    25
122 2021-06-03    35
123 2021-06-04    42
124 2021-06-05   149
125 2021-06-06   109
126 2021-06-07   604
127 2021-06-08  2007
128 2021-06-09   900
129 2021-06-10   382
130 2021-06-11  4829
131 2021-06-12   615
132 2021-06-13   387
133 2021-06-14   320
134 2021-06-15   275
135 2021-06-16   350
136 2021-06-17   175
137 2021-06-18   269
138 2021-06-19   377
139 2021-06-20   362
140 2021-06-21   202
141 2021-06-22   182
142 2021-06-23   184
143 2021-06-24   374
144 2021-06-25   217
145 2021-06-26   145
146 2021-06-27    67
147 2021-06-28    77
148 2021-06-29    47
149 2021-06-30   124
150 2021-07-01   222
151 2021-07-02   512
152 2021-07-03   739
153 2021-07-04   860
154 2021-07-05   432
155 2021-07-06   367
156 2021-07-07   135
157 2021-07-08   152
158 2021-07-09   262
159 2021-07-10   170
160 2021-07-11   184
161 2021-07-12   147
162 2021-07-13   112
163 2021-07-14    70
164 2021-07-15    95
