          date  data
0   2021-02-01    27
1   2021-02-02    25
2   2021-02-03    25
3   2021-02-04    18
4   2021-02-05     4
5   2021-02-06     4
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    12
9   2021-02-10    15
10  2021-02-11    35
11  2021-02-12    12
12  2021-02-13     7
13  2021-02-14     0
14  2021-02-15     7
15  2021-02-16     2
16  2021-02-17    17
17  2021-02-18    17
18  2021-02-19    17
19  2021-02-20     9
20  2021-02-21    37
21  2021-02-22    20
22  2021-02-23    17
23  2021-02-24     7
24  2021-02-25     2
25  2021-02-26     2
26  2021-02-27     4
27  2021-02-28     4
28  2021-03-01    12
29  2021-03-02     9
30  2021-03-03     9
31  2021-03-04     2
32  2021-03-05    12
33  2021-03-06     0
34  2021-03-07    30
35  2021-03-08    17
36  2021-03-09    35
37  2021-03-10    52
38  2021-03-11    22
39  2021-03-12    17
40  2021-03-13    27
41  2021-03-14    17
42  2021-03-15    20
43  2021-03-16    12
44  2021-03-17    39
45  2021-03-18    55
46  2021-03-19    20
47  2021-03-20    35
48  2021-03-21    65
49  2021-03-22    39
50  2021-03-23    47
51  2021-03-24    12
52  2021-03-25    34
53  2021-03-26    27
54  2021-03-27    22
55  2021-03-28    20
56  2021-03-29   117
57  2021-03-30    57
58  2021-03-31    57
59  2021-04-01    32
60  2021-04-02     4
61  2021-04-03    20
62  2021-04-04     7
63  2021-04-05    22
64  2021-04-06    32
65  2021-04-07     7
66  2021-04-08     7
67  2021-04-09    37
68  2021-04-10    30
69  2021-04-11    35
70  2021-04-12    42
71  2021-04-13    15
72  2021-04-14     9
73  2021-04-15     7
74  2021-04-16    12
75  2021-04-17    27
76  2021-04-18    17
77  2021-04-19    22
78  2021-04-20    17
79  2021-04-21     0
80  2021-04-22     9
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26     7
85  2021-04-27    44
86  2021-04-28    74
87  2021-04-29    25
88  2021-04-30    82
89  2021-05-01    37
90  2021-05-02    67
91  2021-05-03    57
92  2021-05-04   124
93  2021-05-05     0
94  2021-05-06     0
95  2021-05-07     2
96  2021-05-08    12
97  2021-05-09     7
98  2021-05-10     0
99  2021-05-11     2
100 2021-05-12     2
101 2021-05-13    17
102 2021-05-14     4
103 2021-05-15   437
104 2021-05-16     0
105 2021-05-17     9
106 2021-05-18     0
107 2021-05-19     2
108 2021-05-20   187
109 2021-05-21    32
110 2021-05-22    52
111 2021-05-23   159
112 2021-05-24   180
113 2021-05-25    89
114 2021-05-26    47
115 2021-05-27    47
116 2021-05-28    32
117 2021-05-29    74
118 2021-05-30    30
119 2021-05-31    17
120 2021-06-01    15
121 2021-06-02    12
122 2021-06-03     9
123 2021-06-04    25
124 2021-06-05    74
125 2021-06-06    55
126 2021-06-07   372
127 2021-06-08  1340
128 2021-06-09   519
129 2021-06-10   237
130 2021-06-11  2287
131 2021-06-12   297
132 2021-06-13   227
133 2021-06-14   184
134 2021-06-15   132
135 2021-06-16   145
136 2021-06-17    89
137 2021-06-18   159
138 2021-06-19   180
139 2021-06-20   194
140 2021-06-21   145
141 2021-06-22    72
142 2021-06-23   122
143 2021-06-24   227
144 2021-06-25    89
145 2021-06-26    82
146 2021-06-27    39
147 2021-06-28    30
148 2021-06-29    25
149 2021-06-30    67
150 2021-07-01    97
151 2021-07-02   259
152 2021-07-03   477
153 2021-07-04   479
154 2021-07-05   252
155 2021-07-06   177
156 2021-07-07   102
157 2021-07-08    77
158 2021-07-09   117
159 2021-07-10    92
160 2021-07-11    97
161 2021-07-12    89
162 2021-07-13    70
163 2021-07-14    67
164 2021-07-15    55
