          date  data
0   2021-02-01    25
1   2021-02-02    52
2   2021-02-03    37
3   2021-02-04     0
4   2021-02-05    15
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     2
8   2021-02-09    20
9   2021-02-10    47
10  2021-02-11    72
11  2021-02-12    32
12  2021-02-13    12
13  2021-02-14     4
14  2021-02-15     7
15  2021-02-16     0
16  2021-02-17     7
17  2021-02-18    39
18  2021-02-19    25
19  2021-02-20    25
20  2021-02-21    52
21  2021-02-22    44
22  2021-02-23    32
23  2021-02-24    22
24  2021-02-25     4
25  2021-02-26    15
26  2021-02-27     9
27  2021-02-28    22
28  2021-03-01    17
29  2021-03-02     4
30  2021-03-03    17
31  2021-03-04    17
32  2021-03-05    17
33  2021-03-06     7
34  2021-03-07    17
35  2021-03-08    17
36  2021-03-09    37
37  2021-03-10    79
38  2021-03-11    49
39  2021-03-12    35
40  2021-03-13    35
41  2021-03-14    44
42  2021-03-15    25
43  2021-03-16    27
44  2021-03-17    47
45  2021-03-18    72
46  2021-03-19    60
47  2021-03-20    72
48  2021-03-21    57
49  2021-03-22    42
50  2021-03-23    74
51  2021-03-24    47
52  2021-03-25    88
53  2021-03-26    62
54  2021-03-27    72
55  2021-03-28    39
56  2021-03-29   192
57  2021-03-30   107
58  2021-03-31   119
59  2021-04-01    77
60  2021-04-02    27
61  2021-04-03    30
62  2021-04-04    27
63  2021-04-05    60
64  2021-04-06    62
65  2021-04-07    20
66  2021-04-08    27
67  2021-04-09    77
68  2021-04-10    42
69  2021-04-11    39
70  2021-04-12    57
71  2021-04-13    42
72  2021-04-14    15
73  2021-04-15     9
74  2021-04-16    15
75  2021-04-17    37
76  2021-04-18    27
77  2021-04-19    42
78  2021-04-20    52
79  2021-04-21    32
80  2021-04-22    20
81  2021-04-23     9
82  2021-04-24     4
83  2021-04-25     0
84  2021-04-26    15
85  2021-04-27   127
86  2021-04-28   109
87  2021-04-29    72
88  2021-04-30   182
89  2021-05-01    89
90  2021-05-02   109
91  2021-05-03    95
92  2021-05-04   210
93  2021-05-05     4
94  2021-05-06     7
95  2021-05-07     0
96  2021-05-08    12
97  2021-05-09    12
98  2021-05-10     0
99  2021-05-11     2
100 2021-05-12     0
101 2021-05-13     0
102 2021-05-14    35
103 2021-05-15   992
104 2021-05-16    12
105 2021-05-17    12
106 2021-05-18     7
107 2021-05-19    20
108 2021-05-20   409
109 2021-05-21    92
110 2021-05-22    85
111 2021-05-23   299
112 2021-05-24   345
113 2021-05-25   157
114 2021-05-26    95
115 2021-05-27   127
116 2021-05-28   137
117 2021-05-29   172
118 2021-05-30   100
119 2021-05-31    47
120 2021-06-01    35
121 2021-06-02    62
122 2021-06-03    37
123 2021-06-04    47
124 2021-06-05   157
125 2021-06-06   132
126 2021-06-07   817
127 2021-06-08  2667
128 2021-06-09   980
129 2021-06-10   407
130 2021-06-11  4640
131 2021-06-12   690
132 2021-06-13   407
133 2021-06-14   352
134 2021-06-15   224
135 2021-06-16   357
136 2021-06-17   232
137 2021-06-18   262
138 2021-06-19   362
139 2021-06-20   347
140 2021-06-21   262
141 2021-06-22   175
142 2021-06-23   219
143 2021-06-24   407
144 2021-06-25   192
145 2021-06-26   157
146 2021-06-27    52
147 2021-06-28    44
148 2021-06-29    37
149 2021-06-30   102
150 2021-07-01   212
151 2021-07-02   522
152 2021-07-03   787
153 2021-07-04   937
154 2021-07-05   540
155 2021-07-06   387
156 2021-07-07   192
157 2021-07-08   235
158 2021-07-09   280
159 2021-07-10   177
160 2021-07-11   199
161 2021-07-12   165
162 2021-07-13   149
163 2021-07-14    97
164 2021-07-15    82
