          date data
0   2021-02-01    9
1   2021-02-02    2
2   2021-02-03    9
3   2021-02-04    0
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    0
9   2021-02-10    4
10  2021-02-11    2
11  2021-02-12    2
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18    2
18  2021-02-19    2
19  2021-02-20    0
20  2021-02-21    2
21  2021-02-22    2
22  2021-02-23    0
23  2021-02-24    0
24  2021-02-25    2
25  2021-02-26    0
26  2021-02-27    0
27  2021-02-28    0
28  2021-03-01    0
29  2021-03-02    0
30  2021-03-03    2
31  2021-03-04    4
32  2021-03-05    2
33  2021-03-06    2
34  2021-03-07    0
35  2021-03-08    7
36  2021-03-09    7
37  2021-03-10   12
38  2021-03-11    0
39  2021-03-12    9
40  2021-03-13    9
41  2021-03-14    2
42  2021-03-15    2
43  2021-03-16   12
44  2021-03-17    7
45  2021-03-18    9
46  2021-03-19   15
47  2021-03-20   25
48  2021-03-21    7
49  2021-03-22    9
50  2021-03-23    9
51  2021-03-24    2
52  2021-03-25    0
53  2021-03-26    2
54  2021-03-27    9
55  2021-03-28    2
56  2021-03-29   17
57  2021-03-30   27
58  2021-03-31   15
59  2021-04-01    4
60  2021-04-02    7
61  2021-04-03    4
62  2021-04-04    4
63  2021-04-05   15
64  2021-04-06    2
65  2021-04-07    0
66  2021-04-08    0
67  2021-04-09    4
68  2021-04-10    2
69  2021-04-11    0
70  2021-04-12    7
71  2021-04-13    7
72  2021-04-14    2
73  2021-04-15    0
74  2021-04-16    4
75  2021-04-17    0
76  2021-04-18    2
77  2021-04-19    4
78  2021-04-20    0
79  2021-04-21    0
80  2021-04-22    4
81  2021-04-23    0
82  2021-04-24    2
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27    9
86  2021-04-28   12
87  2021-04-29   17
88  2021-04-30    7
89  2021-05-01    7
90  2021-05-02    9
91  2021-05-03   15
92  2021-05-04   30
93  2021-05-05    2
94  2021-05-06    0
95  2021-05-07    2
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    2
102 2021-05-14    2
103 2021-05-15  182
104 2021-05-16    2
105 2021-05-17    0
106 2021-05-18    2
107 2021-05-19    2
108 2021-05-20   62
109 2021-05-21   12
110 2021-05-22   12
111 2021-05-23   49
112 2021-05-24   32
113 2021-05-25   12
114 2021-05-26    4
115 2021-05-27    2
116 2021-05-28   27
117 2021-05-29   39
118 2021-05-30   15
119 2021-05-31    2
120 2021-06-01    2
121 2021-06-02    4
122 2021-06-03    7
123 2021-06-04    9
124 2021-06-05   27
125 2021-06-06   30
126 2021-06-07  102
127 2021-06-08  365
128 2021-06-09  180
129 2021-06-10   77
130 2021-06-11  629
131 2021-06-12  130
132 2021-06-13  100
133 2021-06-14   82
134 2021-06-15   37
135 2021-06-16   44
136 2021-06-17   20
137 2021-06-18   52
138 2021-06-19   52
139 2021-06-20   62
140 2021-06-21   27
141 2021-06-22   15
142 2021-06-23   20
143 2021-06-24   85
144 2021-06-25   47
145 2021-06-26    7
146 2021-06-27    0
147 2021-06-28    9
148 2021-06-29   12
149 2021-06-30   20
150 2021-07-01   35
151 2021-07-02   70
152 2021-07-03  117
153 2021-07-04  202
154 2021-07-05   79
155 2021-07-06   57
156 2021-07-07   15
157 2021-07-08   15
158 2021-07-09   49
159 2021-07-10   15
160 2021-07-11   20
161 2021-07-12   25
162 2021-07-13   30
163 2021-07-14   15
164 2021-07-15    7
