          date  data
0   2021-02-01    30
1   2021-02-02    20
2   2021-02-03    20
3   2021-02-04     0
4   2021-02-05     9
5   2021-02-06     7
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09    12
9   2021-02-10    27
10  2021-02-11    44
11  2021-02-12    25
12  2021-02-13    15
13  2021-02-14     9
14  2021-02-15     0
15  2021-02-16     2
16  2021-02-17     7
17  2021-02-18    15
18  2021-02-19    32
19  2021-02-20    30
20  2021-02-21    20
21  2021-02-22    17
22  2021-02-23     4
23  2021-02-24     4
24  2021-02-25     4
25  2021-02-26     2
26  2021-02-27    12
27  2021-02-28     4
28  2021-03-01    12
29  2021-03-02    15
30  2021-03-03    17
31  2021-03-04     4
32  2021-03-05     4
33  2021-03-06     7
34  2021-03-07    15
35  2021-03-08     9
36  2021-03-09    39
37  2021-03-10    37
38  2021-03-11    49
39  2021-03-12    22
40  2021-03-13     9
41  2021-03-14    25
42  2021-03-15    22
43  2021-03-16    20
44  2021-03-17    37
45  2021-03-18    55
46  2021-03-19    35
47  2021-03-20    65
48  2021-03-21    62
49  2021-03-22    22
50  2021-03-23    37
51  2021-03-24    20
52  2021-03-25    60
53  2021-03-26    37
54  2021-03-27    32
55  2021-03-28    27
56  2021-03-29   130
57  2021-03-30    77
58  2021-03-31    70
59  2021-04-01    32
60  2021-04-02    22
61  2021-04-03    12
62  2021-04-04    20
63  2021-04-05    47
64  2021-04-06    22
65  2021-04-07     7
66  2021-04-08     7
67  2021-04-09    32
68  2021-04-10    39
69  2021-04-11     7
70  2021-04-12    44
71  2021-04-13    37
72  2021-04-14     9
73  2021-04-15    15
74  2021-04-16     4
75  2021-04-17    17
76  2021-04-18     7
77  2021-04-19     4
78  2021-04-20    15
79  2021-04-21     4
80  2021-04-22     9
81  2021-04-23     0
82  2021-04-24     2
83  2021-04-25     0
84  2021-04-26    22
85  2021-04-27    87
86  2021-04-28    55
87  2021-04-29    65
88  2021-04-30   124
89  2021-05-01    77
90  2021-05-02    52
91  2021-05-03    67
92  2021-05-04    82
93  2021-05-05     2
94  2021-05-06     0
95  2021-05-07     4
96  2021-05-08     9
97  2021-05-09     4
98  2021-05-10    15
99  2021-05-11     0
100 2021-05-12     2
101 2021-05-13     0
102 2021-05-14    32
103 2021-05-15   489
104 2021-05-16     4
105 2021-05-17     2
106 2021-05-18     2
107 2021-05-19     2
108 2021-05-20   199
109 2021-05-21    44
110 2021-05-22    47
111 2021-05-23   137
112 2021-05-24   127
113 2021-05-25    97
114 2021-05-26    52
115 2021-05-27    35
116 2021-05-28    87
117 2021-05-29    85
118 2021-05-30    55
119 2021-05-31    47
120 2021-06-01    17
121 2021-06-02    32
122 2021-06-03    15
123 2021-06-04    27
124 2021-06-05    52
125 2021-06-06    44
126 2021-06-07   452
127 2021-06-08  1622
128 2021-06-09   659
129 2021-06-10   292
130 2021-06-11  2714
131 2021-06-12   365
132 2021-06-13   217
133 2021-06-14   242
134 2021-06-15   154
135 2021-06-16   152
136 2021-06-17    87
137 2021-06-18   130
138 2021-06-19   202
139 2021-06-20   262
140 2021-06-21   157
141 2021-06-22   124
142 2021-06-23   127
143 2021-06-24   255
144 2021-06-25   137
145 2021-06-26   105
146 2021-06-27    30
147 2021-06-28    15
148 2021-06-29    12
149 2021-06-30    70
150 2021-07-01   124
151 2021-07-02   247
152 2021-07-03   492
153 2021-07-04   460
154 2021-07-05   304
155 2021-07-06   137
156 2021-07-07    92
157 2021-07-08   102
158 2021-07-09   157
159 2021-07-10   132
160 2021-07-11   127
161 2021-07-12   102
162 2021-07-13    79
163 2021-07-14    60
164 2021-07-15    37
