          date data
0   2021-02-01    7
1   2021-02-02    7
2   2021-02-03    2
3   2021-02-04    0
4   2021-02-05    0
5   2021-02-06    4
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10   12
10  2021-02-11    7
11  2021-02-12   22
12  2021-02-13    2
13  2021-02-14    0
14  2021-02-15    2
15  2021-02-16    2
16  2021-02-17    4
17  2021-02-18    4
18  2021-02-19    0
19  2021-02-20    9
20  2021-02-21    0
21  2021-02-22    4
22  2021-02-23    0
23  2021-02-24    2
24  2021-02-25    2
25  2021-02-26    2
26  2021-02-27    7
27  2021-02-28    2
28  2021-03-01    2
29  2021-03-02    2
30  2021-03-03    4
31  2021-03-04    4
32  2021-03-05    4
33  2021-03-06    0
34  2021-03-07    2
35  2021-03-08    2
36  2021-03-09   12
37  2021-03-10   12
38  2021-03-11   39
39  2021-03-12    2
40  2021-03-13    7
41  2021-03-14    4
42  2021-03-15   15
43  2021-03-16    2
44  2021-03-17   17
45  2021-03-18   12
46  2021-03-19    2
47  2021-03-20   12
48  2021-03-21   17
49  2021-03-22   20
50  2021-03-23   25
51  2021-03-24    0
52  2021-03-25   24
53  2021-03-26    9
54  2021-03-27    4
55  2021-03-28    9
56  2021-03-29   30
57  2021-03-30   20
58  2021-03-31   32
59  2021-04-01   15
60  2021-04-02    4
61  2021-04-03    9
62  2021-04-04    4
63  2021-04-05   12
64  2021-04-06   17
65  2021-04-07    2
66  2021-04-08    0
67  2021-04-09   12
68  2021-04-10    4
69  2021-04-11   20
70  2021-04-12    9
71  2021-04-13    7
72  2021-04-14    0
73  2021-04-15    4
74  2021-04-16    2
75  2021-04-17    9
76  2021-04-18    0
77  2021-04-19   17
78  2021-04-20    7
79  2021-04-21    2
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    2
83  2021-04-25    0
84  2021-04-26    9
85  2021-04-27   12
86  2021-04-28    9
87  2021-04-29   30
88  2021-04-30   30
89  2021-05-01   39
90  2021-05-02   17
91  2021-05-03   20
92  2021-05-04   39
93  2021-05-05    4
94  2021-05-06    2
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    2
98  2021-05-10    2
99  2021-05-11    9
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    7
103 2021-05-15  189
104 2021-05-16    2
105 2021-05-17    2
106 2021-05-18    0
107 2021-05-19    2
108 2021-05-20   42
109 2021-05-21    2
110 2021-05-22    0
111 2021-05-23   60
112 2021-05-24   55
113 2021-05-25   25
114 2021-05-26   27
115 2021-05-27   15
116 2021-05-28   15
117 2021-05-29   44
118 2021-05-30   37
119 2021-05-31    7
120 2021-06-01   12
121 2021-06-02    2
122 2021-06-03    2
123 2021-06-04    9
124 2021-06-05   12
125 2021-06-06   17
126 2021-06-07  172
127 2021-06-08  664
128 2021-06-09  204
129 2021-06-10  107
130 2021-06-11  769
131 2021-06-12  145
132 2021-06-13  147
133 2021-06-14  100
134 2021-06-15   44
135 2021-06-16   65
136 2021-06-17   35
137 2021-06-18   57
138 2021-06-19   57
139 2021-06-20  102
140 2021-06-21   57
141 2021-06-22   47
142 2021-06-23   72
143 2021-06-24  100
144 2021-06-25   25
145 2021-06-26   47
146 2021-06-27   12
147 2021-06-28   25
148 2021-06-29    7
149 2021-06-30   30
150 2021-07-01   52
151 2021-07-02   89
152 2021-07-03  177
153 2021-07-04  212
154 2021-07-05  130
155 2021-07-06   44
156 2021-07-07   42
157 2021-07-08   35
158 2021-07-09   65
159 2021-07-10   39
160 2021-07-11   30
161 2021-07-12   49
162 2021-07-13   39
163 2021-07-14   12
164 2021-07-15   37
