          date  data
0   2021-02-01     9
1   2021-02-02    32
2   2021-02-03    25
3   2021-02-04     4
4   2021-02-05     4
5   2021-02-06     0
6   2021-02-07     7
7   2021-02-08     0
8   2021-02-09     4
9   2021-02-10    32
10  2021-02-11    49
11  2021-02-12    22
12  2021-02-13     7
13  2021-02-14     7
14  2021-02-15     9
15  2021-02-16     0
16  2021-02-17    32
17  2021-02-18    22
18  2021-02-19    17
19  2021-02-20    15
20  2021-02-21    42
21  2021-02-22    30
22  2021-02-23    15
23  2021-02-24     9
24  2021-02-25     4
25  2021-02-26     7
26  2021-02-27    15
27  2021-02-28     9
28  2021-03-01     9
29  2021-03-02     7
30  2021-03-03     2
31  2021-03-04    15
32  2021-03-05     0
33  2021-03-06     7
34  2021-03-07    22
35  2021-03-08    12
36  2021-03-09    22
37  2021-03-10    85
38  2021-03-11    37
39  2021-03-12    35
40  2021-03-13    12
41  2021-03-14    70
42  2021-03-15    17
43  2021-03-16    17
44  2021-03-17    55
45  2021-03-18    74
46  2021-03-19    30
47  2021-03-20    57
48  2021-03-21    47
49  2021-03-22    57
50  2021-03-23    57
51  2021-03-24    22
52  2021-03-25    54
53  2021-03-26    57
54  2021-03-27    42
55  2021-03-28    27
56  2021-03-29   107
57  2021-03-30    49
58  2021-03-31    67
59  2021-04-01    44
60  2021-04-02    25
61  2021-04-03    20
62  2021-04-04    32
63  2021-04-05    37
64  2021-04-06    17
65  2021-04-07     4
66  2021-04-08    12
67  2021-04-09    44
68  2021-04-10    22
69  2021-04-11    25
70  2021-04-12    32
71  2021-04-13    25
72  2021-04-14     9
73  2021-04-15    15
74  2021-04-16     9
75  2021-04-17    15
76  2021-04-18     2
77  2021-04-19    25
78  2021-04-20     2
79  2021-04-21     9
80  2021-04-22     4
81  2021-04-23     0
82  2021-04-24     0
83  2021-04-25     0
84  2021-04-26     9
85  2021-04-27    62
86  2021-04-28    62
87  2021-04-29    62
88  2021-04-30   112
89  2021-05-01    35
90  2021-05-02    35
91  2021-05-03    52
92  2021-05-04   135
93  2021-05-05     4
94  2021-05-06     4
95  2021-05-07     4
96  2021-05-08     4
97  2021-05-09     9
98  2021-05-10     9
99  2021-05-11     0
100 2021-05-12     4
101 2021-05-13     4
102 2021-05-14    42
103 2021-05-15   647
104 2021-05-16     2
105 2021-05-17     9
106 2021-05-18     9
107 2021-05-19     2
108 2021-05-20   189
109 2021-05-21    37
110 2021-05-22    42
111 2021-05-23   162
112 2021-05-24   145
113 2021-05-25    89
114 2021-05-26    55
115 2021-05-27    44
116 2021-05-28    32
117 2021-05-29    89
118 2021-05-30    49
119 2021-05-31    39
120 2021-06-01    12
121 2021-06-02    22
122 2021-06-03    17
123 2021-06-04    20
124 2021-06-05    67
125 2021-06-06    42
126 2021-06-07   255
127 2021-06-08   900
128 2021-06-09   360
129 2021-06-10   149
130 2021-06-11  2212
131 2021-06-12   272
132 2021-06-13   130
133 2021-06-14   182
134 2021-06-15   107
135 2021-06-16   192
136 2021-06-17   112
137 2021-06-18   127
138 2021-06-19   219
139 2021-06-20   197
140 2021-06-21   117
141 2021-06-22   100
142 2021-06-23    77
143 2021-06-24   237
144 2021-06-25    92
145 2021-06-26    65
146 2021-06-27    35
147 2021-06-28    47
148 2021-06-29    30
149 2021-06-30    55
150 2021-07-01    89
151 2021-07-02   347
152 2021-07-03   392
153 2021-07-04   355
154 2021-07-05   224
155 2021-07-06   145
156 2021-07-07    95
157 2021-07-08    77
158 2021-07-09   109
159 2021-07-10   112
160 2021-07-11    92
161 2021-07-12    74
162 2021-07-13    44
163 2021-07-14    37
164 2021-07-15    57
