          date  data
0   2021-02-01    15
1   2021-02-02    15
2   2021-02-03    17
3   2021-02-04     0
4   2021-02-05     4
5   2021-02-06     0
6   2021-02-07     0
7   2021-02-08     0
8   2021-02-09     0
9   2021-02-10     9
10  2021-02-11    15
11  2021-02-12     7
12  2021-02-13     7
13  2021-02-14     0
14  2021-02-15     0
15  2021-02-16     0
16  2021-02-17     9
17  2021-02-18     9
18  2021-02-19     0
19  2021-02-20     4
20  2021-02-21    17
21  2021-02-22     4
22  2021-02-23     4
23  2021-02-24     4
24  2021-02-25     0
25  2021-02-26     7
26  2021-02-27     2
27  2021-02-28     0
28  2021-03-01     0
29  2021-03-02     7
30  2021-03-03     4
31  2021-03-04     4
32  2021-03-05     0
33  2021-03-06     2
34  2021-03-07     4
35  2021-03-08     7
36  2021-03-09     9
37  2021-03-10    12
38  2021-03-11     9
39  2021-03-12    20
40  2021-03-13     7
41  2021-03-14     4
42  2021-03-15    25
43  2021-03-16    15
44  2021-03-17    20
45  2021-03-18    37
46  2021-03-19     4
47  2021-03-20    17
48  2021-03-21    17
49  2021-03-22    15
50  2021-03-23    17
51  2021-03-24    15
52  2021-03-25     8
53  2021-03-26     4
54  2021-03-27    12
55  2021-03-28     9
56  2021-03-29    52
57  2021-03-30    35
58  2021-03-31    52
59  2021-04-01    15
60  2021-04-02    15
61  2021-04-03     4
62  2021-04-04     4
63  2021-04-05    12
64  2021-04-06    20
65  2021-04-07     0
66  2021-04-08     2
67  2021-04-09     9
68  2021-04-10    12
69  2021-04-11    27
70  2021-04-12    12
71  2021-04-13     7
72  2021-04-14     2
73  2021-04-15     2
74  2021-04-16     4
75  2021-04-17     4
76  2021-04-18    12
77  2021-04-19    15
78  2021-04-20     2
79  2021-04-21     2
80  2021-04-22     2
81  2021-04-23     2
82  2021-04-24     0
83  2021-04-25     2
84  2021-04-26     9
85  2021-04-27    25
86  2021-04-28    30
87  2021-04-29    17
88  2021-04-30    44
89  2021-05-01    35
90  2021-05-02    17
91  2021-05-03    32
92  2021-05-04    57
93  2021-05-05     0
94  2021-05-06     0
95  2021-05-07     4
96  2021-05-08     2
97  2021-05-09     2
98  2021-05-10     2
99  2021-05-11     0
100 2021-05-12     0
101 2021-05-13     2
102 2021-05-14     7
103 2021-05-15   287
104 2021-05-16     2
105 2021-05-17     4
106 2021-05-18     9
107 2021-05-19     4
108 2021-05-20   102
109 2021-05-21    27
110 2021-05-22    20
111 2021-05-23   102
112 2021-05-24    92
113 2021-05-25    32
114 2021-05-26    20
115 2021-05-27    39
116 2021-05-28    39
117 2021-05-29    44
118 2021-05-30    15
119 2021-05-31     9
120 2021-06-01     4
121 2021-06-02     7
122 2021-06-03    17
123 2021-06-04    20
124 2021-06-05    39
125 2021-06-06    22
126 2021-06-07   242
127 2021-06-08   597
128 2021-06-09   239
129 2021-06-10   127
130 2021-06-11  1092
131 2021-06-12   165
132 2021-06-13   117
133 2021-06-14    92
134 2021-06-15    55
135 2021-06-16    65
136 2021-06-17    62
137 2021-06-18    44
138 2021-06-19    79
139 2021-06-20    97
140 2021-06-21    70
141 2021-06-22    57
142 2021-06-23    57
143 2021-06-24   114
144 2021-06-25    20
145 2021-06-26    25
146 2021-06-27    20
147 2021-06-28    12
148 2021-06-29    17
149 2021-06-30    32
150 2021-07-01    42
151 2021-07-02   119
152 2021-07-03   229
153 2021-07-04   212
154 2021-07-05   159
155 2021-07-06    97
156 2021-07-07    62
157 2021-07-08    37
158 2021-07-09    65
159 2021-07-10    35
160 2021-07-11    42
161 2021-07-12    62
162 2021-07-13    57
163 2021-07-14    27
164 2021-07-15    47
