          date data
0   2021-02-01    2
1   2021-02-02    9
2   2021-02-03    2
3   2021-02-04    0
4   2021-02-05    2
5   2021-02-06    2
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    4
9   2021-02-10    7
10  2021-02-11   15
11  2021-02-12    9
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18    2
18  2021-02-19    0
19  2021-02-20    7
20  2021-02-21    4
21  2021-02-22    7
22  2021-02-23    9
23  2021-02-24    2
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    0
27  2021-02-28    0
28  2021-03-01    0
29  2021-03-02    7
30  2021-03-03    4
31  2021-03-04    2
32  2021-03-05    2
33  2021-03-06    0
34  2021-03-07    4
35  2021-03-08    0
36  2021-03-09    7
37  2021-03-10   25
38  2021-03-11    7
39  2021-03-12    9
40  2021-03-13    4
41  2021-03-14    7
42  2021-03-15    4
43  2021-03-16    2
44  2021-03-17    9
45  2021-03-18   30
46  2021-03-19   12
47  2021-03-20   22
48  2021-03-21   15
49  2021-03-22   12
50  2021-03-23   22
51  2021-03-24    2
52  2021-03-25    8
53  2021-03-26    4
54  2021-03-27   25
55  2021-03-28    7
56  2021-03-29   44
57  2021-03-30   30
58  2021-03-31   22
59  2021-04-01   17
60  2021-04-02    2
61  2021-04-03    4
62  2021-04-04    0
63  2021-04-05   15
64  2021-04-06   17
65  2021-04-07    0
66  2021-04-08    2
67  2021-04-09    7
68  2021-04-10   15
69  2021-04-11    7
70  2021-04-12    2
71  2021-04-13    7
72  2021-04-14    4
73  2021-04-15    2
74  2021-04-16   12
75  2021-04-17   15
76  2021-04-18    7
77  2021-04-19    4
78  2021-04-20    2
79  2021-04-21    2
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    2
83  2021-04-25    0
84  2021-04-26    7
85  2021-04-27   35
86  2021-04-28   30
87  2021-04-29   25
88  2021-04-30   62
89  2021-05-01   30
90  2021-05-02   25
91  2021-05-03   17
92  2021-05-04   39
93  2021-05-05    2
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    7
97  2021-05-09    4
98  2021-05-10    2
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14   15
103 2021-05-15  175
104 2021-05-16    7
105 2021-05-17    7
106 2021-05-18    4
107 2021-05-19    0
108 2021-05-20   87
109 2021-05-21   22
110 2021-05-22   15
111 2021-05-23   55
112 2021-05-24   67
113 2021-05-25   25
114 2021-05-26    4
115 2021-05-27   15
116 2021-05-28   30
117 2021-05-29   62
118 2021-05-30   15
119 2021-05-31    9
120 2021-06-01    2
121 2021-06-02    4
122 2021-06-03    2
123 2021-06-04   15
124 2021-06-05   22
125 2021-06-06   22
126 2021-06-07  235
127 2021-06-08  599
128 2021-06-09  294
129 2021-06-10  122
130 2021-06-11  952
131 2021-06-12  159
132 2021-06-13  124
133 2021-06-14  105
134 2021-06-15   47
135 2021-06-16   57
136 2021-06-17   49
137 2021-06-18   65
138 2021-06-19   89
139 2021-06-20   95
140 2021-06-21   52
141 2021-06-22   47
142 2021-06-23   60
143 2021-06-24  100
144 2021-06-25   37
145 2021-06-26   49
146 2021-06-27   17
147 2021-06-28   12
148 2021-06-29    9
149 2021-06-30   32
150 2021-07-01   57
151 2021-07-02  114
152 2021-07-03  245
153 2021-07-04  280
154 2021-07-05  124
155 2021-07-06   97
156 2021-07-07   67
157 2021-07-08   44
158 2021-07-09   74
159 2021-07-10   52
160 2021-07-11   39
161 2021-07-12   52
162 2021-07-13   47
163 2021-07-14   30
164 2021-07-15   57
