          date  data
0   2021-02-01    15
1   2021-02-02    52
2   2021-02-03    49
3   2021-02-04    30
4   2021-02-05     7
5   2021-02-06     0
6   2021-02-07     2
7   2021-02-08     2
8   2021-02-09    15
9   2021-02-10    52
10  2021-02-11    57
11  2021-02-12    39
12  2021-02-13    20
13  2021-02-14     7
14  2021-02-15     4
15  2021-02-16     0
16  2021-02-17     9
17  2021-02-18    17
18  2021-02-19    44
19  2021-02-20    15
20  2021-02-21    37
21  2021-02-22    52
22  2021-02-23    17
23  2021-02-24    12
24  2021-02-25    12
25  2021-02-26    15
26  2021-02-27    25
27  2021-02-28     7
28  2021-03-01    17
29  2021-03-02    25
30  2021-03-03    27
31  2021-03-04     9
32  2021-03-05    17
33  2021-03-06    17
34  2021-03-07     7
35  2021-03-08    32
36  2021-03-09    55
37  2021-03-10   149
38  2021-03-11    70
39  2021-03-12    35
40  2021-03-13    17
41  2021-03-14    60
42  2021-03-15    39
43  2021-03-16    17
44  2021-03-17    82
45  2021-03-18    97
46  2021-03-19    67
47  2021-03-20    79
48  2021-03-21    74
49  2021-03-22    62
50  2021-03-23    65
51  2021-03-24    49
52  2021-03-25   120
53  2021-03-26    72
54  2021-03-27    37
55  2021-03-28    49
56  2021-03-29   189
57  2021-03-30    85
58  2021-03-31    82
59  2021-04-01    52
60  2021-04-02    32
61  2021-04-03    37
62  2021-04-04    17
63  2021-04-05    30
64  2021-04-06    37
65  2021-04-07    25
66  2021-04-08    12
67  2021-04-09    62
68  2021-04-10    35
69  2021-04-11    77
70  2021-04-12    52
71  2021-04-13    30
72  2021-04-14    22
73  2021-04-15    17
74  2021-04-16    20
75  2021-04-17    39
76  2021-04-18    15
77  2021-04-19    22
78  2021-04-20    22
79  2021-04-21    22
80  2021-04-22    17
81  2021-04-23     4
82  2021-04-24     0
83  2021-04-25     2
84  2021-04-26    12
85  2021-04-27    57
86  2021-04-28    95
87  2021-04-29   100
88  2021-04-30   194
89  2021-05-01    79
90  2021-05-02    25
91  2021-05-03    74
92  2021-05-04   147
93  2021-05-05     0
94  2021-05-06     2
95  2021-05-07     0
96  2021-05-08    15
97  2021-05-09    17
98  2021-05-10     4
99  2021-05-11     2
100 2021-05-12     2
101 2021-05-13     4
102 2021-05-14    35
103 2021-05-15  1012
104 2021-05-16     9
105 2021-05-17     2
106 2021-05-18     0
107 2021-05-19    15
108 2021-05-20   304
109 2021-05-21    89
110 2021-05-22   145
111 2021-05-23   229
112 2021-05-24   219
113 2021-05-25   119
114 2021-05-26    47
115 2021-05-27   102
116 2021-05-28   132
117 2021-05-29   105
118 2021-05-30    72
119 2021-05-31    37
120 2021-06-01    30
121 2021-06-02    22
122 2021-06-03    39
123 2021-06-04    27
124 2021-06-05    82
125 2021-06-06    85
126 2021-06-07   345
127 2021-06-08  1302
128 2021-06-09   679
129 2021-06-10   259
130 2021-06-11  2789
131 2021-06-12   415
132 2021-06-13   235
133 2021-06-14   172
134 2021-06-15   132
135 2021-06-16   194
136 2021-06-17   167
137 2021-06-18   177
138 2021-06-19   277
139 2021-06-20   217
140 2021-06-21   177
141 2021-06-22   137
142 2021-06-23   172
143 2021-06-24   294
144 2021-06-25   135
145 2021-06-26    74
146 2021-06-27    32
147 2021-06-28    22
148 2021-06-29    27
149 2021-06-30    37
150 2021-07-01   147
151 2021-07-02   377
152 2021-07-03   474
153 2021-07-04   489
154 2021-07-05   317
155 2021-07-06   267
156 2021-07-07    95
157 2021-07-08    97
158 2021-07-09   132
159 2021-07-10   105
160 2021-07-11   105
161 2021-07-12    92
162 2021-07-13    72
163 2021-07-14    60
164 2021-07-15    44
