          date data
0   2021-02-01    2
1   2021-02-02    0
2   2021-02-03    7
3   2021-02-04    0
4   2021-02-05    2
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    2
8   2021-02-09    4
9   2021-02-10    4
10  2021-02-11   12
11  2021-02-12   15
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18    4
18  2021-02-19    0
19  2021-02-20    0
20  2021-02-21    4
21  2021-02-22    2
22  2021-02-23    0
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    2
27  2021-02-28    2
28  2021-03-01    0
29  2021-03-02    4
30  2021-03-03    2
31  2021-03-04    0
32  2021-03-05    2
33  2021-03-06    4
34  2021-03-07    7
35  2021-03-08    0
36  2021-03-09    2
37  2021-03-10   22
38  2021-03-11    9
39  2021-03-12    4
40  2021-03-13    7
41  2021-03-14    4
42  2021-03-15    4
43  2021-03-16    4
44  2021-03-17    4
45  2021-03-18   17
46  2021-03-19    9
47  2021-03-20   20
48  2021-03-21    7
49  2021-03-22    4
50  2021-03-23    7
51  2021-03-24    7
52  2021-03-25    4
53  2021-03-26   15
54  2021-03-27    4
55  2021-03-28    2
56  2021-03-29   25
57  2021-03-30   17
58  2021-03-31   22
59  2021-04-01    7
60  2021-04-02    2
61  2021-04-03    0
62  2021-04-04    0
63  2021-04-05    9
64  2021-04-06    2
65  2021-04-07    2
66  2021-04-08    2
67  2021-04-09    4
68  2021-04-10    2
69  2021-04-11    9
70  2021-04-12    7
71  2021-04-13    0
72  2021-04-14    0
73  2021-04-15    2
74  2021-04-16    2
75  2021-04-17    4
76  2021-04-18    4
77  2021-04-19    4
78  2021-04-20    0
79  2021-04-21    0
80  2021-04-22    7
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    0
85  2021-04-27    4
86  2021-04-28   22
87  2021-04-29   15
88  2021-04-30   15
89  2021-05-01   12
90  2021-05-02    2
91  2021-05-03    4
92  2021-05-04   22
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    2
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    7
103 2021-05-15  162
104 2021-05-16    0
105 2021-05-17    2
106 2021-05-18    0
107 2021-05-19    2
108 2021-05-20   65
109 2021-05-21    4
110 2021-05-22   22
111 2021-05-23   27
112 2021-05-24   22
113 2021-05-25    9
114 2021-05-26   15
115 2021-05-27   22
116 2021-05-28    4
117 2021-05-29   25
118 2021-05-30   15
119 2021-05-31    2
120 2021-06-01    7
121 2021-06-02    4
122 2021-06-03    2
123 2021-06-04    2
124 2021-06-05   15
125 2021-06-06   12
126 2021-06-07   65
127 2021-06-08  282
128 2021-06-09  149
129 2021-06-10   49
130 2021-06-11  479
131 2021-06-12   87
132 2021-06-13   70
133 2021-06-14   42
134 2021-06-15   42
135 2021-06-16   35
136 2021-06-17   12
137 2021-06-18   25
138 2021-06-19   60
139 2021-06-20   49
140 2021-06-21   30
141 2021-06-22   15
142 2021-06-23   27
143 2021-06-24   39
144 2021-06-25   22
145 2021-06-26   12
146 2021-06-27   17
147 2021-06-28    7
148 2021-06-29    2
149 2021-06-30   22
150 2021-07-01   47
151 2021-07-02   60
152 2021-07-03  117
153 2021-07-04  137
154 2021-07-05   79
155 2021-07-06   52
156 2021-07-07   32
157 2021-07-08   32
158 2021-07-09   44
159 2021-07-10   27
160 2021-07-11   32
161 2021-07-12   47
162 2021-07-13   15
163 2021-07-14   12
164 2021-07-15   15
